tagReject,nodmz,100,,
tagReject,nodrop,100,,
rollChance,ammo,8,,
rollChance,plunder,14,,
rollChance,lethal,8,,
rollChance,tactical,8,,
rollChance,weapon,4,,
rollChance,key,1,,
rollChance,valuable,42,,
rollChance,personal,6,,
item,brloot_ammo_12g,6,,
item,brloot_ammo_50cal,1,,
item,brloot_ammo_762,3,,
item,brloot_ammo_919,8,,
item,brloot_gascan,1,,
item,brloot_health_adrenaline,15,,
item,brloot_offhand_molotov,20,,
item,brloot_offhand_smoke,2,,
item,brloot_offhand_throwingknife,15,,
item,brloot_offhand_throwingknife_fire,1,,
item,brloot_personal_pictureofawoman,5,,
item,brloot_personal_pictureofaman,5,,
item,brloot_personal_pictureofachild,5,,
item,brloot_personal_pictureofadog,5,,
item,brloot_personal_pictureofacat,5,,
item,brloot_personal_heartlocket,5,,
item,brloot_personal_wornnecklace,2,,
item,brloot_personal_oldwatch,5,,
item,brloot_personal_vialofinsulin,5,,
item,brloot_personal_cancermedication,5,,
item,brloot_personal_toyknife,5,,
item,brloot_personal_brokenglasses,5,,
item,brloot_personal_origamihorse,1,,
item,brloot_personal_smalldoll,5,,
item,brloot_self_revive,100,,
item,brloot_valuable_liquor,100,,
item,loot_key_fortress,10,,
tagChance,key&pristine&keytier2,1,,
tagChance,key&used&keytier2,2,,
tagChance,key&pristine&keytier1,4,,
tagChance,key&used&keytier1,5,,
tagChance,super,5,,
tagChance,weapon&small&[0-1],15,,
tagChance,weapon&small&[2-3],1,,
tagChance,weapon&sh&[0-1],30,,
tagChance,weapon&sh&[2-3],2,,
tagChance,plunder&0,5,,
tagChance,plunder&1,1,,
item,brloot_valuable_wine,100,,
item,brloot_valuable_wine_aged,20,,
item,brloot_valuable_wine_vintage,10,,
item,brloot_valuable_cannedfood,70,,
item,brloot_valuable_freshwater,80,,
item,brloot_valuable_importedtea,40,,
item,brloot_valuable_mre,30,,
reqAdd,,1,0,100
reqAdd,valuable,1,0,40
reqAdd,,1,0,15
reqAdd,,1,0,5
