0,0,22000,22000
1,22000,22000,44000
2,44000,22000,66000
3,66000,22000,88000
4,88000,22000,110000
5,110000,22000,132000
6,132000,22000,154000
7,154000,22000,176000
8,176000,22000,198000
9,198000,22000,220000
10,220000,22000,242000
11,242000,22000,264000
12,264000,22000,286000
13,286000,22000,308000
14,308000,22000,330000
15,330000,22000,352000
16,352000,22000,374000
17,374000,22000,396000
18,396000,22000,418000
19,418000,22000,440000
20,440000,22000,462000
21,462000,22000,484000
22,484000,22000,506000
23,506000,22000,528000
24,528000,22000,550000
25,550000,22000,572000
26,572000,22000,594000
27,594000,22000,616000
28,616000,22000,638000
29,638000,22000,660000
30,660000,22000,682000
31,682000,22000,704000
32,704000,22000,726000
33,726000,22000,748000
34,748000,22000,770000
35,770000,22000,792000
36,792000,22000,814000
37,814000,22000,836000
38,836000,22000,858000
39,858000,22000,880000
40,880000,22000,902000
41,902000,22000,924000
42,924000,22000,946000
43,946000,22000,968000
44,968000,22000,990000
45,990000,22000,1012000
46,1012000,22000,1034000
47,1034000,22000,1056000
48,1056000,22000,1078000
49,1078000,22000,1100000
50,1100000,22000,1122000
51,1122000,22000,1144000
52,1144000,22000,1166000
53,1166000,22000,1188000
54,1188000,22000,1210000
55,1210000,22000,1232000
56,1232000,22000,1254000
57,1254000,22000,1276000
58,1276000,22000,1298000
59,1298000,22000,1320000
60,1320000,22000,1342000
61,1342000,22000,1364000
62,1364000,22000,1386000
63,1386000,22000,1408000
64,1408000,22000,1430000
65,1430000,22000,1452000
66,1452000,22000,1474000
67,1474000,22000,1496000
68,1496000,22000,1518000
69,1518000,22000,1540000
70,1540000,22000,1562000
71,1562000,22000,1584000
72,1584000,22000,1606000
73,1606000,22000,1628000
74,1628000,22000,1650000
75,1650000,22000,1672000
76,1672000,22000,1694000
77,1694000,22000,1716000
78,1716000,22000,1738000
79,1738000,22000,1760000
80,1760000,22000,1782000
81,1782000,22000,1804000
82,1804000,22000,1826000
83,1826000,22000,1848000
84,1848000,22000,1870000
85,1870000,22000,1892000
86,1892000,22000,1914000
87,1914000,22000,1936000
88,1936000,22000,1958000
89,1958000,22000,1980000
90,1980000,22000,2002000
91,2002000,22000,2024000
92,2024000,22000,2046000
93,2046000,22000,2068000
94,2068000,22000,2090000
95,2090000,22000,2112000
96,2112000,22000,2134000
97,2134000,22000,2156000
98,2156000,22000,2178000
99,2178000,22000,2200000
100,2200000,22000,2222000
101,2222000,22000,2244000
102,2244000,22000,2266000
103,2266000,22000,2288000
104,2288000,22000,2310000
105,2310000,22000,2332000
106,2332000,22000,2354000
107,2354000,22000,2376000
108,2376000,22000,2398000
109,2398000,22000,2420000
110,2420000,22000,2442000
111,2442000,22000,2464000
112,2464000,22000,2486000
113,2486000,22000,2508000
114,2508000,22000,2530000
115,2530000,22000,2552000
116,2552000,22000,2574000
117,2574000,22000,2596000
118,2596000,22000,2618000
119,2618000,22000,2640000
120,2640000,22000,2662000
121,2662000,22000,2684000
122,2684000,22000,2706000
123,2706000,22000,2728000
124,2728000,22000,2750000
125,2750000,22000,2772000
126,2772000,22000,2794000
127,2794000,22000,2816000
128,2816000,22000,2838000
129,2838000,22000,2860000
130,2860000,22000,2882000
131,2882000,22000,2904000
132,2904000,22000,2926000
133,2926000,22000,2948000
134,2948000,22000,2970000
135,2970000,22000,2992000
136,2992000,22000,3014000
137,3014000,22000,3036000
138,3036000,22000,3058000
139,3058000,22000,3080000
140,3080000,22000,3102000
141,3102000,22000,3124000
142,3124000,22000,3146000
143,3146000,22000,3168000
144,3168000,22000,3190000
145,3190000,22000,3212000
146,3212000,22000,3234000
147,3234000,22000,3256000
148,3256000,22000,3278000
149,3278000,22000,3300000
150,3300000,22000,3322000
151,3322000,22000,3344000
152,3344000,22000,3366000
153,3366000,22000,3388000
