14845,iw9_ch_secret_s4_delta_win,CHALLENGE/SECRET,CHALLENGE/ANY_DELTA_WIN,1,0,15282,,,,,4000,0,0,,,0
14846,iw9_ch_secret_s4_delta_play_100,CHALLENGE/SECRET,CHALLENGE/ANY_DELTA_PLAY,50,0,30299,,,,,4000,0,0,,,0
14847,iw9_ch_secret_s4_delta_play_500,CHALLENGE/SECRET,CHALLENGE/ANY_DELTA_PLAY,200,0,30309,,,,,4000,0,0,,,0
14848,iw9_ch_secret_s4_delta_win_lock_1,CHALLENGE/SECRET,CHALLENGE/LOCKDOWN_DELTA_WIN,1,0,30297,,,,,4000,0,0,,,0
14849,iw9_ch_secret_s4_delta_win_lock_25,CHALLENGE/SECRET,CHALLENGE/LOCKDOWN_DELTA_WIN,25,0,30306,,,,,4000,0,0,,,0
14850,iw9_ch_secret_s4_delta_win_br,CHALLENGE/SECRET,CHALLENGE/BR_DELTA_WIN,1,0,30296,,,,,4000,0,0,,,0
14851,iw9_ch_secret_s4_delta_win_br_25,CHALLENGE/SECRET,CHALLENGE/BR_DELTA_WIN,25,0,30307,,,,,4000,0,0,,,0
14852,iw9_ch_secret_s4_delta_underwater,CHALLENGE/SECRET,CHALLENGE/DELTA_UNDERWATER_KILL,1,0,8849,,,,,4000,0,0,,,0
14853,iw9_ch_secret_s4_delta_finisher,CHALLENGE/SECRET,CHALLENGE/DELTA_EXECUTION,1,0,5050,,,,,4000,0,0,,,0
15025,iw9_ch_secret_s4_delta_melee_25,CHALLENGE/SECRET,CHALLENGE/DELTA_MELEE,25,0,30404,,,,,4000,0,0,,,0
15120,iw9_ch_secret_s4_body_scan_ee,CHALLENGE/SECRET,CHALLENGE/DELTA_BODY_EE,1,0,30479,,,,,4000,0,0,,,0
