0,reflex,reflex,RETICLES/RET_CAT_REFLEX,reticle_reflex_default,1,,mp_reticle_scope_4x,
1,reflex2,reflex,RETICLES/RET_CAT_REFLEX,reticle_reflex_default2,1,,mp_reticle_scope_4x,
2,reflex3,reflex,RETICLES/RET_CAT_REFLEX,reticle_reflex_default3,1,,mp_reticle_scope_4x,
3,reflex4,reflex,RETICLES/RET_CAT_REFLEX,reticle_reflex_default,1,,mp_reticle_scope_4x,
4,reflexmini,reflex,RETICLES/RET_CAT_REFLEX,reticle_reflex_default,1,,mp_reticle_scope_4x,
5,reflexmini2,reflex,RETICLES/RET_CAT_REFLEX,reticle_reflex_default,1,,mp_reticle_scope_4x,
6,reflexmini3,reflex,RETICLES/RET_CAT_REFLEX,reticle_reflex_default,1,,mp_reticle_scope_4x,
7,holo,holo,RETICLES/RET_CAT_HOLO,reticle_holo_default,2,,mp_reticle_scope_4x,
8,holo2,holo,RETICLES/RET_CAT_HOLO,reticle_holo_default2,2,,mp_reticle_scope_4x,
9,holo3,holo,RETICLES/RET_CAT_HOLO,reticle_holo_default,2,,mp_reticle_scope_4x,
10,acog,acog,RETICLES/RET_CAT_ACOG,reticle_acog_default,3,,mp_reticle_scope_4x,
11,acog2,acog,RETICLES/RET_CAT_ACOG,reticle_acog_default2,3,,mp_reticle_scope_4x,
12,acog3,acog,RETICLES/RET_CAT_ACOG,reticle_acog_default,3,,mp_reticle_scope_4x,
13,hybrid,hybrid,RETICLES/RET_CAT_HYBRID,reticle_hybrid_default,4,reticle_holo_default,mp_reticle_scope_4x,mp_reticle_scope_4x
14,hybrid2,hybrid,RETICLES/RET_CAT_HYBRID,reticle_acog_default,4,reticle_reflex_default,mp_reticle_scope_4x,mp_reticle_scope_4x
15,hybrid4,hybrid,RETICLES/RET_CAT_HYBRID,reticle_acog_default,4,reticle_reflex_default,mp_reticle_scope_4x,mp_reticle_scope_4x
16,thermal,thermal,RETICLES/RET_CAT_THERMAL,reticle_thermal_default,5,,mp_reticle_scope_4x,
17,thermal2,thermal,RETICLES/RET_CAT_THERMAL,reticle_thermal_default2,5,,mp_reticle_scope_4x,
18,thermalvz,thermal,RETICLES/RET_CAT_THERMAL,reticle_thermal_default3,5,,mp_reticle_scope_4x,
19,vzscope,scope,RETICLES/RET_CAT_VZSCOPE,reticle_vzscope_default,6,,mp_reticle_scope_4x,
20,scope,scope,RETICLES/RET_CAT_VZSCOPE,reticle_vzscope_default,6,,mp_reticle_scope_4x,
21,hybrid3,hybridthermal,RETICLES/RET_CAT_THERMAL_HYBRID,reticle_thermal_default2,7,reticle_reflex_default,mp_reticle_scope_4x,mp_reticle_scope_4x
22,default_sniper_scope,scope,RETICLES/RET_CAT_VZSCOPE,reticle_vzscope_default,6,,mp_reticle_scope_4x,
23,hdrscope,scope,RETICLES/RET_CAT_VZSCOPE,reticle_hdr_default,6,,mp_reticle_scope_4x,
24,k98scope,scope,RETICLES/RET_CAT_VZSCOPE,reticle_k98_default,6,,mp_reticle_scope_4x,
25,crossscope,scope,RETICLES/RET_CAT_VZSCOPE,snp_reticle_01,6,,mp_reticle_scope_4x,
25,intscope,scope,RETICLES/RET_CAT_VZSCOPE,reticle_int_default,6,,mp_reticle_scope_4x,
26,sbetascope,scope,RETICLES/RET_CAT_VZSCOPE,snp_reticle_03,6,,mp_reticle_scope_4x,
27,reflex26yc,reflex,RETICLES/RET_CAT_REFLEX,reticle_14_hybrid,1,,mp_reticle_scope_4x,
28,acog26cross,acog,RETICLES/RET_CAT_ACOG,reticle_acog_default3,3,,mp_reticle_scope_4x,
29,sksierra,scope,RETICLES/RET_CAT_VZSCOPE,reticle_sierra_default,6,,mp_reticle_scope_4x,
30,thermalanov,thermal,RETICLES/RET_CAT_THERMAL,reticle_anovember94_default,5,,mp_reticle_scope_4x,
