0,sp_jup_vip,LEVELS_JUP/SP_JUP_VIP,default,3920,,LEVELS_JUP/SP_JUP_VIP_DESC,LEVELS_JUP/SP_JUP_VIP_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,LEVELS_JUP/SP_JUP_VIP_CHYRONDATE,LEVELS_JUP/SP_JUP_VIP_CHYRONWHO,LEVELS_JUP/SP_JUP_VIP_CHYRONSQUAD,LEVELS_JUP/SP_JUP_VIP_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,cp_jup_chemical,LEVELS_JUP/CP_JUP_CHEMICAL,default,3920,,LEVELS_JUP/CP_JUP_CHEMICAL_DESC,LEVELS_JUP/CP_JUP_CHEMICAL_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,LEVELS/STRIKE_CHYRONDATE,LEVELS/STRIKE_CHYRONWHO,LEVELS/STRIKE_CHYRONSQUAD,LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,cp_jup_port,LEVELS_JUP/CP_JUP_PORT,default,3920,,LEVELS_JUP/CP_JUP_PORT_DESC,LEVELS_JUP/CP_JUP_PORT_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,LEVELS/STRIKE_CHYRONDATE,LEVELS/STRIKE_CHYRONWHO,LEVELS/STRIKE_CHYRONSQUAD,LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,cp_jup_silo,LEVELS_JUP/CP_JUP_SILO,default,3920,,LEVELS_JUP/CP_JUP_SILO_DESC,LEVELS_JUP/CP_JUP_SILO_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,LEVELS/STRIKE_CHYRONDATE,LEVELS/STRIKE_CHYRONWHO,LEVELS/STRIKE_CHYRONSQUAD,LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,cp_jup_military,LEVELS_JUP/CP_JUP_MILITARY,default,3920,,LEVELS_JUP/CP_JUP_MILITARY_DESC,LEVELS_JUP/CP_JUP_MILITARY_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,LEVELS/STRIKE_CHYRONDATE,LEVELS/STRIKE_CHYRONWHO,LEVELS/STRIKE_CHYRONSQUAD,LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,cp_jup_ranch,LEVELS_JUP/CP_JUP_RANCH,default,3920,,LEVELS_JUP/CP_JUP_RANCH_DESC,LEVELS_JUP/CP_JUP_RANCH_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,LEVELS/STRIKE_CHYRONDATE,LEVELS/STRIKE_CHYRONWHO,LEVELS/STRIKE_CHYRONSQUAD,LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,sp_jup_hijack,LEVELS_JUP/SP_JUP_HIJACK,default,3920,,LEVELS_JUP/SP_JUP_HIJACK_DESC,LEVELS_JUP/SP_JUP_HIJACK_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,LEVELS/STRIKE_CHYRONDATE,LEVELS/STRIKE_CHYRONWHO,LEVELS/STRIKE_CHYRONSQUAD,LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,sp_jup_flashback,LEVELS_JUP/SP_JUP_FLASHBACK,default,3920,,LEVELS_JUP/SP_JUP_FLASHBACK_DESC,LEVELS_JUP/SP_JUP_FLASHBACK_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,LEVELS/STRIKE_CHYRONDATE,LEVELS/STRIKE_CHYRONWHO,LEVELS/STRIKE_CHYRONSQUAD,LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,cp_jup_apt,LEVELS_JUP/CP_JUP_APT,default,3920,,LEVELS_JUP/CP_JUP_APT_DESC,LEVELS_JUP/CP_JUP_APT_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,LEVELS/STRIKE_CHYRONDATE,LEVELS/STRIKE_CHYRONWHO,LEVELS/STRIKE_CHYRONSQUAD,LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,cp_jup_resort,LEVELS_JUP/CP_JUP_RESORT,default,3920,,LEVELS_JUP/CP_JUP_RESORT_DESC,LEVELS_JUP/CP_JUP_RESORT_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,LEVELS/STRIKE_CHYRONDATE,LEVELS/STRIKE_CHYRONWHO,LEVELS/STRIKE_CHYRONSQUAD,LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
0,sp_jup_tundra,LEVELS_JUP/SP_JUP_TUNDRA,default,3920,,LEVELS_JUP/SP_JUP_TUNDRA_DESC,LEVELS_JUP/SP_JUP_TUNDRA_LOCATION,mission_thumbnail_red_crown,2762,802,42.446,44.193,globalLower,LEVELS/STRIKE_CHYRONDATE,LEVELS/STRIKE_CHYRONWHO,LEVELS/STRIKE_CHYRONSQUAD,LEVELS/STRIKE_CHYRONLOCATION,ui_sp_missionselect_cleanhouse
