0,iw9_battlepass_xp,number,
0,iw9_leagueplay_league_id,number,
0,iw9_rejoin_is_active,number,
1,iw9_battlepass_xp_from_time,number,
1,iw9_daily_ch_id_1,number,
1,iw9_leagueplay_match_result,number,
2,iw9_clan_id,number,
2,iw9_daily_ch_id_2,number,
2,iw9_leagueplay_skill_rating,number,
2,iw9_rejoin_lobby_id,number,
3,iw9_clan_xp,number,
3,iw9_daily_ch_id_3,number,
3,iw9_leagueplay_division,number,
4,iw9_daily_ch_id_4,number,
4,iw9_day_override,number,
4,iw9_rejoin_expiry,number,
5,iw9_endgame_bitfield1,bitfield,potg=0|vote=1|no_purchase_made=10|raid_hard_mode=11|15kills=12|votedmvp=2|mostelims=3|highest_elim_ratio_game=4|highest_elim_ratio_team=5|30elims=6|call_all_killstreaks=7|top2_elim_ratio_team=8|completed_mission_without_going_into_last_stand=9
6,iw9_equipment_bitfield1,bitfield,
6,iw9_leagueplay_is_disconnect,number,
7,iw9_field_upgrade_bitfield1,bitfield,activatefieldupgrade=0|destroyfieldupgrade=1|hit_target=2|mark_target=3|use=4|self_use=5|teammate_use=6|took_damage=7
7,iw9_leagueplay_match_id,number,
7,iw9_zm_zombie_type,number,
8,iw9_gamemode,gameMode,
8,iw9_leagueplay_added_to_ladder,bool,
9,iw9_gametype,gametype,
10,iw9_gametype_bitfield1,bitfield,dom_capflag=0|sd_bombsuccess=1|sd_bombdefuse=2|conf_confirm=3|koth_1minute=4|destruction_runthroughwall=5
10,iw9_leagueplay_ladder_penalty,number,
11,iw9_kill_amount,number,
11,iw9_leagueplay_sr_penalty,number,
12,iw9_kill_bitfield1,bitfield,headshot=0|victimsprinting=1|laststand=10|victimlaststand=11|recondroneexplosive=12|quickscope=13|weaponswap=14|backfire=15|melee=16|execution=17|lastbullet=18|buzzkill=19|ads=2|1shot1kill=20|enemystunned=21|enemyinsmoke=22|invehicle=23|recentreload=24|enemywithuav=25|lowhealth=26|usingsecondaryweapon=27|equipmentimpact=28|fire=29|hipfire=3|victiminvehicle=30|backstab=31|slide=32|firstblood=33|grenadestuck=34|assaulting=35|defending=36|cooking=37|comeback=38|posthumous=39|longrange=4|revenge=40|verylongrange=41|kingslayer=42|vehicleexplosive=43|avenger=44|nemesis=45|quadfeed=46|crush=47|killenemyteam=48|defender=49|recentweaponpickup=5|holdbreath=50|gunbutt=51|swimming=52|withoutnvgs=53|choppergunner=54|vehiclelean=55|vehiclesurf=56|infastvehicle=57|ontrain=58|wearingarmor=59|mounted=6|fullarmor=60|victiminstronghold=61|victiminlockedstronghold=62|thirdperson=63|crouch=7|prone=8|shortrange=9
12,iw9_leagueplay_event_season,number,
13,iw9_disconnect_reason,number,
13,iw9_enemy_type_bitfield,bitfield,player=0|killstreak=1|suicidebomber=10|elite=11|soldier=12|civilian=13|combatant=14|tier1=15|tier2=16|tier3=17|veh9_jltv_mg=18|armored=19|agent=2|elim_target=20|boss=21|juggernaut_boss=22|chemist_boss=23|chopper_boss=24|reinforcement_chopper=25|ai_vehicle=26|enemy_vehicle=27|atv=28|light_tank=29|aerial=3|little_bird=30|veh9_acv_6x6=31|veh9_apc_8x8=32|veh9_blima=33|veh9_chopped_pickup=34|veh9_cougar=35|veh9_hummer=36|veh9_jltv=37|veh9_mil_cargo_truck=38|veh9_overland_2016=39|ground=4|veh9_palfa=40|veh9_patrol_boat=41|veh9_pickup_2014=42|veh9_pwc=43|veh9_rhib=44|veh9_sedan_hatchback_1985=45|veh9_suv_1996=46|veh9_techo_rebel_armor=47|veh9_utv=48|wheelson_boss=49|support=5|velikan_boss=50|trapper_boss=51|aq=52|shadow_company=53|cartel=54|pyro_boss=55|scav_boss=56|train_safe_heli=57|firebug=58|sniper_boss=59|vehicle=6|rusher_boss=60|getaway_boss=61|russian=62|rat=63|equipment=7|juggernaut=8|riotshield=9
13,iw9_leagueplay_on_ladder,bool,
14,iw9_kill_operator_id,itemID,
14,iw9_leagueplay_current_top250_placement,number,
15,iw9_killstreak_bitfield1,bitfield,two1s1k=0|destroystreak=1|shutdownstreakbeforekills=2|killwithstreak=3|destroyaerialstreak=4|destroy3streaks1game=5
15,iw9_leagueplay_mark_as_seen,bool,
16,iw9_leagueplay_event_type,number,
16,iw9_match_result,number,
17,iw9_leagueplay_hot_streak_cooldown_s,number,
18,iw9_leagueplay_at_match_end,number,
18,iw9_operator_id,itemID,
19,iw9_leagueplay_lobby_id,number,
19,iw9_operator_xp,number,
20,iw9_leagueplay_division_stickiness_applied,number,
20,iw9_operator_xp_id,itemID,
21,iw9_leagueplay_sr_forgiven,number,
22,iw9_leagueplay_sr_loss_prevention_remaining,number,
22,iw9_season,season,
23,iw9_leagueplay_new_skill_rating,number,
23,iw9_season0,bool,
24,iw9_leagueplay_new_skill_division,number,
24,iw9_season1,bool,
25,iw9_leagueplay_gametype,number,
25,iw9_season2,bool,
26,iw9_leagueplay_prematch_skill_rating,number,
26,iw9_season3,bool,
27,iw9_leagueplay_bans,number,
27,iw9_season4,bool,
28,iw9_season5,bool,
29,iw9_leagueplay_placement,number,
29,iw9_season6,bool,
30,iw9_leagueplay_forgiveness_level,number,
30,iw9_user_info,number,
31,iw9_value,number,
32,iw9_leagueplay_rejoin_enabled,number,
32,iw9_version,number,
33,iw9_leagueplay_match_sr_version,number,
33,iw9_weapon_attachment1,attachmentRequirement,
34,iw9_weapon_attachment10,attachmentRequirement,
35,iw9_weapon_attachment2,attachmentRequirement,
36,iw9_weapon_attachment3,attachmentRequirement,
37,iw9_weapon_attachment4,attachmentRequirement,
38,iw9_weapon_attachment5,attachmentRequirement,
39,iw9_weapon_attachment6,attachmentRequirement,
40,iw9_weapon_attachment7,attachmentRequirement,
41,iw9_weapon_attachment8,attachmentRequirement,
42,iw9_weapon_attachment9,attachmentRequirement,
43,iw9_weapon_class_bitfield,bitfield,none=0|sniper=1|non_player=10|item=11|beam=12|ball=13|assault=14|battle=15|marksman=16|killstreak=17|melee_primary=18|melee_secondary=19|lmg=2|melee=20|smg=3|shotgun=4|pistol=5|grenade=6|launcher=7|turret=8|throwing_knife=9
44,iw9_weapon_loot_id,itemID,
45,iw9_weapon_xp,number,
46,iw9_string_ref,number,
47,iw9_string_ref2,number,
48,iw9_zm_all_areas_unlocked,bool,
49,iw9_zm_areas_unlocked,number,
50,iw9_zm_armor_repair,bool,
51,iw9_zm_armor_tier,number,
52,iw9_zm_consecutive_perks,number,
53,iw9_zm_covenant_type,itemID,
54,iw9_zm_damage_covenants,number,
55,iw9_zm_elimination_bitfield,bitfield,enemy_slowed=0|field_upgrade_kill=1|covenant_kill=10|rapid_kill=12|rapid_critical_kill=13|consecutive_kill=14|mystery_box_weapon=2|artifact_kill=3|chest_weapon=4|has_damage_perk=5|brain_rot_kill=6|screamer_kill=7|splatterfest_kill=8|throwing_knife_kill_all_type=9
56,iw9_zm_equipment_type,itemID,
57,iw9_zm_heal_amount,number,
59,iw9_zm_legendary_covenants,number,
61,iw9_zm_objective_bitfield,bitfield,pacifist=0|all_objectives_all_locations=1|no_manual_reloads=2
62,iw9_zm_objective_location,number,
63,iw9_zm_objective_type,number,
64,iw9_zm_pap_level,number,
65,iw9_zm_perk_acquires,number,
66,iw9_zm_perk_level,number,
67,iw9_zm_perk_total,number,
68,iw9_zm_perk_type,number,
69,iw9_zm_round_number,number,
70,iw9_zm_status_effect_bitfield,bitfield,brain_rot=0|stun=1|slow=2|ignite=3
71,iw9_squad_event,bool,
