setchancecol,mp/loot/br/mini_mgl/newplayer/lootset_root.csv,2,,# root,,# column 0 is "Item"/"chance" etc, column 1 is the name, so first weight is in column 2,,,,,,,
setchancecol,mp/loot/br/mini_mgl/newplayer/lootset_global.csv,3,,# global,,,,,,,,,
setchancecol,mp/loot/br/mini_mgl/newplayer/lootset_cache_base.csv,4,,# cache_base,,,,,,,,,
setchancecol,mp/loot/br/mini_mgl/newplayer/lootset_cache_lege.csv,5,,# cache_lege,,,,,,,,,
setchancecol,mp/loot/br/mini_mgl/newplayer/lootset_empty.csv,6,,# N/A,,,,,,,,,
setchancecol,mp/loot/br/mini_mgl/newplayer/lootset_buildings.csv,7,,# buildings,,,,,,,,,
setchancecol,mp/loot/br/mini_mgl/newplayer/lootset_buildings_abundant.csv,8,,# abundant,,,,,,,,,
setchancecol,mp/loot/br/mini_mgl/newplayer/lootset_contract_asn.csv,9,,# contract_asn,,,,,,,,,
setchancecol,mp/loot/br/mini_mgl/newplayer/lootset_contract_dom.csv,10,,# contract_dom,,,,,,,,,
setchancecol,mp/loot/br/mini_mgl/newplayer/lootset_contract_scav1.csv,11,,# contract_scav1,,,,,,,,,
setchancecol,mp/loot/br/mini_mgl/newplayer/lootset_contract_scav2.csv,12,,# contract_scav2,,,,,,,,,
setchancecol,mp/loot/br/mini_mgl/newplayer/lootset_contract_scav3.csv,13,,# contract_scav3,,,,,,,,,
tagReject,delta,,100,100,100,100,100,100,100,100,100,100,100
Central Control,,,,,,,,,,,,,
chance,ammo,,35,5,5,0,35,35,5,5,5,5,5
chance,lethal,,4,20,15,0,4,4,20,20,20,20,20
chance,tactical,,4,20,15,0,4,4,20,20,20,20,20
chance,weapon,,23,1,1,0,23,23,5,5,1,5,5
chance,killstreak,,0,10,10,0,2,2,10,10,10,10,10
chance,super,,2,10,10,0,2,2,10,10,10,10,10
chance,revive,,0,5,10,0,1,1,5,5,5,5,5
chance,gear,,0,5,10,0,1,1,5,5,5,5,5
chance,health,,14,10,10,0,14,14,10,10,10,10,10
chance,plunder,,6,10,10,0,6,6,10,10,10,10,10
chance,tablet,,2,0,0,0,2,2,0,0,0,0,0
item,brloot_equip_gasmask,,90,70,50,0,85,80,70,70,70,70,70
item,brloot_equip_gasmask_durable,,10,30,50,0,15,20,30,30,30,30,30
