ui_generic_entnum,1,1,c,e,,,,,,,,,# Generic UI entity for UI, could be used for any one-off widget anchored to an entity,,
ui_generic_progress,1,1,c,f,0,0,1,1,,,,,# Generic UI progress data, could be used for any one-off progress bar ,,
ui_generic_state,1,1,c,i,0,0,32,,,,,,# Generic UI state data, could be used for any one-off widget with states,,
ui_generic_string,1,1,c,s,none,,,,,,,,# Generic UI string, could be used for any one-off widget displaying a string,,
ui_generic_timer,1,1,c,t,0,,,1,,,,,# Generic UI timer data, could be used for any one-off widget with a timer,,
ui_prompt_hold_progress,1,1,c,f,0,0,1,1,,,,,# Generic UI prompt hold progress, could be used for any key prompt,,
ui_active_hud,1,,,s,none,,,,,,,,#Acceptable values: none, infantry, jackal,,
ui_show_objectives,1,,c,b,0,0,1,,,,,,,,
ui_show_only_marked_objectives,1,,c,b,0,0,1,,,,,,,,
ui_objectives_updated,1,,c,b,0,0,1,,,,,,,,
ui_show_objectives_reminder,1,,c,b,0,0,1,,,,,,,,
ui_disable_objective_reveal_fanfare,1,,c,b,0,0,1,,,,,,,,
ui_objective_scale_distance,1,,c,i,1000,0,50000,,,,,,# 1000 ~= 25m, 50000 ~= 1250m,,
ui_force_compass,1,,c,b,0,0,1,,,,,,,,
ui_show_compass,1,,,b,1,,,,,,,,,,
ui_edge_glow,1,,c,a,0,0,256,,,,,,#For showcasing if AI are detecting the player or not....,,
ui_hud_disguise,1,,,b,0,0,1,,,,,,,,
ui_hud_parallax,1,,,i,0,0,1,,,,,,,,
ui_hit_indicator,1,,,i,0,0,10,,,,,,,,
ui_hud_thrust,1,,,i,1,0,2,,,,,,,,
ui_hud_tint_color_int,1,,,i,16777215,0,16777215,,,,,,,,
ui_hud_emp,1,,,b,0,,,,,,,,,,
ui_hud_bootup,1,,,b,0,,,,,,,,,,
ui_hud_radio,1,,,b,0,0,1,,,,,,,,
ui_hud_ability_primary,1,,,b,1,0,1,,,,,,,,
ui_hud_ability_secondary,1,,,b,1,0,1,,,,,,,,
ui_power_secondary_recharge,1,1,c,i,0,-1,1000,,,,,,,,
ui_power_recharge,1,1,c,i,0,-1,1000,,,,,,,,
