6412,#ui_playercard_560,# Calling Cards
6120,#ui_playercard_561,
6287,#ui_playercard_562,
6384,#ui_playercard_563,
6443,#ui_playercard_564,
6585,#ui_playercard_565,
6939,#ui_playercard_559,
6588,#ui_playercard_814,
6906,#ui_playercard_815,
6176,#ui_playercard_816,
6491,#ui_playercard_817,
6473,#ui_playercard_813,
10082,#ui_emblem_556,#Emblems
9710,#ui_emblem_557,
10007,#ui_emblem_558,
9733,#ui_emblem_559,
10033,#ui_emblem_560,
10051,#ui_emblem_561,
10335,#ui_emblem_562,
9542,#ui_emblem_806,
9500,#ui_emblem_807,
9741,#ui_emblem_808,
9573,#ui_emblem_809,
10326,#ui_emblem_810,
5145,# Gestures,
5143,,
7099,# Roles,
7100,,
7103,,
7101,,
5533,#milsim_western_1,# Operators and Skins
5538,#milsim_eastern_1,
5996,#milsim_eastern_a,
5973,#milsim_eastern_b,
5984,#milsim_eastern_c,
5992,#milsim_eastern_d,
5995,#milsim_western_a,
6003,#milsim_western_b,
6012,#milsim_western_c,
6001,#milsim_western_d,
5053,#execution_011,
5121,#execution_007,
2115,#iw9_rec_mike4,# Weapon Attachments
771,#bar_ar_p01,
3675,#stock_ar_p01,
1525,#mag_ar_p01,
1703,#pgrip_p01,
2763,#rec_golf3,
3424,#stock_ar_p02,
2881,#bar_br_p02,
1570,#mag_br_p02,
1464,#pgrip_br_p02,
3851,#pgrip_p03,
3347,#mag_ar_p03,
2874,#stock_ar_p03,
2483,#bar_ar_p03,
2796,#iw9_rec_augolf,
1857,#rec_akilo,
635,#stock_ar_p04,
2843,#bar_ar_long_p04,
1385,#mag_ar_p04,
1486,#pgrip_p04,
2061,#pgrip_p05,
3871,#mag_ar_p05,
628,#stock_ar_p05,
2420,#bar_ar_p05,
666,#iw9_rec_scharlie,
3856,#pgrip_p07,
1903,#mag_sm_p07,
3674,#stock_sm_light_p07,
2486,#bar_sm_p07,
2439,#iw9_rec_papa90,
2303,#pgrip_sm_p08,
1009,#mag_sm_p08,
1992,#stock_sm_light_p08,
2618,#bar_sm_p08,
1910,#rec_mpapax,
1926,#stock_sm_p09,
2495,#pgrip_p09,
1903,#mag_sm_p07,
2668,#bar_sm_p09,
878,#rec_mpapa7,
3136,#pgrip_p10,
2936,#mag_p10,
1115,#stock_sm_light_p10,
1820,#bar_sm_p10,
2810,#iw9_rec_victor,
1620,#guard_p12,
2118,#bolt_p12,
2399,#bar_sh_p12,
3653,#stock_sh_p12,
3466,#rec_mike1014,
1453,#bartube_sh_p13,
2364,#guard_p13,
3574,#stockr_sh_p13,
3058,#rec_mbravo,
1218,#guard_p14,
2567,#stockr_sh_p14,
1967,#bar_sh_p14,
2242,#iw9_rec_charlie725,
2002,#pgrip_p16,
2666,#belt_lm_p16,
3182,#stock_lm_p16,
830,#bar_lm_p16,
3667,#rec_slima,
2182,#pgrip_p17,
3144,#belt_lm_p17,
3554,#stock_lm_p17,
1647,#bar_lm_short_p17,
2870,#rec_ngolf7,
1960,#pgrip_dm_p18,
1097,#mag_sn_p18,
752,#stock_dm_light_p18,
2642,#bar_dm_p18,
2190,#iw9_rec_mike14,
3375,#guard_p19,
2660,#lever_p19,
1130,#stockr_dm_p19,
948,#bar_dm_p19,
2587,#iw9_rec_sbeta,
2522,#mag_dm_p20,
1869,#bolt_p20,
3235,#stockr_dm_p20,
1691,#bar_dm_p20,
1513,#rec_mike24,
2394,#pgrip_p21,
2126,#mag_sn_p21,
2957,#bolt_p21,
3551,#stock_sn_p21,
3405,#bar_sn_p21,
11631,#snscope03,
928,#rec_mromeo,
1425,#snscope_vz01,
3202,#pgrip_p22,
2845,#mag_sn_p22,
2371,#stock_sn_p22,
1061,#bar_sn_p22,
3122,#rec_limax,
11632,#snscope02,
2156,#bgrip_sn_p23,
3444,#mag_sn_p23,
2243,#stock_sn_p23,
1058,#bar_sn_p23,
1774,#rec_alpha50,
1411,#trigger_p24,
2509,#mag_pi_p24,
3750,#bar_pi_p24,
3241,#rec_golf17,
3323,#trigger_p25,
2339,#pgrip_p25,
1775,#mag_pi_p25,
3919,#bar_pi_p25,
3431,#rec_decho,
3218,#trigger_p26,
3876,#pgrip_p26,
2053,#cylinder_pi_p26,
3903,#bar_pi_p26,
2174,#rec_swhiskey,
2535,#hammer_sa_p27,
1661,#pgrip_p27,
3103,#mag_pi_p27,
990,#bar_pi_p27,
1705,#rec_papa220,
