FreePages,5012.938
FreeCalcDelta,0.000
FreeAfterBudgets,0.000
Executable,201.703
OSAllocations,16.563
StreamRead,5.750
StreamTotal,5012.938
StreamAlwaysloaded,0.000
StreamOptional,0.000
StreamFree,5012.938
StreamOverhead,0.000
StreamWaste,0.000
StreamCommit,0.000
StreamXPakIndexWaste,0.000
StreamXPakIndexCommit,0.000
StreamLoggerWaste,0.000
StreamLoggerCommit,0.000
StreamCombineTablesWaste,0.000
StreamCombineTablesCommit,0.000
StreamPrimerWaste,0.000
StreamPrimerCommit,0.000
DBDynamicHeapWaste,0.000
DBDynamicHeapCommit,0.000
DBZoneWaste,0.000
DBZoneCommit,0.000
RenderTargets,63.750
MemVirtual,0.250
PMemCommitOnAlloc,454.063
HavokPhysics,4.000
MemCard,0.000
LightGrid,0.000
LightMap,0.000
STTextureArrays,0.000
CommonFastfiles,0.000
LevelFastfiles,0.000
PreloadFastfiles,0.000
DevFastfiles,0.000
UIFastfiles,0.000
ServerFastfiles,0.000
GPUTempFastfiles,0.000
XPakWorkData,0.000
XPakModify,0.000
TransientCommon,0.000
TransientWorld,0.000
TransientPhysics,0.000
TransientInfil,0.000
SDBanksProjection,0.000
SDBanks,0.000
SDBanksAlwaysloaded,0.000
SDBanksTransient,0.000
SDOtherCommit,0.063
Filesystem,0.000
VideoStreaming,0.000
RBScratchRingBuffer,0.000
Normalization,0.000
EmergencyMem,0.000
Network,0.000
Cinematics,0.000
