default,4,kills,deaths,kdRatio,assists,,,,0
war,4,kills,assists,deaths,kdRatio,,,,0
dom,4,kills,captures,defends,deaths,captures,defends,,0
sd,4,kills,plants,defuses,deaths,plants,defuses,,0
ko,4,kills,captures,revives,deaths,captures,revives,,0
conf,4,kills,confirms,denies,deaths,confirms,denies,,0
dm,3,kills,deaths,kdRatio,,,,,0
sr,4,kills,deaths,plants,rescues,plants,rescues,,0
ball,4,kills,deaths,carries,throws,carries,throws,,0
infect,4,kills,deaths,infected,time,time,infected,,0
grind,4,kills,scores,deaths,denies,scores,denies,,0
gun,3,kills,deaths,stabs,,stabs,,,0
team_gun,4,kills,deaths,stabs,setBacks,stabs,setBacks,,0
siege,4,kills,revives,captures,deaths,captures,revives,,0
hq,4,kills,captures,defends,deaths,captures,defends,,0
koth,4,kills,time,defends,deaths,time,defends,,0
tdef,4,kills,deaths,time,defends,time,defends,,0
dd,4,kills,plants,defuses,deaths,plants,defuses,,0
ctf,4,kills,captures,returns,deaths,captures,returns,,0
grnd,4,kills,time,deaths,defends,time,defends,,0
front,4,kills,assists,deaths,kdRatio,,,,0
zombie,4,kills,deaths,revives,downs,,,,0
cmd,4,captures,defends,kills,assists,captures,defends,,0
cyber,4,kills,revives,deaths,plants,plants,revives,,0
esc,4,currency,kills,bounty,escapes,currency,bounty,escapes,0
btm,4,captures,defends,kills,assists,captures,defends,,0
cp_strike,4,kills,assists,deaths,kdRatio,,,,0
cp_trials,4,kills,assists,deaths,kdRatio,,,,0
arena,4,damage,kills,deaths,assists,damage,,,0
rugby,4,kills,assists,deaths,kdRatio,,,,0
arm,4,kills,captures,defends,deaths,captures,defends,,0
snatch,4,kills,assists,deaths,kdRatio,,,,0
pill,4,kills,deaths,assists,kdRatio,,,,0
br,4,kills,assists,deaths,wins,topten,,,0
br_dmz,4,kills,cash,missionParticipation,caches,cash,missionParticipation,caches,0
br_risk,4,kills,cash,missionParticipation,caches,cash,missionParticipation,caches,0
brtdm,4,kills,assists,deaths,kdRatio,,,,0
oic,4,kills,deaths,stabs,streak,stabs,stabs,streak,0
landgrab,4,kills,time,deaths,defends,time,defends,,0
gwtdm,4,contribution,assists,deaths,kdRatio,contribution,,,0
control,4,kills,segmentCaptures,defends,deaths,damage,segmentCaptures,defends,0
robj,4,kills,captures,defends,deaths,captures,defends,,0
ballmode,4,goals,assists,deaths,kdRatio,goals,,,0
brtdm_mgl,4,kills,assists,deaths,kdRatio,,,,0
conflict,4,kills,captures,deaths,defends,captures,defends,,0
bounty,4,kills,assists,deaths,hvtKills,hvtKills,,,0
bigctf,4,kills,captures,returns,deaths,captures,returns,,0
wm,4,kills,assists,deaths,kdRatio,,,,0
xfire,4,kills,deaths,assists,kdRatio,,,,0
hc_war,4,kills,assists,deaths,kdRatio,,,,0
hc_dom,4,kills,captures,defends,deaths,captures,defends,,0
hc_sd,4,kills,plants,defuses,deaths,plants,defuses,,0
hc_koth,4,kills,time,defends,deaths,time,defends,,0
hc_hq,4,kills,captures,defends,deaths,captures,defends,,0
hc_conf,4,kills,confirms,denies,deaths,confirms,denies,,0
hc_dm,3,kills,deaths,kdRatio,,,,,0
hc_control,4,kills,segmentCaptures,defends,deaths,damage,segmentCaptures,defends,0
cdl_koth,4,kills,segmentCaptures,defends,deaths,damage,segmentCaptures,defends,0
cdl_control,4,kills,segmentCaptures,defends,deaths,damage,segmentCaptures,defends,0
cdl_sd,4,kills,plants,defuses,deaths,plants,defuses,,0
lp_koth,4,kills,segmentCaptures,defends,deaths,damage,segmentCaptures,defends,0
lp_control,4,kills,segmentCaptures,defends,deaths,damage,segmentCaptures,defends,0
lp_sd,4,kills,plants,defuses,deaths,plants,defuses,,0
