hash_268b75a24dc9f48a,INFO_POPUPS/PARACHUTE_TITLE,INFO_POPUPS/PARACHUTE_DESC,ui_mp_mobile_control_planejump,1,0,0
hash_9e7e5be4f9905226,INFO_POPUPS/SUPPLY_BOX_TITLE,INFO_POPUPS/SUPPLY_BOX_DESC,ui_mp_br_loot_icon_generic_crate,1,1,0
hash_cb352a992dddb629,INFO_POPUPS/INVENTORY_TITLE,INFO_POPUPS/INVENTORY_DESC,,2,2,0
hash_d2817734c857a193,INFO_POPUPS/SLIDING_TITLE,INFO_POPUPS/SLIDING_DESC,,2,3,0
hash_d479198f2cf05548,INFO_POPUPS/SLIDING_TITLE,INFO_POPUPS/SLIDING_INVERT_DESC,,2,3,0
hash_456c5b02fda6658e,INFO_POPUPS/ARMOR_TITLE,INFO_POPUPS/ARMOR_DESC,,1,4,0
hash_4a76132d9eb71eb6,INFO_POPUPS/ENEMY_DOWN_TITLE,INFO_POPUPS/ENEMY_DOWN_DESC,,1,5,0
hash_4d593d1ce21b6201,INFO_POPUPS/CONTROLS_TITLE,INFO_POPUPS/CONTROLS_DESC,,2,6,0
hash_c0e253e0af3902ef,INFO_POPUPS/CIRCLE_TITLE,INFO_POPUPS/CIRCLE_DESC,,1,7,0
hash_510350e2414acde0,INFO_POPUPS/GAS_TITLE,INFO_POPUPS/GAS_DESC,,1,8,0
hash_33ae5c2c26c8411e,INFO_POPUPS/REVIVE_TITLE,INFO_POPUPS/REVIVE_DESC,,1,9,0
hash_881cb834cf600a4b,INFO_POPUPS/PING_TITLE,INFO_POPUPS/PING_DESC,,2,a,0
hash_9c416185ade78a42,INFO_POPUPS/BUYBACK_TITLE,INFO_POPUPS/BUYBACK_DESC,,1,b,0
hash_92e5a22dc4770f9a,INFO_POPUPS/SWIMMING_TITLE,INFO_POPUPS/SWIMMING_DESC,,2,c,0
hash_d20e5076335e7186,INFO_POPUPS/DRIVING_TITLE,INFO_POPUPS/DRIVING_DESC,,2,d,0
hash_98bb2b32fb32faa6,INFO_POPUPS/INTERROGATION_TITLE,INFO_POPUPS/INTERROGATION_DESC,,2,e,0
hash_8abd8efc18fee4bd,INFO_POPUPS/STRONGHOLD_TITLE,INFO_POPUPS/STRONGHOLD_DESC,,2,f,0
hash_91457e8127bc1d26,INFO_POPUPS/INFIL_TITLE,INFO_POPUPS/INFIL_DESC,,1,10,0
hash_9f002f1286ee1057,INFO_POPUPS/TRUCKWAR_UPGRADE,INFO_POPUPS/TRUCKWAR_UPGRADE_DESC,,1,14,0
