fob_bounty_heli_boss_kills,16163|16165|16167|16169,7?0,
fob_bounty_chemist_kills,16171,7?0,
fob_bounty_wheelson_kills,16173,7?0,
fob_bounty_sniper_rusher_kills,16175|16204|16206|16208,7?0,
fob_bounty_jugg_kills,16177,7?0,
fob_bounty_pyro_kills,16181|16184|16186|16188,7?0,
fob_bounty_scav_kills,16190|16192,7?0,
fob_bounty_velikan_kills,16194|16196,7?0,
fob_bounty_trapper_kills,16198|16200|16202,7?0,
fob_comms_daily_urgent_unlock_black_mous,16538|20222,7?7b26aad84e0721f5,2
fob_comms_daily_urgent_unlock_white_lotus,16540|20224,7?7b26aad84e0721f5,2
fob_comms_daily_urgent_unlock_crown,16542|20228,7?7b26aad84e0721f5,2
fob_comms_daily_urgent_unlock_phalanx,16544|20226,7?7b26aad84e0721f5,2
fob_comms_daily_urgent_unlock_shadow_company,20140|20142,7?7b26aad84e0721f5,2
fob_comms_contract_payment_increase,20648|20650|20652,7?0,
fob_comms_contract_dom_upgrade,20145,7?0,
fob_comms_contract_demo_upgrade,20149,7?0,
fob_comms_contract_trap_upgrade,20153,7?0,
fob_comms_safe_upgrade,20157,7?0,
fob_comms_scav_upgrade,20160,7?0,
fob_comms_uav_tower_upgrade,20164|20679|20684,7?0,
fob_comms_sam_site_upgrade,20171|20689|20694,7?0,
fob_comms_exfil_heli_upgrade,20175,7?0,
fob_equip_starting_armor,20180|20183|20186,7?0,
fob_equip_select_rebreather,20192|20199,7?0,
fob_equip_starting_solo_self_revive,20206,7?0,
fob_stash_wallet_unlock,16214|16216|16220|16225|16227|16230,7?0,
fob_stash_stash_expansion,16233|16236|16240|16244|16249,7?0,
fob_stash_wallet_expansion_premium,16495|16499|16504|16509|16514,7?0,
fob_stash_stash_expansion_premium,16518|16522|16525|16530|16533,7?0,
fob_weapons_insured_slot_1_cooldown,16359|16372,7?0,
fob_weapons_insured_slot_2_unlock,16350|16363|16427,7?0,
fob_weapons_insured_slot_3_unlock,16354|16367|16434,7?0,
fob_weapons_stash_expansion,16448|16453|16456|16459|16463,7?0,
fob_weapons_stash_expansion_premium,16475|16478|16481|16485|16491,7?0,
