0,13322,sp_reward_00,6233
1,13328,sp_reward_01,9997
2,13321,sp_reward_02,3946
3,13320,sp_reward_03,3948
4,13333,sp_reward_04,6128
5,13334,sp_reward_05,5513|5043
6,13331,sp_reward_06,3946
7,13327,sp_reward_07,3948
8,13329,sp_reward_08,6702
9,13323,sp_reward_09,5546|5094
10,13324,sp_reward_10,3955
11,13326,sp_reward_11,3951
12,13332,sp_reward_12,6706
13,13318,sp_reward_13,11387|5087
14,13325,sp_reward_14,3955
15,13319,sp_reward_15,5514|5037
16,13330,sp_reward_16,11806|10759|10975|10708|10868|11060|10579|10775|10689|11045
