invalid,UNKNOWN,PRESENCE/SP_UNKNOWN_MAP,0
sp_jup_vip,GOLD,PRESENCE/SP_JUP_VIP,0
cp_jup_port,GOLD,PRESENCE/CP_JUP_PORT,0
cp_jup_chemical,GOLD,PRESENCE/CP_JUP_CHEMICAL,0
sp_jup_silo,GOLD,PRESENCE/SP_JUP_SILO,0
sp_jup_milbase,GOLD,PRESENCE/SP_JUP_MILBASE,0
sp_jup_hijack,GOLD,PRESENCE/SP_JUP_HIJACK,0
cp_jup_ranch,GOLD,PRESENCE/CP_JUP_RANCH,0
sp_jup_flashback,GOLD,PRESENCE/SP_JUP_FLASHBACK,0
cp_jup_resort,GOLD,PRESENCE/CP_JUP_RESORT,0
cp_jup_apt,GOLD,PRESENCE/CP_JUP_APT,0
sp_jup_tundra,GOLD,PRESENCE/SP_JUP_TUNDRA,0
cp_jup_dam,GOLD,PRESENCE/CP_JUP_DAM,0
sp_jup_gunship,GOLD,PRESENCE/SP_JUP_GUNSHIP,0
sp_jup_surge,GOLD,PRESENCE/SP_JUP_SURGE,0
