ui_equipment_id_health_numCharges,1,,c,i,0,0,99,
ui_br_has_plate_pouch,1,,c,b,0,0,1,
ui_equipment_id_health,1,,c,i,0,0,128,
ui_cp_armor_amount,1,,c,i,0,0,512,
ui_gasmask_damage,1,,c,f,1,0,1,
ui_head_equip_class,1,,c,i,0,0,3,
open_inventory,1,,c,i,0,0,1,
ui_br_smallarms_ammo,1,,c,i,0,0,999,
ui_br_shotgun_ammo,1,,c,i,0,0,999,
ui_br_assault_ammo,1,,c,i,0,0,999,
ui_br_sniper_ammo,1,,c,i,0,0,999,
ui_br_rocket_ammo,1,,c,i,0,0,999,
ui_br_last_droppable_weapon,1,,c,i,-1,-1,65535,
ui_br_plunder_count,1,,c,i,0,0,268435456,
ui_br_plunder_count2,1,,c,i,0,0,268435456,
ui_br_objective_index,1,,c,i,0,0,250,
ui_br_objective_reward_tier,1,,c,i,0,0,250,
ui_br_objective_param,1,,c,i,0,0,99999,
ui_br_objective_param_max_override,1,,c,i,0,0,99999,
ui_br_objective_countdown_timer,1,,c,t,0,,,1
ui_br_objective_loot_id,1,,c,i,-1,-1,10000000,
ui_br_assassination_target,1,,c,i,0,0,2047,
ui_br_assassination_target_timer,1,,c,t,0,,,1
ui_br_objective_types,1,,g,a,0,,,
ui_spawn_perk_0,1,,c,i,-1,-1,46,
ui_spawn_perk_1,1,,c,i,-1,-1,46,
ui_spawn_perk_2,1,,c,i,-1,-1,46,
ui_spawn_perk_3,1,,c,i,-1,-1,46,
ui_spawn_perk_4,1,,c,i,-1,-1,46,
ui_spawn_perk_5,1,,c,i,-1,-1,46,
ui_spawn_perk_6,1,,c,i,-1,-1,46,
