0,23466,jup_rank_00,,31353|31350|27453|27255|27330|27334|27380|27383|45945|45968|45967|45961|27396|27087|27263|17203|32081|17208|17211|17777|17210|17184|17205|30013|30038|29998|27291|17736|29984|29999|17235|29987|30000|17241|29982|29985|29838|30435|30001|27311|34964|17782|27420|35572|22901|22903|22970|22974|22739|22741|23891|22356|22359|22568|22570|22860|30825|27014|27015|22818|22819|35818|1200|3721|3507|1934|2971|30775|37195|2239|6036|6120|6287|6384|6412|6443|6585|6939|35605|35606|39751|39752|6017|6037|6060|6067|6084|6088|6187|6188|6208|6240|6246|6252|6254|6358|6397|6411|6416|6505|6508|6511|6524|6531|6973|6551|6603|6604|6609|6649|6650|6656|6674|6705|6710|6733|6763|6804|6815|6820|6848|6851|6852|6878|6890|6901|6904|6922|6951|6995|20953|9710|9733|10007|10033|10051|10082|10335|37348|37349|37350|37351|9477|9499|9529|9541|9571|9608|9614|9615|9617|9619|9621|9642|9647|9660|9677|9695|9721|9754|9755|9800|9801|9826|9852|9862|9887|9890|9901|9923|9981|10000|10023|10040|10058|10065|10114|10137|10229|10239|10279|10288|10328|10356|10366|10371|10382|10402|10436|10437|9791|23264|39691,
1,23467,jup_rank_01,,31351,
2,23468,jup_rank_02,,32478,
3,23469,jup_rank_03,,31352|11344|33538|25653,
4,23470,jup_rank_04,,27359|3962|45955,
5,23471,jup_rank_05,,27449|45949,(21:5)
6,23472,jup_rank_06,,17209,
7,23473,jup_rank_07,,27250,
8,23474,jup_rank_08,,27454|27361|45953,(21:5)
9,23475,jup_rank_09,,33542|27367|8429,
10,23476,jup_rank_10,,33537|45944,(21:5)
11,23477,jup_rank_11,,17193,
12,23478,jup_rank_12,,27294,
13,23479,jup_rank_13,,27335|45960,
14,23480,jup_rank_14,,27373|3948,
15,23481,jup_rank_15,,27264|45948,(21:5)
16,23482,jup_rank_16,,17189,
17,23483,jup_rank_17,,27308|45964,(21:5)
18,23484,jup_rank_18,,33020|27395|45942,(21:5)
19,23485,jup_rank_19,,33543|8599|48002,
20,23486,jup_rank_20,,17187,
21,23487,jup_rank_21,,27410|45963,
22,23488,jup_rank_22,,27504|45962,(21:5)
23,23489,jup_rank_23,,27386,(21:5)
24,23490,jup_rank_24,,33863,(21:5)
25,23491,jup_rank_25,,27362|3942|45940,
26,23492,jup_rank_26,,17194,
27,23493,jup_rank_27,,27440|45958,(21:5)
28,23494,jup_rank_28,,27381|27452|45954,(21:5)
29,23495,jup_rank_29,,27259|33539,
30,23496,jup_rank_30,,46989,
31,23497,jup_rank_31,,27328|45943,
32,23498,jup_rank_32,,27261,
33,23499,jup_rank_33,,33749|8355|45959,
34,23500,jup_rank_34,,27356,
35,23501,jup_rank_35,,27377,(21:5)
36,23502,jup_rank_36,,17181,
37,23503,jup_rank_37,,21637|45965,
38,23504,jup_rank_38,,27450|17216|46002,(21:5)
39,23505,jup_rank_39,,31564,
40,23506,jup_rank_40,,27338|27429|45939,
41,23507,jup_rank_41,,27269,
42,23508,jup_rank_42,,27368|8594,
43,23509,jup_rank_43,,17182,
44,23510,jup_rank_44,,27394|27419|45941,
45,23511,jup_rank_45,,27331,
46,23512,jup_rank_46,,27393|45938,(21:5)
47,23513,jup_rank_47,,11337,
48,23514,jup_rank_48,,27337|45956,
49,23515,jup_rank_49,,17197|33541|27455,
50,23516,jup_rank_50,,27435|45950,
51,23517,jup_rank_51,,9212|45957,(21:5)
52,23518,jup_rank_52,,27313,(21:5)
53,23519,jup_rank_53,,31566|3951|45947,
54,23520,jup_rank_54,21786|17838|17839|17840|17841|17842|17843|17845|17847|17849|17850|18653|18655|18657|18659|18661|18686|18688|18690|18692|18693|18699|18701|18703|18705|18707|18709|26941,27441|17183,
55,23521,jup_rank_55,14763|14764|14776|15742|14835|21391|21394|21395|21396|21398,,
56,28505,jup_rank_56,,,
57,28506,jup_rank_57,,,
58,28507,jup_rank_58,,,
59,28508,jup_rank_59,,,
60,28509,jup_rank_60,,,
61,28510,jup_rank_61,,,
62,28511,jup_rank_62,,,
63,28512,jup_rank_63,,,
64,28513,jup_rank_64,,,
65,28514,jup_rank_65,,,
66,28515,jup_rank_66,,,
67,28516,jup_rank_67,,,
68,28517,jup_rank_68,,,
69,28518,jup_rank_69,,,
70,28519,jup_rank_70,,,
71,28520,jup_rank_71,,,
72,28521,jup_rank_72,,,
73,28522,jup_rank_73,,,
74,28523,jup_rank_74,,,
75,28524,jup_rank_75,,,
76,28525,jup_rank_76,,,
77,28526,jup_rank_77,,,
78,28527,jup_rank_78,,,
79,28528,jup_rank_79,,,
80,28529,jup_rank_80,,,
81,28530,jup_rank_81,,,
82,28531,jup_rank_82,,,
83,28532,jup_rank_83,,,
84,28533,jup_rank_84,,,
85,28534,jup_rank_85,,,
86,28535,jup_rank_86,,,
87,28536,jup_rank_87,,,
88,28537,jup_rank_88,,,
89,28538,jup_rank_89,,,
90,28539,jup_rank_90,,,
91,28540,jup_rank_91,,,
92,28541,jup_rank_92,,,
93,28542,jup_rank_93,,,
94,28543,jup_rank_94,,,
95,28544,jup_rank_95,,,
96,28545,jup_rank_96,,,
97,28546,jup_rank_97,,,
98,28547,jup_rank_98,,,
99,28548,jup_rank_99,14795|14796|14797|14778|14836|21426|21427|21428|21429|21430,,
100,28549,jup_rank_100,,,
101,28550,jup_rank_101,,,
102,28551,jup_rank_102,,,
103,28552,jup_rank_103,,,
104,28553,jup_rank_104,,,
105,28554,jup_rank_105,,,
106,28555,jup_rank_106,,,
107,28556,jup_rank_107,,,
108,28557,jup_rank_108,,,
109,28558,jup_rank_109,,,
110,28559,jup_rank_110,,,
111,28560,jup_rank_111,,,
112,28561,jup_rank_112,,,
113,28562,jup_rank_113,,,
114,28563,jup_rank_114,,,
115,28564,jup_rank_115,,,
116,28565,jup_rank_116,,,
117,28566,jup_rank_117,,,
118,28567,jup_rank_118,,,
119,28568,jup_rank_119,,,
120,28569,jup_rank_120,,,
121,28570,jup_rank_121,,,
122,28571,jup_rank_122,,,
123,28572,jup_rank_123,,,
124,28573,jup_rank_124,,,
125,28574,jup_rank_125,,,
126,28575,jup_rank_126,,,
127,28576,jup_rank_127,,,
128,28577,jup_rank_128,,,
129,28578,jup_rank_129,,,
130,28579,jup_rank_130,,,
131,28580,jup_rank_131,,,
132,28581,jup_rank_132,,,
133,28582,jup_rank_133,,,
134,28583,jup_rank_134,,,
135,28584,jup_rank_135,,,
136,28585,jup_rank_136,,,
137,28586,jup_rank_137,,,
138,28587,jup_rank_138,,,
139,28588,jup_rank_139,,,
140,28589,jup_rank_140,,,
141,28590,jup_rank_141,,,
142,28591,jup_rank_142,,,
143,28592,jup_rank_143,,,
144,28593,jup_rank_144,,,
145,28594,jup_rank_145,,,
146,28595,jup_rank_146,,,
147,28596,jup_rank_147,,,
148,28597,jup_rank_148,,,
