17182,25542|25538|15314|15318|25555|25559|15655|15658|25723|16608,0
11302,15305|15306|15307|15308|15309|15310|15311|15435|15436|15437|15438|15439|15440|15441|15668|15669|15670|15671|15672|15673|15674|15647|15648|15649|15650|15651|15652|15653|16600|16601|16602|16603|16604|16605|16606|16696|16697|16698|16699|16700|16701|16702|16724|16725|16726|16727|16728|16729|16730|16761|16760|16759|16758|16757|16756|16755|16783|16784|16786|16787|16785|16788|16789|16824|16825|16826|16827|16828|16829|16830|16852|16853|16854|16855|16856|16857|16858|16882|16883|16884|16885|16886|16887|16888,0
17209,25545|25547,0
17186,25556|15656,0
17194,25562|25560|15657|15659,0
17181,25730|25762|25764|25765|16792|16795|16794|25769|16833|16891,0
17216,16705|16707|25744|16835|16893,0
17199,25745|25748|16734|16737|25779|16834|25869|16894,0
17197,25768|25867,0
17192,16832|16890,0
17183,25863|25864|16863|16864|25868|25873,0
17218,16892,0
