kills,MPUI/KILLS,icon_scoreboard_kills,1,BATTLEPASS/KILLS_BONUS,icon_commendation_most_kills_alt,LUA_MENU/ELIMINATIONS,0
deaths,LUA_MENU/DEATHS,icon_scoreboard_deaths,,,,,0
revives,LUA_MENU/REVIVES,icon_scoreboard_revives,1,BATTLEPASS/REVIVES_BONUS,icon_commendation_revives_alt,,0
downs,MENU/DOWNS,,,,,,0
assists,LUA_MENU/ASSISTS,,1,BATTLEPASS/ASSISTS_BONUS,icon_commendation_most_assists_alt,,0
kdRatio,LUA_MENU/WEAPPERF_KDR,,,,,,0
time,LUA_MENU/TIME,,,,,,0
objTime,LUA_MENU/TIME,,,,,,0
captures,LUA_MENU/CAPTURES,,1,BATTLEPASS/CAPTURES_BONUS,icon_commendation_captures_alt,,0
defends,MENU/DEFENDS,,1,BATTLEPASS/DEFENDS_BONUS,icon_commendation_defends_alt,,0
plants,LUA_MENU/PLANTS,icon_scoreboard_plants,1,BATTLEPASS/PLANTS_BONUS,icon_commendation_bombs_planted_alt,,0
defuses,MENU/DEFUSES,,1,BATTLEPASS/DEFUSES_BONUS,icon_commendation_bombs_defused_alt,,0
confirms,LUA_MENU/CONFIRMS,,1,BATTLEPASS/CONFIRM_BONUS,icon_commendation_tags_captured_alt,,0
denies,LUA_MENU/DENIES,,1,BATTLEPASS/DENIES_BONUS,icon_commendation_tags_denied_alt,,0
banks,LUA_MENU_MP/BANKS_CAPS,,1,BATTLEPASS/CONFIRM_BONUS,icon_commendation_tags_captured_alt,,0
streak,LUA_MENU/LIFESTREAK,,1,BATTLEPASS/KILLSTREAK_BONUS,icon_commendation_killstreak_kills_alt,,0
rescues,LUA_MENU/RESCUES,,1,BATTLEPASS/RESCUES_BONUS,icon_commendation_revives_alt,,0
carries,LUA_MENU_MP/CARRIES,,1,BATTLEPASS/CARRIES_BONUS,icon_commendation_kills_carrier_alt,,0
throws,LUA_MENU_MP/THROWS,,,,,,0
infected,LUA_MENU/INFECTED_SCOREBOARD,,1,BATTLEPASS/INFECTED_KILLS_BONUS,icon_commendation_kills_infected_alt,,0
scores,LUA_MENU/SCORES,,,,,,0
stabs,LUA_MENU_MP/MELEES,,,,,,0
setBacks,LUA_MENU_MP/SETBACKS,,1,BATTLEPASS/SETBACKS_BONUS,icon_commendation_setbacks_alt,,0
returns,LUA_MENU_MP/RETURNS,,1,BATTLEPASS/FLAG_RETURNS_BONUS,icon_commendation_returns_alt,,0
currency,LUA_MENU_MP/CURRENCY,,,,,,0
bounty,LUA_MENU_MP/BOUNTY_LEVEL,,,,,,0
escapes,LUA_MENU/ESCAPES,,,,,,0
damage,LUA_MENU_MP/DAMAGE,,,,,,0
headShots,LUA_MENU/WEAPPERF_HEADSHOTS,,,,,,0
accuracy,LUA_MENU/WEAPPERF_ACCURACY,,,,,,0
uses,LUA_MENU_MP/USES,,,,,,0
scorePerMinute,LUA_MENU_MP/SCORE_PER_MINUTE,,,,,,0
hits,LUA_MENU/HITS,,,,,,0
healed,LUA_MENU/HEALED,,,,,,0
cleanups,LUA_MENU_MP/CLEANUPS,,,,,,0
contracts,LUA_MENU_MP/CONTRACTS,,,,,,0
wins,LUA_MENU/WINS,,,,,,0
topten,LUA_MENU/TOP_TEN,,,,,,0
gamePlayed,LUA_MENU/GAMES_PLAYED,,,,,,0
cash,LUA_MENU_MP/CASH,,,,,,0
caches,LUA_MENU_MP/CACHES,,,,,,0
missionParticipation,LUA_MENU_MP/MISSION_PARTICIPATION,,,,,,0
contribution,LUA_MENU/CONTRIBUTION,,,,,,0
goals,LUA_MENU/GOALS,,,,,,0
segmentCaptures,LUA_MENU/CAPTURES,,,,,,0
hvtKills,LUA_MENU/HVT_KILLS,,,,,,0
