13782,iw9_ch_master_warzone_plunder2_wins,CHALLENGE/PLUNDER2_WIN_TITLE,CHALLENGE/PLUNDER2_WIN_DESC_1,1|5|10,0|0|0,21166|21161|25874,,,,,,
13861,iw9_ch_master_warzone_plunder2_matches,CHALLENGE/PLUNDER2_ROBBER_TITLE,CHALLENGE/PLUNDER2_ROBBER_DESC,50,0,24591,,,,,,
13830,iw9_ch_master_warzone_plunder2_elims,CHALLENGE/PLUNDER2_STORAGE_TITLE,CHALLENGE/PLUNDER2_STORAGE_DESC,1000,0,24587,,,,,,
13862,iw9_ch_master_warzone_plunder2_ai,CHALLENGE/PLUNDER2_HEADHUNTER_TITLE,CHALLENGE/PLUNDER2_HEADHUNTER_DESC,250,0,24592,,,,,,
13864,iw9_ch_master_warzone_plunder2_cash,CHALLENGE/PLUNDER2_SCROOGE_TITLE,CHALLENGE/PLUNDER2_SCROOGE_DESC,1000000,0,24590,,,,,,
13865,iw9_ch_master_warzone_plunder2_sell,CHALLENGE/PLUNDER2_PAWN_TITLE,CHALLENGE/PLUNDER2_PAWN_DESC,1,0,24588,,,,,,
14228,iw9_ch_master_warzone_plunder2_buy,CHALLENGE/PLUNDER2_SPENDER_TITLE,CHALLENGE/PLUNDER2_SPENDER_DESC,1,0,24589,,,,,,
8951,iw9_ch_hidden_br_mode_first_clear,CHALLENGE/BR_HIDDEN_FIRST_WIN,CHALLENGE/BR_HIDDEN_FIRST_WIN_DESC,1,10000,6525,,,,,,
8952,iw9_ch_hidden_br_mode_first_win,CHALLENGE/BR_HIDDEN_WIN_MATCH,CHALLENGE/BR_HIDDEN_WIN_MATCH_DESC,1,10000,6139|9708,,,,,,
8953,iw9_ch_hidden_br_thirty_kills,CHALLENGE/BR_HIDDEN_30_KILLS,CHALLENGE/BR_HIDDEN_30_KILLS_DESC,1,10000,7005,,,,,,
8954,iw9_ch_hidden_br_boss_kill,CHALLENGE/BR_HIDDEN_DEFEAT_BOSS,CHALLENGE/BR_HIDDEN_DEFEAT_BOSS_DESC,1,10000,6199|15511|15514|15690|15712|15761|15792|15804|15814|15026,,,,,stronghold_boss_kill_challenge_complete,15026
11408,iw9_ch_hidden_br_clear_stronghold_S2,CHALLENGE/BR_HIDDEN_CLEAR_STRONGHOLD,CHALLENGE/BR_HIDDEN_CLEAR_STRONGHOLD_DESC,1,10000,10257|14890|14918|14707|8898|12602,,,,,,
16561,iw9_ch_hidden_br_clear_stronghold_S4,CHALLENGE/BR_HIDDEN_CLEAR_STRONGHOLD,CHALLENGE/BR_HIDDEN_CLEAR_STRONGHOLD_DESC,1,10000,18606|30896,,,,,,
9968,iw9_ch_hidden_br_prevent_elite_contract,CHALLENGE/BR_HIDDEN_PREVENT_ELITE_CONTRACT,CHALLENGE/BR_HIDDEN_PREVENT_ELITE_CONTRACT_DESC,1,10000,9596,,,,,,
16560,iw9_ch_br_complete_champions_quest_S4,CHALLENGE/BR_COMPLETE_CHAMPIONS_QUEST,CHALLENGE/BR_COMPLETE_CHAMPIONS_QUEST_DESC,0,0,29866|29864|30313|15113,,,,,,
20103,iw9_ch_br_complete_champions_quest_delta_S5,CHALLENGE/BR_COMPLETE_CHAMPIONS_QUEST,CHALLENGE/BR_COMPLETE_CHAMPIONS_QUEST_DESC,0,0,25129|6487|9503|15350|27584,,,,,,
8885,iw9_ch_sticker_br_mode_win_match,CHALLENGE/BR_HIDDEN_STICKER_EXTRACTIONS,CHALLENGE/BR_HIDDEN_STICKER_EXTRACTIONS_DESC,1|2|3|4|5|6|7|8|9|10|20|30|40|50|60|70|80|90|100|200|300|400|500|600|700|800|900|1000,5000|5000|5000|5000|500|500|5000|5000|5000|5000|5000|5000|5000|5000|5000|5000|5000|5000|5000|5000|5000|5000|5000|5000|5000|5000|5000|5000,12558|12425|12587|12395|12438|12489|12582|12597|12474|12532|12504|12559|12543|12563|12484|12408|12431|12564|12512|12396|12590|12473|12588|12413|12435|12505|12591,,,,,,
