7370,iw9_leagueplay_s1_challenge_wins,133,,,5|10|25|50|75|100,,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,Seasonal,Seasonal,1,,,
7395,iw9_leagueplay_s2_challenge_wins,133,LP/CHALLENGE_TITLE_SEASON_WINS,LP/CHALLENGE_DESC_SEASON_WINS,5|10|25|50|75|100,12490|18064|8710|17433|14755|19764,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,Seasonal,Seasonal,2,,,
7382,iw9_leagueplay_s3_challenge_wins,133,LP/CHALLENGE_TITLE_SEASON_WINS,LP/CHALLENGE_DESC_SEASON_WINS,5|10|25|50|75|100,12455|24412|8677|21130|18566|26112,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,Seasonal,Seasonal,3,,,
7402,iw9_leagueplay_s4_challenge_wins,133,LP/CHALLENGE_TITLE_SEASON_WINS,LP/CHALLENGE_DESC_SEASON_WINS,5|10|25|50|75|100,15370|29771|27597|21197|18597|29343,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,Seasonal,Seasonal,4,,,
7367,iw9_leagueplay_s5_challenge_wins,133,LP/CHALLENGE_TITLE_SEASON_WINS,LP/CHALLENGE_DESC_SEASON_WINS,5|10|25|50|75|100,30909|33843|27671|21302|18598|29345,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,Seasonal,Seasonal,5,,,
13833,iw9_wz_leagueplay_s1_challenge_placement_top15,216,LP/CHALLENGE_TITLE_SEASON_PLACE,LP/CHALLENGE_DESC_SEASON_TOP15,25,,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,Seasonal,Seasonal,1,,,15
13834,iw9_wz_leagueplay_s2_challenge_placement_top15,216,LP/CHALLENGE_TITLE_SEASON_PLACE,LP/CHALLENGE_DESC_SEASON_TOP15,25,,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,Seasonal,Seasonal,2,,,15
13835,iw9_wz_leagueplay_s3_challenge_placement_top15,216,LP/CHALLENGE_TITLE_SEASON_PLACE,LP/CHALLENGE_DESC_SEASON_TOP15,25,21203,2500,2500,2500,Seasonal,Seasonal,3,,,15
13836,iw9_wz_leagueplay_s4_challenge_placement_top15,216,LP/CHALLENGE_TITLE_SEASON_PLACE,LP/CHALLENGE_DESC_SEASON_TOP15,25,21229,2500,2500,2500,Seasonal,Seasonal,4,,,15
13837,iw9_wz_leagueplay_s5_challenge_placement_top15,216,LP/CHALLENGE_TITLE_SEASON_PLACE,LP/CHALLENGE_DESC_SEASON_TOP15,50,21304,2500,2500,2500,Seasonal,Seasonal,5,,,15
