24,iw9_activate_battlepass_xp_token,,1,0
25,iw9_activate_battlepass_xp_token_epic,,1,0
26,iw9_activate_battlepass_xp_token_legendary,,1,0
27,iw9_activate_battlepass_xp_token_rare,,1,0
28,iw9_activate_clan_xp_token,,1,0
29,iw9_activate_operator_xp_token,,1,0
30,iw9_activate_player_xp_token,,1,0
31,iw9_activate_player_xp_token_epic,,1,0
32,iw9_activate_player_xp_token_legendary,,1,0
33,iw9_activate_player_xp_token_rare,,1,0
34,iw9_activate_player_xp_token_year,,1,0
35,iw9_activate_weapon_xp_token,,1,0
36,iw9_activate_weapon_xp_token_epic,,1,0
37,iw9_activate_weapon_xp_token_legendary,,1,0
38,iw9_activate_weapon_xp_token_rare,,1,0
39,iw9_activation_pool,,1,0
40,iw9_alive_in_gas,,,0
41,iw9_alive_not_downed,,,0
42,iw9_assist,,,0
44,iw9_battlemap_token_purchase,,1,4
45,iw9_battlemap_token_spend,,1,0
46,iw9_br_tutorial_complete,,1,4
47,iw9_buy_item,,,0
48,iw9_capture,,,0
49,iw9_collect_item,,,0
50,iw9_connection_update,,,0
51,iw9_contract_end,,,0
52,iw9_contract_start,,,0
53,iw9_cp_addxp,0-1-3-19-31-45,,0
55,iw9_cp_complete,,,0
56,iw9_daily_ch_override,,1,0
57,iw9_death,,,0
59,iw9_defuse,,,0
60,iw9_driving,,,0
61,iw9_end_activity,,,0
62,iw9_end_match,,,0
63,iw9_end_trial,,,0
64,iw9_equipment,,,0
65,iw9_field_end,,,0
66,iw9_field_upgrade,,,0
67,iw9_gametype_event,,,0
68,iw9_give_loot,,1,0
70,iw9_hack,,,0
71,iw9_happy_hour,,1,0
72,iw9_high_five_received,,1,0
73,iw9_high_five_sent,,1,0
74,iw9_join_clan,,1,0
75,iw9_kill,,,1
76,iw9_killstreak,,,0
77,iw9_killstreak_available,,,0
78,iw9_killstreak_end,,,0
79,iw9_leagueplay_daily_refresh,,1,0
80,iw9_leagueplay_end_game,,,0
82,iw9_leagueplay_end_of_season,,1,0
83,iw9_leagueplay_lobby_disconnect,,,0
84,iw9_leagueplay_penalty_seen,,1,0
85,iw9_leagueplay_processed_league,,1,0
86,iw9_leagueplay_update_skill_rating,,,0
88,iw9_leave_clan,,1,0
89,iw9_loadout,,,0
90,iw9_login,,1,0
91,iw9_loot_item,,,0
93,iw9_mgl_edge_item_gain,,,0
95,iw9_mp_addxp,0-1-3-19-31-45,,4
97,iw9_perk,,,0
98,iw9_pickup,,,0
99,iw9_ping,,,0
103,iw9_rejoin_reject,,1,0
104,iw9_revive,,,0
105,iw9_seasons,,1,4
106,iw9_sp_mission_complete,,1,4
107,iw9_spray,,,0
108,iw9_start_activity,,,0
109,iw9_start_match,,,4
110,iw9_stim,,,0
111,iw9_stun,,,0
112,iw9_tournament_end,,,0
113,iw9_use_item,,,0
114,iw9_zm_apply_status_effect,,,0
115,iw9_zm_area_unlock,,,0
116,iw9_zm_armor,,,0
117,iw9_zm_assist,,,0
118,iw9_zm_covenant_purchase,,,0
119,iw9_zm_craft_equipment,,,0
120,iw9_zm_crystal,,,0
121,iw9_zm_exfil,,,0
122,iw9_zm_heal,,,0
123,iw9_zm_kill,,,0
124,iw9_zm_max_perks,,,0
126,iw9_zm_objective_complete,,,0
127,iw9_zm_perk_gain,,,0
216,iw9_mgl_inbox_complete_event,,1,0
221,iw9_downed,,,0
222,iw9_damaged,31,,0
342,iw9_mgl_ftue_give_item,,1,4
345,iw9_confirmed_kill,,,0
347,iw9_login_dmz,,1,0
348,iw9_dmz_give_loot,,,0
349,iw9_activate_battlepass,,1,0
358,iw9_wc_gamble,,1,0
362,iw9_stats,88-101-198-199-200,,10
369,iw9_gulag_end,,,0
373,iw9_jailbreak_player_respawn,,,0
374,iw9_champions_quest,,,0
380,iw9_loot_cache,,,0
384,iw9_unlock,,,0
399,iw9_activate_battlepass_blackcell,,1,0
411,iw9_activate_unlock_token,,1,0
412,iw9_battlemap_onboarding,,1,0
415,iw9_unassisted_kill,,,0
417,iw9_extract_failed,,,0
419,iw9_mgl_ftue_complete,,1,0
420,iw9_mgl_ftue_reset,,1,0
421,iw9_dev_grant_ticket,,1,0
423,iw9_mgl_pre_ftue_start,,1,0
428,iw9_mgl_daily_lineup_reset,,1,0
430,iw9_activate_weapon_xp_token_year,,1,0
432,iw9_activate_battlepass_xp_token_year,,1,0
434,iw9_update_progress_community,,1,0
447,iw9_battlemap_activate_sector,,1,0
461,iw9_leagueplay_start_game,,,0
462,iw9_trophies_earned,,,0
464,iw9_battlemap_configuration,,1,0
468,iw9_trophy_purchase,,1,0
471,iw9_mgl_ftue_progress_transfer,,1,0
495,iw9_mgl_cohort_reward_notification,,,0
504,iw9_trophy_xp_conversion,,1,0
510,cer_creator_viewer_reward_redeem,,,0
511,iw9_weapon_damage,,,0
515,iw9_battlemap_revoke,,1,0
516,iw9_login_reward_claim,,1,0
517,iw9_win_challenge_update_ordered_list,,1,0
520,iw9_win_challenge_grant_points,,,0
521,iw9_win_challenge_bypass_request,,1,0
523,iw9_ob_interact,,,0
524,iw9_mp_addscore,88,,4
526,iw9_login_ob,,1,0
527,iw9_match_placement,,,0
528,iw9_mgl_daily_lineup_login,,1,0
529,iw9_login_reward_reset,,1,0
531,iw9_game_flags,,,0
560,iw9_dmz_s4_soft_reset,,1,0
563,iw9_s5_switch_team,,1,0
567,iw9_leagueplay_end_of_season_sd_setback,,1,0
571,iw9_vehicle,,,0
575,iw9_drone_gun_emp,,,0
592,iw9_squad_wiped,,,0
593,iw9_multikill,,,0
604,iw9_br_secondary_victory,,,0
605,iw9_br_stronghold_advance,,,0
606,iw9_ob_give_loot,,,0
608,iw9_never_sent_dummy,,,0
609,iw9_ftue_video_claim_reward,,1,0
