0,veh_horn_default,VEHICLES/VEH_HORN_DEFAULT,hash_46d44296a7ef2a94,veh9_mil_lnd_apc_8x8_horn,hash_21a0fdc708cad7a9,veh9_mil_lnd_atv_horn,hash_70e9feee76d1e80,veh9_mil_lnd_cargo_truck_horn,hash_d7964dbfed2c1966,veh9_civ_lnd_suv_1996_horn,hash_811ef3a9ff71c539,veh9_mil_air_lbravo_horn,hash_675d303c09e5cf44,veh9_mil_lnd_utv_horn,hash_48ab40a634a6ce6,vehicle_horn_preview,0
1,veh_horn_001,VEHICLES/VEH_HORN_RIDE_OF_THE_VALKYRIES,hash_1f4332393b9ddfdd,veh_horn_large_valkyries,hash_40f454f00b11af8c,veh_horn_compact_valkyries,hash_cda197eb4e28b941,veh_horn_large_valkyries,hash_1f4332393b9ddfdd,veh_horn_mid_valkyries,hash_38edaf763fd9e0b6,veh_horn_lbravo_valkyries,hash_73c7fbeefdbb9c9,veh_horn_compact_valkyries,hash_2dcc427aef299973,vehicle_horn_preview,0
2,veh_horn_002,VEHICLES/VEH_HORN_CHARGE,hash_380f8c24a4a2d6e3,veh_horn_large_charge,hash_e79828207bd2eaf6,veh_horn_compact_charge,hash_8174bc3cb33bb65f,veh_horn_large_charge,hash_380f8c24a4a2d6e3,veh_horn_mid_charge,hash_951f161421f668ac,veh_horn_lbravo_charge,hash_369882efe9d634b3,veh_horn_compact_charge,hash_ee2905956dfca0b9,vehicle_horn_preview,0
3,veh_horn_003,VEHICLES/VEH_HORN_LA_CUCARACHA,hash_1ea41eb17bfff7db,veh_horn_large_lacucaracha,hash_ab7898b5a148803e,veh_horn_compact_lacucaracha,hash_b749d577636f71b7,veh_horn_large_lacucaracha,hash_1ea41eb17bfff7db,veh_horn_mid_lacucaracha,hash_4d2f4894ff35fc54,veh_horn_lbravo_lacucaracha,hash_10914180f27fc5eb,veh_horn_compact_lacucaracha,hash_8b083f58905f3e41,vehicle_horn_preview,0
4,veh_horn_004,VEHICLES/VEH_HORN_RACE_COUNTDOWN,hash_59fb4a9463be65b5,veh_horn_countdown,hash_59fb4a9463be65b5,veh_horn_countdown,hash_59fb4a9463be65b5,veh_horn_countdown,hash_59fb4a9463be65b5,veh_horn_countdown,hash_59fb4a9463be65b5,veh_horn_countdown,hash_59fb4a9463be65b5,veh_horn_countdown,hash_59fb4a9463be65b5,vehicle_horn_preview,0
5,veh_horn_005,VEHICLES/VEH_HORN_CLOWN,hash_ca110e2b301bf713,veh_horn_clown,hash_ca110e2b301bf713,veh_horn_clown,hash_ca110e2b301bf713,veh_horn_clown,hash_ca110e2b301bf713,veh_horn_clown,hash_ca110e2b301bf713,veh_horn_clown,hash_ca110e2b301bf713,veh_horn_clown,hash_ca110e2b301bf713,vehicle_horn_preview,0
6,veh_horn_006,VEHICLES/VEH_HORN_HOCKEYGOAL,hash_43a2dfdf2e72dd0c,veh_horn_hockeygoal,hash_43a2dfdf2e72dd0c,veh_horn_hockeygoal,hash_43a2dfdf2e72dd0c,veh_horn_hockeygoal,hash_43a2dfdf2e72dd0c,veh_horn_hockeygoal,hash_43a2dfdf2e72dd0c,veh_horn_hockeygoal,hash_43a2dfdf2e72dd0c,veh_horn_hockeygoal,hash_43a2dfdf2e72dd0c,vehicle_horn_preview,0
7,veh_horn_007,VEHICLES/VEH_HORN_STARS_AND_STRIPES,hash_d43296e87d69c4c4,veh_horn_large_stars,hash_45fb41b1c9e7ed6a,veh_horn_compact_stars_01,hash_d43296e87d69c4c4,veh_horn_large_stars,hash_45fb41b1c9e7ed6a,veh_horn_mid_stars,hash_e4762134c98ec71d,veh_horn_lbravo_stars,hash_a853d0f76205c040,veh_horn_compact_stars_02,hash_6daa74d2f0455a42,vehicle_horn_preview,0
8,veh_horn_008,VEHICLES/VEHICLE_HORN_1812_OVERTURE,hash_1d0dc83c801737fd,veh_horn_large_1812,hash_eb9e711ef0362f29,veh_horn_compact_1812,hash_1d0dc83c801737fd,veh_horn_large_1812,hash_eb9e711ef0362f29,veh_horn_mid_1812,hash_c5a89f2cef712812,veh_horn_lbravo_1812,hash_c6568b8c800b92bd,veh_horn_compact_1812,hash_1d0dc83c801737fd,vehicle_horn_preview,0
9,veh_horn_009,VEHICLES/VEHICLE_HORN_MARS,hash_e3d5ee1dac3b5ff4,veh_horn_large_mars,hash_4913a9b3a7c968da,veh_horn_compact_mars,hash_e3d5ee1dac3b5ff4,veh_horn_large_mars,hash_4913a9b3a7c968da,veh_horn_mid_mars,hash_6ff53ec736ff30cd,veh_horn_lbravo_mars,hash_233241d2208f4ed0,veh_horn_compact_mars,hash_e3d5ee1dac3b5ff4,vehicle_horn_preview,0
10,veh_horn_010,VEHICLES/VEHICLE_HORN_MOUNTAINKING,hash_5b513d41154c0b87,veh_horn_large_mountainking,hash_93eb5ce45520666b,veh_horn_compact_mountainking,hash_5b513d41154c0b87,veh_horn_large_mountainking,hash_93eb5ce45520666b,veh_horn_mid_mountainking,hash_973d46c69d9c42e4,veh_horn_lbravo_mountainking,hash_cb064fa8c4cdcb5b,veh_horn_compact_mountainking,hash_5b513d41154c0b87,vehicle_horn_preview,0
