13897,iw9_trophy_purchase_emblem_spade_sunset,,,1,0,9773,,26148:15,0,9773
13898,iw9_trophy_purchase_player_card_enhanced_vision,,,1,0,6607,,26148:15,0,6607
13899,iw9_trophy_purchase_bp_2xp_token,,,1,0,8594,,26148:30,0,8594
13900,iw9_trophy_purchase_bp_tier_skip,,,1,0,13538,,26148:30,0,13538
13901,iw9_trophy_purchase_veh_skin_mud_skirt,,,1,0,14642,,26148:30,0,14642
13902,iw9_trophy_purchase_loading_screen_valeria,,,1,0,18577,,26148:30,0,18577
13772,iw9_trophy_purchase_sticker_bleed_out,,,1,0,15363,,26148:30,0,15363
13903,iw9_trophy_purchase_loading_screen_alejandro,,,1,0,18583,,26148:30,0,18583
13773,iw9_trophy_purchase_charm_trophy_hunter,,,1,0,9014,,26148:30,0,9014
13904,iw9_trophy_purchase_gun_screen_track_kill,,,1,0,16775,,26148:60,0,16775
13905,iw9_trophy_purchase_weapon_blueprint,,,1,0,20091,,26148:150,0,20091
13906,iw9_trophy_purchase_player_card_trophy_hunt_master,,,1,0,6304,,26148:1000,0,6304
13907,iw9_trophy_purchase_player_xp_token,,,1,0,3955,,26148:15,1680109200,3955
13908,iw9_trophy_purchase_veh_skin_woodie,,,1,0,14638,,26148:30,1680109200,14638
13909,iw9_trophy_purchase_emblem_viper_pistol,,,1,0,10045,,26148:30,1680109200,10045
13910,iw9_trophy_purchase_loading_screen_betrayed,,,1,0,18575,,26148:30,1680109200,18575
13911,iw9_trophy_purchase_bp_tier_skip_2,,,1,0,13538,,26148:30,1680109200,13538
13912,iw9_trophy_purchase_weapon_blueprint_nightsting,,,1,0,25319,,26148:120,1680109200,25319
13913,iw9_trophy_purchase_operator_skin_psyop,,,10,0,26171,,,0,
13914,iw9_trophy_purchase_operator_skin_arachnid,,,15,0,26175,,,0,
