0,3,65535,11362,972|3036,11,,,#iw9_ar_schotel with grip_angled09|laserbox_ads01
1,3,65535,11362,1376|3133|2350,11,,,#iw9_ar_schotel with comp_br_03|holo01|stock_ar_heavy_p05
2,3,65535,11362,3528|1727|2770|2756|2144,11,,,#iw9_ar_schotel with bar_br_long_p05|comp_br_06|grip_vert02|hybrid02|laserbox_ads03
3,3,65535,11339,3366|2383,11,,,#iw9_ar_golf3 with grip_angled01|stock_lm_p02
4,3,65535,11339,3228|3366|2383,11,,,#iw9_ar_golf3 with flash_br_03|grip_angled01|stock_lm_p02
5,3,65535,11339,3545|2726|3228|3366|2383,11,,,#iw9_ar_golf3 with mag_sn_large_p02|arscope01|flash_br_03|grip_angled01|stock_lm_p02
6,3,65535,11357,676|3808,11,,,#iw9_br_msecho with laserbox_ads02|mag_br_small_p01
7,3,65535,11357,1455|676|3808,11,,,#iw9_br_msecho with grip_vertshort04|laserbox_ads02|mag_br_small_p01
8,3,65535,11357,623|2253|676|879|1455,11,,,#iw9_br_msecho with flash_dm_03|fourx01|laserbox_ads02|mag_br_large_p01|grip_vertshort04
9,3,65535,11336,1457|2465,11,,,#iw9_br_soscar14 with comp_br_04|iw9_minireddot04
10,3,65535,11336,3745|2617,11,,,#iw9_br_soscar14 with grip_angled13|holo04
11,3,65535,11336,2873|972|2894|2138|3606,11,,,#iw9_br_soscar14 with bar_br_heavy_p18|grip_angled09|hybrid06|mag_br_large_p18|silencer05_br
12,3,65535,11350,2109|3724,11,,,#iw9_dm_mike14 with grip_angled05|stock_dm_tac_p18
13,3,65535,11350,2162|3468|3036,11,,,#iw9_dm_mike14 with flash_br_01|fourx02|laserbox_ads01
14,3,65535,11350,3228|3720|3745|3234|3724,11,,,#iw9_dm_mike14 with flash_br_03|fourxtherm01|grip_angled13|mag_sn_large_p18|stock_dm_tac_p18
15,3,65535,11330,2162|3036,11,,,#iw9_dm_mike24 with flash_br_01|laserbox_ads01
16,3,65535,11330,847|573|1811,11,,,#iw9_dm_mike24 with bar_dm_light_p20|bolt_lgt_p20|dmscope01
17,3,65535,11330,1777|652|973|871|3631,11,,,#iw9_dm_mike24 with ERROR(1777)|bolt_hvy_p20|dmscope02|stockr_dm_heavy_p20|ammo_762n_ap
18,3,65535,11349,3545,11,,,#iw9_dm_pgolf1 with mag_sn_large_p02
19,3,65535,11349,3545|3925,11,,,#iw9_dm_pgolf1 with mag_sn_large_p02|grip_vert04
20,3,65535,11349,1019|3301|1727|3925|3545,11,,,#iw9_dm_pgolf1 with arscope_vz01|iw9_arscope_vz01|comp_br_06|grip_vert04|mag_sn_large_p02
21,3,65535,11316,3237|3371|2281,11,,,#iw9_dm_sa700 with flash_br_02|pgrip_tac_p20|reflex01
22,3,65535,11316,7955|1162|3371|7953,11,,,#iw9_dm_sa700 with ammo_308w_ap|fourx05|pgrip_tac_p20|stock_dm_tactical_p20
23,3,65535,11316,2162|2743|2407|3343|2522,11,,,#iw9_dm_sa700 with flash_br_01|fourx04|laserbox_ads04|pgrip_ass_p20|mag_dm_p20
24,3,65535,11329,639|1390,11,,,#iw9_dm_sbeta with lasercyl_ads02|lever_light_p19
25,3,65535,11329,1361|2375|2253,11,,,#iw9_dm_sbeta with comb_tactical_p19|flash_dm_02|fourx01
26,3,65535,11329,3246|2743|595|3059|2608,11,,,#iw9_dm_sbeta with bar_dm_hvylong_p19|fourx04|lasercyl_ads03|lever_heavy_p19|silencer04_dm
27,3,65535,11312,1302|3240,11,,,#iw9_dm_scromeo with grip_angled03|pgrip_ass_p05
28,3,65535,11312,1376|1162|676,11,,,#iw9_dm_scromeo with comp_br_03|fourx05|laserbox_ads02
29,3,65535,11312,3772|3076|3237|1939|2350,11,,,#iw9_dm_scromeo with ammo_65c_hv|dmscope_therm01|flash_br_02|mag_sn_large_p05|stock_ar_heavy_p05
30,3,65535,11348,2210|2490,11,,,#iw9_dm_la700 with bipod01|stockr_sn_tactical_p20
31,3,65535,11348,3595|2370|2375,11,,,#iw9_dm_la700 with bar_sn_light_p20|bipod02|flash_dm_02
32,3,65535,11348,573|973|3145|2490|3275,11,,,#iw9_dm_la700 with bolt_lgt_p20|dmscope02|silencer03_dm|stockr_sn_tactical_p20|xmag_sn_p20
33,3,65535,11340,1204|3770|2650,11,,,#iw9_dm_xmike2010 with comp_dm_01|pgrip_aim_p20|stock_sn_tactical_p20
