dom,dmz_domination,1,intel,600,1,pve,50,2000,4000,9,10,MP_DMZ_MISSIONS/DMZ_DOM_TITLE,MP_DMZ_MISSIONS/DOM_LOOT_CARD_DESC,1000,5000,0,0
search,dmz_search,0,recon,50,1,pve,20,1000,3500,2,3,,,1000,3500,0,0
geiger,dmz_geiger_search,1,radiation,400,1,pve,40,1000,12000,8,10,MP_DMZ_MISSIONS/GEIGER_SEARCH_TITLE,MP_DMZ_MISSIONS/GEIGER_SEARCH_LOOT_CARD_DESC,2000,5000,0,0
elim,dmz_elimination,1,combat,600,1,pve,60,1250,6000,9,10,MP_DMZ_MISSIONS/DMZ_ELIM_TITLE,MP_DMZ_MISSIONS/DMZ_ELIM_DESC,1000,5000,5000,0
clear,dmz_clear_fortress,0,combat,75,2,pve,40,1000,6000,4,6,MP_DMZ_MISSIONS/DMZ_CLEAR_FORTRESS_TITLE,MP_DMZ_MISSIONS/DMZ_CLEAR_FORTRESS_DESC,1000,3500,0,0
trap,dmz_trap,1,trap,800,3,pvp,70,2000,12000,7,8,MP_DMZ_MISSIONS/DMZ_TRAP_TITLE,MP_DMZ_MISSIONS/TRAP_LOOT_CARD_DESC,1000,4500,0,0
bads,dmz_search_bads,0,sabotage,100,2,pve,65,5000,20000,1,1,,,1000,3500,0,0
sam,dmz_destroy_sam,0,sabotage,100,2,pvp,80,2500,10000,4,5,,,1000,3500,0,0
hostage,dmz_hostage,1,rescue,500,2,pve,70,2000,6000,8,8,MP_DMZ_MISSIONS/DMZ_HOSTAGE_TITLE,MP_DMZ_MISSIONS/HOSTAGE_LOOT_CARD_DESC,1000,3500,0,0
safe,dmz_safe_find,0,recover,125,2,pve,30,2000,4000,3,5,,,1000,3500,0,0
vehicledrive,dmz_vehicledrive,1,vehicledrive,1000,3,pve,90,1000,5000,6,6,MP_DMZ_MISSIONS/VEHICLEDRIVE_TITLE,MP_DMZ_MISSIONS/VEHICLEDRIVE_DESC,1000,2000,0,0
hunt,dmz_hunt,1,hunt,300,3,pvp,60,0,10000,5,6,MP_DMZ_MISSIONS/HUNT_TITLE,MP_DMZ_MISSIONS/HUNT_DESC,0,0,0,0
boatdrive,dmz_boatdrive,1,boatdrive,1000,3,pvp,80,0,10000,7,8,MP_DMZ_MISSIONS/BOATDRIVE_TITLE,MP_DMZ_MISSIONS/BOATDRIVE_DESC,1000,4500,0,0
demo,dmz_demolition,1,sabotage,600,2,pvp,80,2500,10000,7,8,MP_DMZ_MISSIONS/DEMO_TITLE,MP_DMZ_MISSIONS/DEMO_LOOT_CARD_DESC,1000,6000,5000,0
supply,dmz_supply,0,supply,500,2,pve,60,1500,6000,6,6,MP_DMZ_MISSIONS/SUPPLY_TITLE,MP_DMZ_MISSIONS/SUPPLY_DESC,1000,3500,0,0
convoy_attack,dmz_convoy_attack,0,convoy_attack,500,2,pve,90,1500,6000,6,6,MP_DMZ_MISSIONS/CONVOY_ATTACK_TITLE,MP_DMZ_MISSIONS/CONVOY_ATTACK_DESC,1000,6000,0,0
convoy_defend,dmz_convoy_defend,0,combat,500,2,pvp,90,1500,6000,6,6,MP_DMZ_MISSIONS/CONVOY_DEFEND_TITLE,MP_DMZ_MISSIONS/CONVOY_DEFEND_DESC,1000,6000,0,0
scav,dmz_scavenger,1,supply,500,1,pve,60,1500,6000,8,10,MP_DMZ_MISSIONS/SUPPLY_TITLE,MP_DMZ_MISSIONS/SCAV_DESC,1000,3500,0,0
