weapon,2,0,LOOT_MP/ITEM_TYPE_WEAPON,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
attachment,7,0,LOOT_MP/ATTACHMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
operator,1,0,LOOT_MP/OPERATOR,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
operator_skin,8,0,LOOT_MP/OPERATOR_SKIN,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
accessory,19,0,LOOT_MP/WATCH,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
equipment,5,0,LOOT_MP/EQUIPMENT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
perk,6,0,LOOT_MP/PERK,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
killstreak,4,0,LOOT_MP/STREAK,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
weapon_charm,16,0,LOOT_MP/CHARM,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
reticle,14,0,LOOT_MP/RETICLE,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
progression,99,1,,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,0
playercards,11,0,LOOT_MP/CALLING_CARD,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
emblems,12,0,LOOT_MP/EMBLEM,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
sprays,23,0,LOOT_MP/SPRAYS,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
consumable,26,0,LOOT_MP/CONSUMABLE,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
gestures,20,0,LOOT_MP/GESTURES,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
executions,9,0,LOOT_MP/OPERATOR_EXECUTION,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
taunts,10,0,LOOT_MP/OPERATOR_TAUNT,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
intro,21,0,LOOT_MP/OPERATOR_INTRO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
flares,99,0,,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
contrail,41,0,LUA_MENU/CONTRAILS,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
parachute,40,0,LUA_MENU/PARACHUTE,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
camo,13,0,LOOT_MP/CAMO,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
super,3,0,LOOT_MP/FIELD_UPGRADE,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
loadingscreens,37,0,STORE/BUNDLE_ITEM_CATEGORY_LOADING_SCREEN,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
calloutmarkerpingitem,38,0,,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
operator_quip,27,0,LOOT_MP/OPERATOR_QUIP,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
fx,99,0,,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
sticker,17,0,LOOT_MP/STICKER,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
dlc,99,0,LOOT_MP/PLACEHOLDER,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
feature,24,0,LOOT_MP/FEATURE,LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
