11406,jup_jp01_ar_golf36_camo_1,JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_1,JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_1_DESC,50,33347,1000,,,,jup_jp01_ar_golf36_progression,,0
11407,jup_jp01_ar_golf36_camo_2,JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_2,JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_2_DESC,50,32567,1500,,,,jup_jp01_ar_golf36_progression,,0
11422,jup_jp01_ar_golf36_camo_3,JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_3,JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_3_DESC,15,32967,2000,,,,jup_jp01_ar_golf36_progression,,0
11423,jup_jp01_ar_golf36_camo_4,JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_4,JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_4_DESC,25,32548,2500,,,,jup_jp01_ar_golf36_progression,,0
11510,jup_jp01_ar_golf36_camo_gold,JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_GOLD,JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_GOLD_DESC,10,32485,4000,,,,jup_jp01_ar_golf36_camo_gold_unlock,,0
11511,jup_jp01_ar_golf36_camo_gold_unlock,CHALLENGE/CAMO_UNLOCK_GOLD_JUP,CHALLENGE/CAMO_GOLD_REVEAL_DESC,4,,,,,,,11406|11407|11422|11423,0
11512,jup_jp01_ar_golf36_camo_plat,JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_PLAT,JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_PLAT_DESC,25,32495,5000,,,,jup_jp01_ar_golf36_camo_plat_unlock,,0
11513,jup_jp01_ar_golf36_camo_dama,JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_DAMA,JUP_CHALLENGE/JUP_JP01_AR_GOLF36_CAMO_DAMA_DESC,15,32505,7500,,,,jup_jp01_ar_golf36_camo_dama_unlock,,0
11514,jup_jp01_ar_golf36_mastery_gold,CHALLENGE/CAMO_MASTERY_GOLD_JUP,CHALLENGE/CAMO_MASTERY_GOLD_JUP_DESC,100,35109+37400,4000,,,,jup_jp01_ar_golf36_mastery_gold_unlock,,0
11515,jup_jp01_ar_golf36_mastery_plat,CHALLENGE/CAMO_MASTERY_PLAT_JUP,CHALLENGE/CAMO_MASTERY_PLAT_JUP_DESC,200,37036+41824,5000,,,,jup_jp01_ar_golf36_mastery_plat_unlock,,0
11516,jup_jp01_ar_golf36_mastery_dama,CHALLENGE/CAMO_MASTERY_POLY_JUP,CHALLENGE/CAMO_MASTERY_POLY_JUP_DESC,300,41798+41899,7500,,,,jup_jp01_ar_golf36_mastery_dama_unlock,,0
11795,jup_jp01_ar_golf36_mastery_gold_unlock,CHALLENGE/CAMO_GOLD_REVEAL_NAME,CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,11510|11424,0
11796,jup_jp01_ar_golf36_mastery_plat_unlock,CHALLENGE/CAMO_GOLD_REVEAL_NAME,CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,11512|11424,0
11798,jup_jp01_ar_golf36_mastery_dama_unlock,CHALLENGE/CAMO_GOLD_REVEAL_NAME,CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,11513|11424,0
11800,jup_jp01_ar_golf36_camo_plat_unlock,CHALLENGE/CAMO_GOLD_REVEAL_NAME,CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,25950|11803,0
11802,jup_jp01_ar_golf36_camo_dama_unlock,CHALLENGE/CAMO_GOLD_REVEAL_NAME,CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,25988|11805,0
13868,jup_jp01_ar_golf36_mastery_orion_unlock,CHALLENGE/CAMO_GOLD_REVEAL_NAME,CHALLENGE/CAMO_GOLD_REVEAL_DESC,2,,,,,,,13792|11424,0
13870,jup_jp01_ar_golf36_mastery_orion,CHALLENGE/CAMO_MASTERY_ORION_JUP,CHALLENGE/CAMO_MASTERY_ORION_JUP_DESC,400,35112+37403,10000,,,,jup_jp01_ar_golf36_mastery_orion_unlock,,0
16255,jup_jp01_ar_golf36_mastery_completionist,CHALLENGE/MASTERY_COMPLETIONIST_JUP,CHALLENGE/MASTERY_COMPLETIONIST_JUP_DESC,4,43177,,,,,,11514|11515|11516|13870,0
17902,jup_jp01_ar_golf36_camo_ob_1,JUP_OB_CAMO_NAMES/JUP_AR_GOLF36_CAMO_1,JUP_OB_CAMO_CHALLENGES/BASE_1,250,39280,1000,,,,jup_jp01_ar_golf36_progression,,0
17903,jup_jp01_ar_golf36_camo_ob_2,JUP_OB_CAMO_NAMES/JUP_AR_GOLF36_CAMO_2,JUP_OB_CAMO_CHALLENGES/GENERAL_RAPID_KILLS,10,39328,1500,,,,jup_jp01_ar_golf36_progression,,0
