1,-47592,-12972,318
2,-51205,-6219,329
3,-42757,-19482,325
4,-35976,-23201,325
5,-40947,-24802,324
6,-29878,-21475,379
7,-25479,-24821,320
8,-24255,-19485,902
9,-26865,-11064,1380
10,-20532,-14326,467
11,-21379,-1844,2056
12,-27314,-3687,1833
13,-27161,3401,1977
14,-33318,3244,1820
15,-40204,6000,771
16,-46388,-1223,769
17,-40970,-6216,688
18,-37135,-13995,325
19,-45584,5662,926
20,-50000,10548,907
21,-14533,13712,621
22,-9836,7522,426
23,-1182,7042,832
24,-4077,768,1316
25,212,-3047,2426
26,4372,-12465,4725
27,-2731,-15426,4802
28,-4282,-21625,4281
29,-11353,-24048,1026
30,-12349,-13384,2295
31,3592,-30009,1193
32,7901,-27648,1248
33,-10456,-26282,1148
34,14600,-23783,1170
35,16800,-17643,2257
36,20178,-15562,3700
37,20268,-9668,2722
38,19045,-4867,250
39,15019,-1458,165
40,8239,1809,268
41,13119,-9067,2296
42,25560,-25475,671
43,26032,-18754,1208
44,32048,-19174,572
45,33658,-15554,611
46,38495,-7239,700
47,44371,-9627,684
48,41762,-2071,835
49,31351,1327,322
50,32016,8293,296
51,29193,19592,297
52,27331,10892,307
53,23757,3058,252
54,16407,10180,329
55,11197,11995,328
56,5789,12362,880
57,6663,16106,310
58,8965,22218,334
59,15019,31102,371
60,21973,26963,335
61,18024,24370,362
62,10229,39425,326
63,25312,34722,594
64,28123,28859,520
65,22677,34702,313
66,4525,34396,301
67,2915,26768,428
68,1252,20653,325
69,-3491,31666,511
70,-6828,40823,270
71,-4145,47084,297
72,-14709,32109,354
73,-18942,39612,-23
74,-19384,31480,-166
75,-27817,27045,-228
76,-22793,17687,-411
77,-5050,25517,146
78,-15672,23005,-26
79,-30290,9561,1583
80,-34547,20715,-341
81,-41015,16918,-6
82,-48311,16575,1290
83,-46738,23319,1440
84,-51559,6318,1232
85,-33506,-36958,310
86,-28222,-30455,299
87,-32839,-43587,389
88,-25125,-52360,255
89,-18221,-50924,297
90,-14350,-45675,189
91,-9083,-49893,250
92,-24581,-38576,622
93,-14273,-34838,536
94,-3102,-38742,554
95,-1856,-40827,268
96,-247,-49191,343
97,12263,-52034,721
98,18898,-53694,1107
99,16534,-40023,906
100,28303,-30644,421
