0,PLAYLIST/CP_MS_DENIED_AREA,LUA_MENU_CP/MISSIONS,LUA_MENU_CP/MISSION_ESC_1_STAR_REWARD_DESC,LUA_MENU_CP/MISSION_ESC_2_STAR_REWARD_DESC,LUA_MENU_CP/MISSION_ESC_3_STAR_REWARD_DESC,TRUE,weeklyVehicleEscapeStars,VehicleEscape,loading_cp_mission_esc_bg_preview,0
1,PLAYLIST/CP_MS_DEF_ZAYA,LUA_MENU_CP/MISSIONS,LUA_MENU_CP/OBSERVE_1_STAR_REWARD_DESC,LUA_MENU_CP/OBSERVE_2_STAR_REWARD_DESC,LUA_MENU_CP/OBSERVE_3_STAR_REWARD_DESC,TRUE,weeklyObservatoryStars,Observatory,loading_cp_observatory_bg_preview,0
2,PLAYLIST/CP_MS_LOW_PROFILE,LUA_MENU_CP/MISSIONS,LUA_MENU_CP/HYDRO_1_STAR_REWARD_DESC,LUA_MENU_CP/HYDRO_2_STAR_REWARD_DESC,LUA_MENU_CP/HYDRO_3_STAR_REWARD_DESC,TRUE,weeklyBadSituationStars,BadSituation,loading_cp_hydro_bg_preview,0
3,PLAYLIST/CP_MS_HIGH_GROUND,LUA_MENU_CP/MISSIONS,LUA_MENU_CP/HELI_ESCORT_1_STAR_REWARD_DESC,LUA_MENU_CP/HELI_ESCORT_2_STAR_REWARD_DESC,LUA_MENU_CP/HELI_ESCORT_3_STAR_REWARD_DESC,TRUE,weeklyHeliEscortStars,HeliEscort,loading_cp_high_ground_bg_preview,0
4,PLAYLIST/CP_MS_DEF_ZAYA_MOD_ALT,LUA_MENU_CP/MISSIONS,LUA_MENU_CP/GG_OBSERVE_1_STAR_REWARD_DESC,LUA_MENU_CP/GG_OBSERVE_2_STAR_REWARD_DESC,LUA_MENU_CP/GG_OBSERVE_3_STAR_REWARD_DESC,TRUE,weeklyGunGameObservatoryStars,ObservatoryModified,loading_cp_observatory_bg_preview,0
5,PLAYLIST/CP_RAID_SEASON_01_ALT,LUA_MENU_CP/RAID_GAMETYPE,LUA_MENU_CP/RAID1_1_STAR_REWARD_DESC,LUA_MENU_CP/RAID1_2_STAR_REWARD_DESC,LUA_MENU_CP/RAID1_3_STAR_REWARD_DESC,TRUE,weeklyRaid1Stars,Raid1,loading_cp_raid1_bg_preview,1.5
6,PLAYLIST/CP_RAID_SEASON_01_T1,LUA_MENU/PLAYLIST_TAG_COOP_RAID_HM,LUA_MENU_CP/RAID1_VETERAN_1_STAR_REWARD_DESC,LUA_MENU_CP/RAID1_VETERAN_2_STAR_REWARD_DESC,LUA_MENU_CP/RAID1_VETERAN_3_STAR_REWARD_DESC,TRUE,weeklyRaid1VeteranStars,Raid1Veteran,loading_cp_raid1_bg_preview,1.5
7,PLAYLIST/CP_MS_LOW_PROFILE_MOD,LUA_MENU_CP/MISSIONS,LUA_MENU_CP/HYDRO_MOD_1_STAR_REWARD_DESC,LUA_MENU_CP/HYDRO_MOD_2_STAR_REWARD_DESC,LUA_MENU_CP/HYDRO_MOD_3_STAR_REWARD_DESC,TRUE,weeklyOITCBadSituationStars,BadSituationModified,loading_cp_hydro_bg_preview,2
8,PLAYLIST/CP_RAID_SEASON_02,LUA_MENU_CP/RAID_GAMETYPE,LUA_MENU_CP/RAID2_1_STAR_REWARD_DESC,LUA_MENU_CP/RAID2_2_STAR_REWARD_DESC,LUA_MENU_CP/RAID2_3_STAR_REWARD_DESC,TRUE,weeklyRaid2Stars,Raid2,loading_cp_raid1_trap_bg_preview,2.5
9,PLAYLIST/CP_RAID_SEASON_02_VET,LUA_MENU/PLAYLIST_TAG_COOP_RAID_HM,LUA_MENU_CP/RAID2_VETERAN_1_STAR_REWARD_DESC,LUA_MENU_CP/RAID2_VETERAN_2_STAR_REWARD_DESC,LUA_MENU_CP/RAID2_VETERAN_3_STAR_REWARD_DESC,TRUE,weeklyRaid2VeteranStars,Raid2Veteran,loading_cp_raid1_trap_bg_preview,2.5
