11998,iw9_ch_daily_pmc_legion_kill_operators,PMC_S3/DAILY_LEGION_KILL_OPERATORS_NAME,PMC_S3/DAILY_LEGION_KILL_OPERATORS_DESC,PMC_S3/DAILY_LEGION_KILL_OPERATORS_DETAIL_DESC,6,20000,,,1,,,,,,,,,
12165,iw9_ch_daily_pmc_legion_extract_food,PMC_S3/DAILY_LEGION_EXTRACT_FOOD_NAME,PMC_S3/DAILY_LEGION_EXTRACT_FOOD_DESC,PMC_S3/DAILY_LEGION_EXTRACT_FOOD_DETAIL_DESC,8,1000,phalanx|100,,2,,,,,,,,,phalanx
12168,iw9_ch_daily_pmc_legion_open_containers,PMC_S3/DAILY_LEGION_OPEN_CONTAINERS_NAME,PMC_S3/DAILY_LEGION_OPEN_CONTAINERS_DESC,PMC_S3/DAILY_LEGION_OPEN_CONTAINERS_DETAIL_DESC,12,1000,phalanx|100,,2,,,,,,,,,
12169,iw9_ch_daily_pmc_mous_open_containers,PMC_S3/DAILY_MOUS_OPEN_CONTAINERS_NAME,PMC_S3/DAILY_MOUS_OPEN_CONTAINERS_DESC,PMC_S3/DAILY_MOUS_OPEN_CONTAINERS_DETAIL_DESC,12,1000,black_mous|100,,2,,,,,,,,,
12172,iw9_ch_daily_pmc_lotus_gas_masks,PMC_S3/DAILY_LOTUS_GAS_MASKS_NAME,PMC_S3/DAILY_LOTUS_GAS_MASKS_DESC,PMC_S3/DAILY_LOTUS_GAS_MASKS_DETAIL_DESC,4,1000,white_lotus|100,,2,,,,,,,,,
12171,iw9_ch_daily_pmc_crown_gas_masks,PMC_S3/DAILY_CROWN_GAS_MASKS_NAME,PMC_S3/DAILY_CROWN_GAS_MASKS_DESC,PMC_S3/DAILY_CROWN_GAS_MASKS_DETAIL_DESC,4,1000,crown|100,,2,,,,,,,,,
12219,iw9_ch_daily_pmc_legion_plate_carriers,PMC_S3/DAILY_LEGION_PLATE_CARRIERS_NAME,PMC_S3/DAILY_LEGION_PLATE_CARRIERS_DESC,PMC_S3/DAILY_LEGION_PLATE_CARRIERS_DETAIL_DESC,4,1000,phalanx|100,,2,,,,,,,,,
12310,iw9_ch_daily_pmc_legion_sam_site,PMC_S3/DAILY_LEGION_SAM_SITE_NAME,PMC_S3/DAILY_LEGION_SAM_SITE_DESC,PMC_S3/DAILY_LEGION_SAM_SITE_DETAIL_DESC,2,1000,phalanx|100,,3,,,,,,,,,phalanx
12312,iw9_ch_daily_pmc_mous_sam_site,PMC_S3/DAILY_MOUS_SAM_SITE_NAME,PMC_S3/DAILY_MOUS_SAM_SITE_DESC,PMC_S3/DAILY_MOUS_SAM_SITE_DETAIL_DESC,2,1000,black_mous|100,,3,,,,,,,,,black_mous
12313,iw9_ch_daily_pmc_lotus_revive_teammates,PMC_S3/DAILY_LOTUS_REVIVE_TEAMMATES_NAME,PMC_S3/DAILY_LOTUS_REVIVE_TEAMMATES_DESC,PMC_S3/DAILY_LOTUS_REVIVE_TEAMMATES_DETAIL_DESC,4,1000,white_lotus|100,,3,,,,,,,,,white_lotus
12314,iw9_ch_daily_pmc_mous_revive_teammates,PMC_S3/DAILY_MOUS_REVIVE_TEAMMATES_NAME,PMC_S3/DAILY_MOUS_REVIVE_TEAMMATES_DESC,PMC_S3/DAILY_MOUS_REVIVE_TEAMMATES_DETAIL_DESC,4,1000,black_mous|100,,3,,,,,,,,,black_mous
12315,iw9_ch_daily_pmc_crown_revive_teammates,PMC_S3/DAILY_CROWN_REVIVE_TEAMMATES_NAME,PMC_S3/DAILY_CROWN_REVIVE_TEAMMATES_DESC,PMC_S3/DAILY_CROWN_REVIVE_TEAMMATES_DETAIL_DESC,4,1000,crown|100,,3,,,,,,,,,crown
12222,iw9_ch_daily_pmc_legion_dead_drop,PMC_S3/DAILY_LEGION_DEAD_DROP_NAME,PMC_S3/DAILY_LEGION_DEAD_DROP_DESC,PMC_S3/DAILY_LEGION_DEAD_DROP_DETAIL_DESC,6,1000,phalanx|100,,2,,,,,,,,,
12223,iw9_ch_daily_pmc_mous_dead_drop,PMC_S3/DAILY_MOUS_DEAD_DROP_NAME,PMC_S3/DAILY_MOUS_DEAD_DROP_DESC,PMC_S3/DAILY_MOUS_DEAD_DROP_DETAIL_DESC,6,1000,black_mous|100,,2,,,,,,,,,
12224,iw9_ch_daily_pmc_crown_dead_drop,PMC_S3/DAILY_CROWN_DEAD_DROP_NAME,PMC_S3/DAILY_CROWN_DEAD_DROP_DESC,PMC_S3/DAILY_CROWN_DEAD_DROP_DETAIL_DESC,6,1000,crown|100,,2,,,,,,,,,
