sp_nwr_cine_intro,strike,CINEMATICS/NIGHTWAR,CINEMATICS/PROXYWAR_DESC,sp_cinematic_thumb_01
sp_mtg_cine_intro,nightwar,CINEMATICS/MARINA,CINEMATICS/PICCADILLY_DESC,sp_cinematic_thumb_02
sp_bs_cine_intro,border,CINEMATICS/BACKSTABBED,CINEMATICS/SAFEHOUSE_DESC,sp_cinematic_thumb_03
sp_gscom_cine_intro,backstabbed,CINEMATICS/GUNSHIP_COMPOUND,CINEMATICS/SAFEHOUSEFINALE_DESC,sp_cinematic_thumb_04
sp_gsamb_cine_intro,gunship_compound,CINEMATICS/GUNSHIP_AMBUSH,CINEMATICS/TOWNHOUSED_DESC,sp_cinematic_thumb_05
sp_intcpt_cine_intro,gunship_ambush,CINEMATICS/INTERCEPT,CINEMATICS/MARINES_DESC,sp_cinematic_thumb_06
sp_con_cine_intro,intercept,CINEMATICS/CONVOY_CHASE,CINEMATICS/HIGHWAY_DESC,sp_cinematic_thumb_07
sp_prty_cine_intro,convoy_chase,CINEMATICS/PARTY,CINEMATICS/TUNNELS_DESC,sp_cinematic_thumb_08
sp_intdic_cine_intro,party,CINEMATICS/SHIPAF,CINEMATICS/CAPTIVE_DESC,sp_cinematic_thumb_09
sp_wou_cine_intro,shipaf,CINEMATICS/WOUNDED,CINEMATICS/STPETERSBURG_DESC,sp_cinematic_thumb_10
sp_pri_cine_intro,wounded,CINEMATICS/PRISON,CINEMATICS/ESTATE_DESC,sp_cinematic_thumb_11
sp_sb_cine_intro,prison,CINEMATICS/SHADOWBASE,CINEMATICS/LAB_DESC,sp_cinematic_thumb_12
sp_high_cine_intro,shadowbase,CINEMATICS/TOWER,CINEMATICS/SACRIFICE_DESC,sp_cinematic_thumb_13
sp_epi_cine_intro,tower,CINEMATICS/EPILOGUE,CINEMATICS/EPILOGUE_DESC,sp_cinematic_thumb_14
sp_pstcr_cine_intro,tower,CINEMATICS/POST_CREDITS,CINEMATICS/EPILOGUE_DESC,sp_cinematic_thumb_15
