0,none,none,none,none,none,none,0,none,
32,wyatt_western_quip_1,wyatt_western,QUIPS/QUIP_WYATT_1,ui_loot_operator_quip_west_wyatt,ui_default_null,_10,1,QUIPS/WYATT_1,WZ2,IW9,MGL
33,wyatt_western_quip_2,wyatt_western,QUIPS/QUIP_WYATT_2,ui_loot_operator_quip_west_wyatt,ui_default_null,_20,1,QUIPS/WYATT_2,WZ2,IW9,MGL
1,wyatt_western_quip_3,wyatt_western,QUIPS/QUIP_WYATT_3,ui_loot_operator_quip_west_wyatt,ui_default_null,_30,1,QUIPS/WYATT_3,WZ2,IW9,MGL
35,wyatt_western_quip_4,wyatt_western,QUIPS/QUIP_WYATT_4,ui_loot_operator_quip_west_wyatt,ui_default_null,_40,1,QUIPS/WYATT_4,WZ2,IW9,MGL
36,wyatt_western_quip_5,wyatt_western,QUIPS/QUIP_WYATT_5,ui_loot_operator_quip_west_wyatt,ui_default_null,_50,1,QUIPS/WYATT_5,WZ2,IW9,MGL
37,wyatt_western_quip_6,wyatt_western,QUIPS/QUIP_WYATT_6,ui_loot_operator_quip_west_wyatt,ui_default_null,_60,1,QUIPS/WYATT_6,WZ2,IW9,MGL
38,wyatt_western_quip_7,wyatt_western,QUIPS/QUIP_WYATT_7,ui_loot_operator_quip_west_wyatt,ui_default_null,_70,1,QUIPS/WYATT_7,WZ2,IW9,MGL
39,wyatt_western_quip_8,wyatt_western,QUIPS/QUIP_WYATT_8,ui_loot_operator_quip_west_wyatt,ui_default_null,_80,1,QUIPS/WYATT_8,WZ2,IW9,MGL
40,wyatt_western_quip_9,wyatt_western,QUIPS/QUIP_WYATT_9,ui_loot_operator_quip_west_wyatt,ui_default_null,_90,1,QUIPS/WYATT_9,WZ2,IW9,MGL
10,wyatt_western_quip_10,wyatt_western,QUIPS/QUIP_WYATT_10,ui_loot_operator_quip_west_wyatt,ui_default_null,_100,1,QUIPS/WYATT_10,WZ2,IW9,MGL
41,spetsnaz_eastern_quip_1,spetsnaz_eastern,QUIPS/QUIP_SPETSNAZ_1,ui_loot_operator_quip_east_nikto,ui_default_null,_10,1,QUIPS/NIKTO_1,WZ2,IW9,MGL
42,spetsnaz_eastern_quip_2,spetsnaz_eastern,QUIPS/QUIP_SPETSNAZ_2,ui_loot_operator_quip_east_nikto,ui_default_null,_20,1,QUIPS/NIKTO_2,WZ2,IW9,MGL
43,spetsnaz_eastern_quip_3,spetsnaz_eastern,QUIPS/QUIP_SPETSNAZ_3,ui_loot_operator_quip_east_nikto,ui_default_null,_30,1,QUIPS/NIKTO_3,WZ2,IW9,MGL
44,spetsnaz_eastern_quip_4,spetsnaz_eastern,QUIPS/QUIP_SPETSNAZ_4,ui_loot_operator_quip_east_nikto,ui_default_null,_40,1,QUIPS/NIKTO_4,WZ2,IW9,MGL
45,spetsnaz_eastern_quip_5,spetsnaz_eastern,QUIPS/QUIP_SPETSNAZ_5,ui_loot_operator_quip_east_nikto,ui_default_null,_50,1,QUIPS/NIKTO_5,WZ2,IW9,MGL
46,spetsnaz_eastern_quip_6,spetsnaz_eastern,QUIPS/QUIP_SPETSNAZ_6,ui_loot_operator_quip_east_nikto,ui_default_null,_60,1,QUIPS/NIKTO_6,WZ2,IW9,MGL
