setchancecol,mp/loot/br/resurgence_mgl/lootset_root.csv,2,,# root,,# column 0 is "Item"/"chance" etc, column 1 is the name, so first weight is in column 2,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_mgl/lootset_global.csv,3,,# global,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_mgl/lootset_cache_base.csv,4,,# cache_base,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_mgl/lootset_cache_lege.csv,5,,# cache_lege,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_mgl/lootset_empty.csv,6,,# N/A,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_mgl/lootset_buildings.csv,7,,# buildings,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_mgl/lootset_buildings_abundant.csv,8,,# abundant,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_mgl/lootset_contract_asn.csv,9,,# contract_asn,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_mgl/lootset_contract_dom.csv,10,,# contract_dom,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_mgl/lootset_contract_scav1.csv,11,,# contract_scav1,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_mgl/lootset_contract_scav2.csv,12,,# contract_scav2,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_mgl/lootset_contract_scav3.csv,13,,# contract_scav3,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_mgl/lootset_cache_reusable1.csv,14,,# cache_reusable1,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_mgl/lootset_cache_reusable2.csv,15,,# cache_reusable2,,,,,,,,,,,,
setchancecol,mp/loot/br/resurgence_mgl/lootset_cache_reusable3.csv,16,,# cache_reusable3,,,,,,,,,,,,
tagReject,delta,,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Central Control,,,,,,,,,,,,,,,,
chance,ammo,,35,5,5,0,35,35,5,5,5,5,5,4,4,4
chance,lethal,,4,20,15,0,4,4,20,20,20,20,20,14,14,14
chance,tactical,,4,20,15,0,4,4,20,20,20,20,20,14,14,14
chance,weapon,,23,1,1,0,23,23,5,5,1,5,5,7,7,7
chance,killstreak,,0,10,10,0,2,2,8,8,8,8,8,3,3,3
chance,super,,2,10,10,0,2,2,10,10,10,10,10,22,22,22
chance,revive,,0,5,10,0,1,1,5,5,5,5,5,0,0,0
chance,gear,,0,5,10,0,1,1,5,5,5,5,5,3,3,3
chance,health,,14,10,10,0,14,14,10,10,10,10,10,31,31,31
chance,plunder,,6,10,10,0,6,6,10,10,10,10,10,2,2,2
chance,tablet,,2,0,0,0,2,2,0,0,0,0,0,0,0,0
item,brloot_equip_gasmask,,90,70,50,0,85,80,70,70,70,70,70,70,70,50
item,brloot_equip_gasmask_durable,,10,30,50,0,15,20,30,30,30,30,30,30,30,50
item,brloot_armor_plate,,100,96,90,,100,100,96,96,96,96,100,96,96,90
item,brloot_plate_pouch,,0,4,10,,0,0,4,4,4,4,0,4,4,10
item,brloot_self_revive,,100,100,100,0,100,100,100,100,100,100,100,0,0,0
item,brloot_ammo_12g,,10,10,10,0,10,10,10,10,10,10,10,10,10,10
item,brloot_ammo_50cal,,15,15,15,0,15,15,15,15,15,15,15,15,15,15
item,brloot_ammo_762,,35,35,35,0,35,35,35,35,35,35,35,35,35,35
item,brloot_ammo_919,,35,35,35,0,35,35,35,35,35,35,35,35,35,35
item,brloot_ammo_rocket,,5,5,5,0,5,5,5,5,5,5,5,5,5,5
item,brloot_offhand_frag,,10,10,10,0,10,10,10,10,10,10,10,10,10,10
item,brloot_offhand_atmine,,10,10,10,0,10,10,10,10,10,10,10,10,10,10
item,brloot_offhand_claymore,,10,10,10,0,10,10,10,10,10,10,10,10,10,10
