8821,iw9_ch_op_unlock_chili,CHALLENGE/NAME_NONE,CHALLENGE/IW9_CH_OP_UNLOCK_CHILI_DESC,,5513,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
8822,iw9_ch_op_unlock_nova,CHALLENGE/NAME_NONE,CHALLENGE/IW9_CH_OP_UNLOCK_NOVA_DESC,,5546,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
8823,iw9_ch_op_unlock_reyes,CHALLENGE/NAME_NONE,CHALLENGE/IW9_CH_OP_UNLOCK_REYES_DESC,,11387,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
8824,iw9_ch_op_unlock_hutch,CHALLENGE/NAME_NONE,CHALLENGE/IW9_CH_OP_UNLOCK_HUTCH_DESC,,5514,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
12503,iw9_ch_op_unlock_shredder,CHALLENGE/NAME_NONE,CHALLENGE/IW9_CH_OP_UNLOCK_SHREDDER_DESC,,23543,,,,1,,2500,0
14128,iw9_ch_op_unlock_blackcell,CHALLENGE/NAME_NONE,CHALLENGE/IW9_CH_OP_UNLOCK_BLACKCELL_DESC,,19103,,,,1,,3000,0
8938,iw9_ch_op_unlock_luna,CHALLENGE/REWARD_MISSION_COMPLETE_DEFENDER_MT_ZAYA,CHALLENGE/IW9_CH_OP_UNLOCK_LUNA_DESC,1,11391,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
8939,iw9_ch_op_unlock_gromsko,CHALLENGE/REWARD_MISSION_COMPLETE_LOW_PROFILE,CHALLENGE/IW9_CH_OP_UNLOCK_GROMSKO_DESC,1,11390,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
8940,iw9_ch_op_unlock_zero,CHALLENGE/REWARD_MISSION_COMPLETE_DENIED_AREA,CHALLENGE/IW9_CH_OP_UNLOCK_ZERO_DESC,1,11393,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
10448,iw9_ch_op_unlock_gaz,CHALLENGE/IW9_CH_OP_UNLOCK_GAZ,CHALLENGE/IW9_CH_OP_UNLOCK_GAZ_DESC,1,17419,,,,1,,1500,0
14779,iw9_ch_op_unlock_alex,CHALLENGE/IW9_CH_OP_UNLOCK_ALEX,CHALLENGE/IW9_CH_OP_UNLOCK_ALEX_DESC,1,27544,,,,1,,3500,0
12316,iw9_ch_op_unlock_price,CHALLENGE/IW9_CH_OP_UNLOCK_PRICE,CHALLENGE/IW9_CH_OP_UNLOCK_PRICE_DESC,1,5512,,,,1,,2500,0
8752,iw9_ch_op_unlock_kleo,CHALLENGE/IW9_CH_OP_UNLOCK_KLEO,CHALLENGE/IW9_CH_OP_UNLOCK_KLEO_DESC,1,5527,,,,,CHALLENGE/BUNDLE_PURCHASE,0,0
8753,iw9_ch_op_unlock_zimo,CHALLENGE/IW9_CH_OP_UNLOCK_ZIMO,CHALLENGE/IW9_CH_OP_UNLOCK_ZIMO_DESC,1,5509,,,,,CHALLENGE/BUNDLE_PURCHASE,0,0
8754,iw9_ch_op_unlock_konig,CHALLENGE/IW9_CH_OP_UNLOCK_KONIG,CHALLENGE/IW9_CH_OP_UNLOCK_KONIG_DESC,1,5543,,,,,CHALLENGE/BUNDLE_PURCHASE,0,0
8755,iw9_ch_op_unlock_roze,CHALLENGE/IW9_CH_OP_UNLOCK_ROZE,CHALLENGE/IW9_CH_OP_UNLOCK_ROZE_DESC,1,11392,,,,,CHALLENGE/BUNDLE_PURCHASE,0,0
8756,iw9_ch_op_unlock_fender,CHALLENGE/IW9_CH_OP_UNLOCK_FENDER,CHALLENGE/IW9_CH_OP_UNLOCK_FENDER_DESC,1,5517,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
8757,iw9_ch_op_unlock_gus,CHALLENGE/IW9_CH_OP_UNLOCK_GUS,CHALLENGE/IW9_CH_OP_UNLOCK_GUS_DESC,1,5532,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
8758,iw9_ch_op_unlock_horangi,CHALLENGE/IW9_CH_OP_UNLOCK_HORANGI,CHALLENGE/IW9_CH_OP_UNLOCK_HORANGI_DESC,1,5511,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
8759,iw9_ch_op_unlock_stiletto,CHALLENGE/IW9_CH_OP_UNLOCK_STILETTO,CHALLENGE/IW9_CH_OP_UNLOCK_STILETTO_DESC,1,5523,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
8760,iw9_ch_op_unlock_aksel,CHALLENGE/IW9_CH_OP_UNLOCK_AKSEL,CHALLENGE/IW9_CH_OP_UNLOCK_AKSEL_DESC,1,11389,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
8761,iw9_ch_op_unlock_conor,CHALLENGE/IW9_CH_OP_UNLOCK_CONOR,CHALLENGE/IW9_CH_OP_UNLOCK_CONOR_DESC,1,11388,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
8762,iw9_ch_op_unlock_calisto,CHALLENGE/IW9_CH_OP_UNLOCK_CALISTO,CHALLENGE/IW9_CH_OP_UNLOCK_CALISTO_DESC,1,5545,,,,1,CHALLENGE/BUNDLE_PURCHASE,0,0
10444,iw9_raid_gaz_unlock,,CHALLENGE/GAZ_RAID_UNLOCK,2,17427,10445|10448,,,1,,1500,0
12317,iw9_raid_price_unlock,,CHALLENGE/PRICE_RAID_SKIN_UNLOCK,2,24102,12269|12316,,,1,,2500,0
10445,iw9_raid_gaz_activator,,CHALLENGE/RAID_UNLOCK_BUNDLE_DESC,1,18362,,,,1,,1500,0
12269,iw9_raid_price_skin_activator,,CHALLENGE/RAID_UNLOCK_BUNDLE_DESC,1,24475,,,,1,,2500,0
