12258,jup_sb_ch_back_to_basics_low_profile,CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_LOW_PROFILE,CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_LOW_PROFILE_DESC,50|100|250,||35782,500|1000|2000,,1,,,,,,MP|LP_MP|HC,0
25885,jup_sb_ch_back_to_basics_close_quarters,CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_CLOSE_QUARTERS,CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_CLOSE_QUARTERS_DESC,25|50|100,||35781,500|1000|2000,,2,,,,,,MP|LP_MP|HC,0
12263,jup_sb_ch_back_to_basics_clean_sweep,CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_CLEAN_SWEEP,CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_CLEAN_SWEEP_DESC,10|25|50,||35779,500|1000|2000,,3,,,,,,MP|LP_MP|HC,0
12369,jup_sb_ch_back_to_basics_power_stance,CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_POWER_STANCE,CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_POWER_STANCE_DESC,50|100|250,||35778,500|1000|2000,,4,,,,,,MP|LP_MP|HC,0
12368,jup_sb_ch_back_to_basics_anti_air,CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_ANTI_AIR,CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_ANTI_AIR_DESC,25|50|100,||35780,500|1000|2000,,5,,,,,,MP|LP_MP|HC,0
15740,jup_sb_ch_back_to_basics_aerial_attack,CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_AERIAL_ATTACK,CHALLENGE/JUP_SB_CH_BACK_TO_BASICS_AERIAL_ATTACK_DESC,10|25|50,||35777,500|1000|2000,,6,,,,,,MP|LP_MP|HC,0
16563,jup_sb_ch_mastery_back_to_basics,CHALLENGE/SB_CH_MASTERY_BACK_TO_BASICS,CHALLENGE/SB_CH_MASTERY_BACK_TO_BASICS_DESC,6,37168,2500,,1,12258|25885|12263|12369|12368|15740,,,,,,0
12464,jup_sb_ch_specialized_whats_yours,CHALLENGE/JUP_SB_CH_SPECIALIZED_WHATS_YOURS,CHALLENGE/JUP_SB_CH_SPECIALIZED_WHATS_YOURS_DESC,25|50|100,||35776,500|1000|2000,,1,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0
12372,jup_sb_ch_specialized_sous_chef,CHALLENGE/JUP_SB_CH_SPECIALIZED_SOUS_CHEF,CHALLENGE/JUP_SB_CH_SPECIALIZED_SOUS_CHEF_DESC,25|50|100,||35775,500|1000|2000,,2,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0
14834,jup_sb_ch_specialized_medic,CHALLENGE/JUP_SB_CH_SPECIALIZED_MEDIC,CHALLENGE/JUP_SB_CH_SPECIALIZED_MEDIC_DESC,25|50|100,||31283,500|1000|2000,,3,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0
12383,jup_sb_ch_specialized_tactical,CHALLENGE/JUP_SB_CH_SPECIALIZED_TACTICAL,CHALLENGE/JUP_SB_CH_SPECIALIZED_TACTICAL_DESC,25|50|100,||31289,500|1000|2000,,4,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0
12465,jup_sb_ch_specialized_hunter,CHALLENGE/JUP_SB_CH_SPECIALIZED_HUNTER,CHALLENGE/JUP_SB_CH_SPECIALIZED_HUNTER_DESC,50|100|250,||43603,500|1000|2000,,5,,,,,,MP|LP_MP|BR|LP_BR|HC|DMZ,0
