FreePages,6813.812
FreeCalcDelta,0.000
FreeAfterBudgets,0.000
Executable,210.469
OSAllocations,451.930
StreamRead,17.188
StreamTotal,6813.812
StreamAlwaysloaded,0.000
StreamOptional,0.000
StreamFree,6813.812
StreamOverhead,0.000
StreamWaste,0.000
StreamCommit,0.000
StreamXPakIndexWaste,0.000
StreamXPakIndexCommit,0.000
StreamLoggerWaste,0.000
StreamLoggerCommit,0.000
StreamCombineTablesWaste,0.000
StreamCombineTablesCommit,0.000
StreamPrimerWaste,0.000
StreamPrimerCommit,0.000
DBDynamicHeapWaste,0.000
DBDynamicHeapCommit,0.000
DBZoneWaste,0.000
DBZoneCommit,0.000
RenderTargets,63.750
MemVirtual,0.250
PMemCommitOnAlloc,378.000
HavokPhysics,4.000
MemCard,0.000
LightGrid,0.000
LightMap,0.000
STTextureArrays,0.000
CommonFastfiles,0.000
LevelFastfiles,0.000
PreloadFastfiles,0.000
DevFastfiles,0.000
UIFastfiles,0.000
ServerFastfiles,0.000
GPUTempFastfiles,0.000
XPakWorkData,0.000
XPakModify,0.000
TransientCommon,0.000
TransientWorld,0.000
TransientPhysics,0.000
TransientInfil,0.000
SDBanksProjection,0.000
SDBanks,0.000
SDBanksAlwaysloaded,0.000
SDBanksTransient,0.000
SDOtherCommit,0.062
Filesystem,0.000
VideoStreaming,0.000
RBScratchRingBuffer,0.000
Normalization,0.000
EmergencyMem,0.000
Network,0.000
Cinematics,0.000
