4043,iw9_ch_daily_p1_general_kills,CHALLENGE/DAILY_P1_GENERAL_KILLS,CHALLENGE/DAILY_P1_GENERAL_KILLS_DESC,20,2500,,1,,,,,1,,,
14908,iw9_ch_daily_p1_general_longshot_kills_1,CHALLENGE/DAILY_P1_GENERAL_LONGSHOT_KILLS,CHALLENGE/DAILY_P1_GENERAL_LONGSHOT_KILLS_DESC,2,2500,,1,,,,,2,,,
1826,iw9_ch_daily_p1_general_wins,CHALLENGE/DAILY_P1_GENERAL_WINS,CHALLENGE/DAILY_P1_GENERAL_WINS_DESC,1,2500,,1,,,,,3,,,
3068,iw9_ch_daily_p1_general_kills_crouched,CHALLENGE/DAILY_P1_GENERAL_KILLS_CROUCHED,CHALLENGE/DAILY_P1_GENERAL_KILLS_CROUCHED_DESC,3,2500,,1,,,,,4,,,
2675,iw9_ch_daily_p1_general_headshots,CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS,CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_DESC,5,2500,,1,,,,,5,,,
14909,iw9_ch_daily_p1_general_kills_mounted_1,CHALLENGE/DAILY_P1_GENERAL_KILLS_MOUNTED,CHALLENGE/DAILY_P1_GENERAL_KILLS_MOUNTED_DESC,1,2500,,1,,,,,7,,,
2754,iw9_ch_daily_p1_general_kills_point_blank,CHALLENGE/DAILY_P1_GENERAL_KILLS_POINT_BLANK,CHALLENGE/DAILY_P1_GENERAL_KILLS_POINT_BLANK_DESC,3,2500,,1,,,,,8,,,
1699,iw9_ch_daily_p1_general_kills_kingslayer,CHALLENGE/DAILY_P1_GENERAL_KILLS_KINGSLAYER,CHALLENGE/DAILY_P1_GENERAL_KILLS_KINGSLAYER_DESC,3,2500,,1,,,,,9,,,
925,iw9_ch_daily_p1_general_kills_secondary_weapon,CHALLENGE/DAILY_P1_GENERAL_KILLS_SECONDARY_WEAPON,CHALLENGE/DAILY_P1_GENERAL_KILLS_SECONDARY_WEAPON_DESC,3,2500,,1,,,,,10,,,
4008,iw9_ch_daily_p1_general_kills_recent_enemy,CHALLENGE/DAILY_P1_GENERAL_KILLS_RECENT_ENEMY,CHALLENGE/DAILY_P1_GENERAL_KILLS_RECENT_ENEMY_DESC,2,2500,,1,,,,,11,,,
3055,iw9_ch_daily_p1_general_shut_down_killstreaks,CHALLENGE/DAILY_P1_GENERAL_SHUT_DOWN_KILLSTREAKS,CHALLENGE/DAILY_P1_GENERAL_SHUT_DOWN_KILLSTREAKS_DESC,2,2500,,1,,,,,12,,,
131,iw9_ch_daily_p1_general_double_kills,CHALLENGE/DAILY_P1_GENERAL_DOUBLE_KILLS,CHALLENGE/DAILY_P1_GENERAL_DOUBLE_KILLS_DESC,2,2500,,1,,,,,13,,,
273,iw9_ch_daily_p1_general_kills_low_health,CHALLENGE/DAILY_P1_GENERAL_KILLS_LOW_HEALTH,CHALLENGE/DAILY_P1_GENERAL_KILLS_LOW_HEALTH_DESC,2,2500,,1,,,,,14,,,
73,iw9_ch_daily_p1_general_headshots_secondary_weapon,CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_SECONDARY_WEAPON,CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_SECONDARY_WEAPON_DESC,1,2500,,1,,,,,15,,,
815,iw9_ch_daily_p1_general_kills_hipfire,CHALLENGE/DAILY_P1_GENERAL_KILLS_HIPFIRE,CHALLENGE/DAILY_P1_GENERAL_KILLS_HIPFIRE_DESC,2,2500,,1,,,,,16,,,
1825,iw9_ch_daily_p1_general_kills_1s1k,CHALLENGE/DAILY_P1_GENERAL_KILLS_1S1K,CHALLENGE/DAILY_P1_GENERAL_KILLS_1S1K_DESC,1,2500,,1,,,,,17,,,
4040,iw9_ch_daily_p1_general_kills_lethal,CHALLENGE/DAILY_P1_GENERAL_KILLS_LETHAL,CHALLENGE/DAILY_P1_GENERAL_KILLS_LETHAL_DESC,1,2500,,1,,,,,18,,,
984,iw9_ch_daily_p1_general_kills_ads,CHALLENGE/DAILY_P1_GENERAL_KILLS_ADS,CHALLENGE/DAILY_P1_GENERAL_KILLS_ADS_DESC,15,2500,,1,,,,,19,,,
745,iw9_ch_daily_p2_weapon_kills_ar,CHALLENGE/DAILY_P2_WEAPON_KILLS_AR,CHALLENGE/DAILY_P2_WEAPON_KILLS_AR_DESC,15,2500,,2,,,,,1,,,
507,iw9_ch_daily_p2_weapon_kills_ar_hs,CHALLENGE/DAILY_P2_WEAPON_KILLS_AR_HS,CHALLENGE/DAILY_P2_WEAPON_KILLS_AR_HS_DESC,5,2500,,2,,,,,2,,,
369,iw9_ch_daily_p2_weapon_kills_smg,CHALLENGE/DAILY_P2_WEAPON_KILLS_SMG,CHALLENGE/DAILY_P2_WEAPON_KILLS_SMG_DESC,15,2500,,2,,,,,3,,,
14910,iw9_ch_daily_p2_weapon_kills_smg_hs_1,CHALLENGE/DAILY_P2_WEAPON_KILLS_SMG_HS,CHALLENGE/DAILY_P2_WEAPON_KILLS_SMG_HS_DESC,2,2500,,2,,,,,4,,,
318,iw9_ch_daily_p2_weapon_kills_sh,CHALLENGE/DAILY_P2_WEAPON_KILLS_SH,CHALLENGE/DAILY_P2_WEAPON_KILLS_SH_DESC,5,2500,,2,,,,,5,,,
2726,iw9_ch_daily_p2_weapon_kills_pistol,CHALLENGE/DAILY_P2_WEAPON_KILLS_PISTOL,CHALLENGE/DAILY_P2_WEAPON_KILLS_PISTOL_DESC,5,2500,,2,,,,,7,,,
14911,iw9_ch_daily_p2_weapon_kills_pistol_hs_1,CHALLENGE/DAILY_P2_WEAPON_KILLS_PISTOL_HS,CHALLENGE/DAILY_P2_WEAPON_KILLS_PISTOL_HS_DESC,1,2500,,2,,,,,8,,,
3995,iw9_ch_daily_p2_weapon_kills_sniper,CHALLENGE/DAILY_P2_WEAPON_KILLS_SNIPER,CHALLENGE/DAILY_P2_WEAPON_KILLS_SNIPER_DESC,5,2500,,2,,,,,9,,,
14912,iw9_ch_daily_p2_weapon_kills_sniper_hs_1,CHALLENGE/DAILY_P2_WEAPON_KILLS_SNIPER_HS,CHALLENGE/DAILY_P2_WEAPON_KILLS_SNIPER_HS_DESC,1,2500,,2,,,,,10,,,
14913,iw9_ch_daily_p2_weapon_kills_battle_riffle_1,CHALLENGE/DAILY_P2_WEAPON_KILLS_BATTLE_RIFFLE,CHALLENGE/DAILY_P2_WEAPON_KILLS_BATTLE_RIFFLE_DESC,2,2500,,2,,,,,11,,,
14914,iw9_ch_daily_p2_weapon_kills_battle_riffle_hs_1,CHALLENGE/DAILY_P2_WEAPON_KILLS_BATTLE_RIFFLE_HS,CHALLENGE/DAILY_P2_WEAPON_KILLS_BATTLE_RIFFLE_HS_DESC,1,2500,,2,,,,,12,,,
387,iw9_ch_daily_p2_weapon_kills_launcher,CHALLENGE/DAILY_P2_WEAPON_KILLS_LAUNCHER,CHALLENGE/DAILY_P2_WEAPON_KILLS_LAUNCHER_DESC,1,2500,,2,,,,,13,,,
