0,_dummy_item_do_not_use,special,_dummy_item_do_not_use,200,MP_BR_INGAME/MISSION_TIMEDRUN_1_DESC,MP_BR_INGAME/MISSION_TIMEDRUN_1_DESC,icon_ping_default_arrow,3,MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,50,,,0,
1,aiJugg,special,ai_jugg,200,LUA_MENU_MP/RISK_AI_JUGG,LUA_MENU_MP/RISK_AI_JUGG_DESC,ui_mp_br_loot_icon_truckwar_repair,1,LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,50,,,0,
2,airdrop,killstreak,airdrop,330,KILLSTREAKS/AIRDROP,KILLSTREAKS/AIRDROP_DESC,hud_icon_killstreak_carepackage,4,MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,50,,,0,
3,airdropMultiple,killstreak,airdrop_multiple,480,KILLSTREAKS/AIRDROP_MULTIPLE,KILLSTREAKS/AIRDROP_MULTIPLE_DESC,hud_icon_killstreak_emergency_airdrop,4,MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,50,,,0,
4,aiSquad,special,ai_squad,200,LUA_MENU_MP/RISK_AI_SQUAD,LUA_MENU_MP/RISK_AI_SQUAD_DESC,ui_mp_br_loot_icon_truckwar_repair,1,LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,50,,,0,
5,akilo47Comm,weapon,brloot_weapon_ar_akilo_comm,999,WEAPON/AR_AKILO47,WEAPON/AR_AKILO47,ui_loot_weapon_ar_akilo47,1,LOOT_MP/ITEM_TYPE_WEAPON,50,1047,,0,
6,alpha50Leg,weapon,brloot_weapon_sn_alpha50_lege,999,WEAPON/SN_ALPHA50_V17,WEAPON/SN_ALPHA50_V17,icon_weapon_sn_alpha50,1,LOOT_MP/ITEM_TYPE_WEAPON,50,419,,0,
7,ammoDepot,special,ammo_depot,200,LUA_MENU_MP/AMMO_DEPOT,LUA_MENU_MP/AMMO_DEPOT_DESC,ui_mp_br_loot_icon_truckwar_trophy,1,LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,50,,,0,
8,ammoDrop,fieldupgrade,super_ammo_drop,200,MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL,MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL_DESC,hud_icon_fieldupgrade_ammo_box,1,MP_BR_INGAME/ITEM_TYPE_SUPER,50,9230,,0,
9,armor,special,armor,40,MP_INGAME_ONLY/KIOSK_ITEM_ARMOR_PLATE,MP_INGAME_ONLY/KIOSK_ITEM_ARMOR_PLATE_DESC,hud_icon_loot_armor_plate,1,MP_INGAME_ONLY/ITEM_TYPE_HEALTH,50,8372,,0,
10,armor_plate_instant,special,armor_plate_instant,50,MP_INGAME_ONLY/KIOSK_ITEM_ARMOR_PLATE_INSTANT,MP_INGAME_ONLY/KIOSK_ITEM_ARMOR_PLATE_INSTANT_DESC,hud_icon_loot_armor_plate,1,MP_INGAME_ONLY/ITEM_TYPE_HEALTH,50,8372,,0,
11,armorBundle,special,armor_bundle,200,MP_BR_INGAME/KIOSK_ITEM_ARMOR_PLACE_BUNDLE,MP_BR_INGAME/KIOSK_ITEM_ARMOR_PLATE_BUNDLE_DESC,hud_icon_loot_armor_plates_triple,1,MP_BR_INGAME/ITEM_TYPE_HEALTH,50,8372,,0,
12,armorDrop,fieldupgrade,super_armor_drop,200,MP_BR_INGAME/KIOSK_ITEM_ARMOR_REFILL,MP_BR_INGAME/KIOSK_ITEM_ARMOR_REFILL_DESC,hud_icon_fieldupgrade_armor_box,1,MP_BR_INGAME/ITEM_TYPE_SUPER,50,9224,,0,
13,assaultDrone,killstreak,assault_drone,400,KILLSTREAKS/ASSAULT_DRONE,KILLSTREAKS/ASSAULT_DRONE_DESC,hud_icon_killstreak_drone_bomb,4,MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,50,9153,,0,
14,augolfComm,weapon,brloot_weapon_ar_augolf_comm,999,WEAPON/SM_AUGOLF,WEAPON/SM_AUGOLF,icon_weapon_sm_augolf,1,LOOT_MP/ITEM_TYPE_WEAPON,50,1052,,0,
15,autoDrone,killstreak,auto_drone,330,KILLSTREAKS/AUTO_DRONE,KILLSTREAKS/AUTO_DRONE_DESC,hud_icon_killstreak_auto_drone,4,MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,50,,,0,
16,charlie725Leg,weapon,brloot_weapon_sh_charlie725_lege,999,WEAPON/SH_CHARLIE725_V24,WEAPON/SH_CHARLIE725_V24,icon_weapon_sh_charlie725,1,LOOT_MP/ITEM_TYPE_WEAPON,50,1057,,0,
17,chopperGunner,killstreak,chopper_gunner,400,KILLSTREAKS/CHOPPER_GUNNER,KILLSTREAKS/CHOPPER_GUNNER_DESC,hud_icon_killstreak_chopper_gunner,4,MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,50,,,0,
18,circlePick,special,circle_pick,200,MP_BR_INGAME/KIOSK_ITEM_CIRCLE,MP_BR_INGAME/KIOSK_ITEM_CIRCLE_DESC,ui_mp_br_mission_reward_circle,1,MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,50,,,0,
19,clusterSpike,killstreak,cluster_spike,330,KILLSTREAKS/CLUSTER_SPIKE,KILLSTREAKS/CLUSTER_SPIKE_DESC,hud_icon_killstreak_clusterspike,4,MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,50,27327,,0,
20,cp_sentry,special,cp_sentry,200,LUA_MENU_MP/RISK_SENTRY_TURRET,LUA_MENU_MP/RISK_SENTRY_TURRET_DESC,hud_icon_minimap_killstreak_sentry,1,MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,50,,,0,
21,cranked,special,cranked,200,LUA_MENU/CRANKED,MP_INGAME_ONLY/KIOSK_ITEM_CRANKED_DESC,hud_icon_cranked,1,MP_INGAME_ONLY/ITEM_TYPE_HEALTH,50,,,0,
22,cruisePredator,killstreak,cruise_predator,575,KILLSTREAKS/CRUISE_PREDATOR,KILLSTREAKS/CRUISE_PREDATOR_DESC,hud_icon_killstreak_cruise_missile,4,MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,50,,,0,
23,customLoadout,loadout_custom,loadout_custom,800,,,,,,50,,,0,
24,defArmorT1,special,defense_spawn_armor_tier_1,200,LUA_MENU_MP/UPGRADE_DEF_ARMOR_T1,LUA_MENU_MP/UPGRADE_DEF_ARMOR_T1_DESC,hud_icon_loot_armor_plate,1,LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,50,,,0,
25,defArmorT2,special,defense_spawn_armor_tier_2,200,LUA_MENU_MP/UPGRADE_DEF_ARMOR_T2,LUA_MENU_MP/UPGRADE_DEF_ARMOR_T2_DESC,hud_icon_loot_armor_plate,1,LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,50,,,0,
26,defaultLoadout,loadout_default,loadout_default,800,,,,,,50,,,0,
27,defPlateT1,special,defense_spawn_plate_tier_1,200,LUA_MENU_MP/UPGRADE_DEF_PLATE_T1,LUA_MENU_MP/UPGRADE_DEF_PLATE_T1_DESC,hud_icon_loot_armor_plate,1,LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,50,,,0,
28,defPlateT2,special,defense_spawn_plate_tier_2,200,LUA_MENU_MP/UPGRADE_DEF_PLATE_T2,LUA_MENU_MP/UPGRADE_DEF_PLATE_T2_DESC,hud_icon_loot_armor_plate,1,LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,50,,,0,
29,deployMinefield,special,deploy_minefield,200,LUA_MENU_MP/RISK_MINEFIELD,LUA_MENU_MP/RISK_MINEFIELD_DESC,ui_mp_br_loot_icon_truckwar_redeploy,1,LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,50,,,0,
30,directionalUAV,killstreak,directional_uav,480,KILLSTREAKS/DIRECTIONAL_UAV,KILLSTREAKS/DIRECTIONAL_UAV_DESC,hud_icon_killstreak_auav,4,MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,50,27339,,0,
31,dom_gulag_key,special,loot_key_gulag,200,MP_BR_INGAME/GULAG_KEY_NAME,MP_BR_INGAME/GULAG_KEY_DESC,hud_icon_loot_key_fortress,3,MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,50,8457,,0,
32,fuelAirstrike,killstreak,fuel_airstrike,400,KILLSTREAKS/FUEL_AIRSTRIKE,KILLSTREAKS/FUEL_AIRSTRIKE_DESC,hud_icon_killstreak_fuel_airstrike,4,MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,50,,,0,
33,fulton,fieldupgrade,super_fulton,200,MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL,MP_BR_INGAME/KIOSK_ITEM_AMMO_REFILL_DESC,,1,MP_BR_INGAME/ITEM_TYPE_SUPER,50,9227,,0,
34,gasMask,special,gas_mask,200,MP/BR_GASMASK,MP/BR_GASMASK_DESC,hud_icon_equipment_gas_mask,1,MP_BR_INGAME/ITEM_TYPE_GEAR,50,8400,,0,
35,gasMaskMobile,special,gas_mask_mobile,200,MP/BR_GASMASK,MP/BR_GASMASK_DESC,hud_icon_equipment_gas_mask,1,MP_BR_INGAME/ITEM_TYPE_GEAR,50,8400,,0,
36,gunshipStreak,killstreak,gunship,400,KILLSTREAKS/AC130,KILLSTREAKS/AC130_DESC,hud_icon_killstreak_gunship,4,MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,50,,,0,
37,hoverJet,killstreak,hover_jet,400,KILLSTREAKS/HOVER_JET,KILLSTREAKS/HOVER_JET_DESC,hud_icon_killstreak_hover_jet,4,MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,50,,,0,
38,jltvMgSpawn,special,veh9_jltv_mg,200,MP_BR_INGAME/JLTV_MG_SPAWN,MP_BR_INGAME/JLTV_MG_SPAWN_DESC,hud_icon_vehicle_jltv_mg,1,MP_BR_INGAME/ITEM_TYPE_VEHICLE,50,35266,,0,
39,juggStreak,killstreak,juggernaut,400,KILLSTREAKS/JUGGERNAUT,KILLSTREAKS/JUGGERNAUT_DESC,hud_icon_killstreak_juggernaut,4,MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,50,9176,,0,
40,longerCaptureTime,special,longer_capture_time,200,LUA_MENU_MP/RISK_LONGER_CAPTURE,LUA_MENU_MP/RISK_LONGER_CAPTURE_DESC,ui_mp_br_loot_icon_truckwar_repair,1,LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,50,,,0,
41,mkilo3Comm,weapon,brloot_weapon_lm_mkilo3_comm,999,WEAPON/LM_MKILO3,WEAPON/LM_MKILO3,icon_weapon_lm_mkilo3,1,LOOT_MP/ITEM_TYPE_WEAPON,50,1053,,0,
42,mpapa7Leg,weapon,brloot_weapon_sm_mpapa7_lege,999,WEAPON/SM_MPAPA7_V21,WEAPON/SM_MPAPA7_V21,icon_weapon_sm_mpapa7,1,LOOT_MP/ITEM_TYPE_WEAPON,50,1037,,0,
43,pacSentry,killstreak,pac_sentry,400,KILLSTREAKS/PAC_SENTRY,KILLSTREAKS/PAC_SENTRY_DESC,hud_icon_killstreak_wheelson,4,MP_INGAME_ONLY/ITEM_TYPE_KILLSTREAK,50,,,0,
44,precisionAirstrike,killstreak,precision_airstrike,400,KILLSTREAKS/PRECISION_AIRSTRIKE,KILLSTREAKS/PRECISION_AIRSTRIKE_DESC,hud_icon_killstreak_airstrike,4,MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,50,27331,,0,
45,reconDrone,fieldupgrade,super_recon_drone,200,SUPER_MP/RECON_DRONE,SUPER_MP/RECON_DRONE_DESC,hud_icon_fieldupgrade_drone_recon,1,MP_BR_INGAME/ITEM_TYPE_SUPER,50,27275,,0,
46,redeploy,special,redeploy,200,MP_BR_INGAME/KIOSK_ITEM_REDEPLOY,MP_BR_INGAME/KIOSK_ITEM_REDEPLOY_DESC,hud_icon_loot_revive,1,MP_BR_INGAME/REDEPLOY,50,,,0,
