legend,icon_minimap_player,MPUI/PLAYER_ICON,
legend,ui_mp_br_mapmenu_ping_navigation_squadleader,MPUI/PLAYER_PING_ICON,
vehicles,,LUA_MENU/VEHICLES,
vehicles,hud_icon_minimap_vehicle_apc,VEHICLES/APC_RUS,
vehicles,hud_icon_minimap_vehicle_acv_6x6,VEHICLES/ACV_6X6,
vehicles,hud_icon_minimap_vehicle_palfa,VEHICLES/PALFA,
vehicles,hud_icon_minimap_vehicle_littlebird,VEHICLES/LITTLE_BIRD,
vehicles,hud_icon_minimap_vehicle_armored_patrol,VEHICLES/ARMORED_PATROL_BOAT,
vehicles,hud_icon_minimap_vehicle_rhib,VEHICLES/RHIB,
vehicles,hud_icon_minimap_vehicle_tank_cougar,VEHICLES/COUGAR,
vehicles,hud_icon_minimap_vehicle_tank_coscar,VEHICLES/LIGHT_TANK,
vehicles,hud_icon_minimap_vehicle_jltv_mg,VEHICLES/JLTV,
vehicles,hud_icon_minimap_vehicle_atv,VEHICLES/ATV,
vehicles,hud_icon_minimap_vehicle_utv,VEHICLES/UTV,
vehicles,hud_icon_minimap_vehicle_mil_cargo_truck,VEHICLES/CARGO_TRUCK,
vehicles,hud_icon_minimap_vehicle_suv_1996,VEHICLES/SUV_1996,
legend,ui_mp_br_ping_icon_domination,MP_ARM/HQ,arm
legend,ui_mp_br_mapmenu_ping_navigation_squadleader,MPUI/PLAYER_PING_ICON,arm
legend,icon_waypoint_hq,MP_ARM/HQ,gwbomb
legend,ui_mp_br_mapmenu_ping_navigation_squadleader,MPUI/PLAYER_PING_ICON,gwbomb
bottom,ui_map_icon_ammo_cache,DMZ/AMMO_STATION,
