tagReject,nodmz,100,,,
tagReject,nodrop,100,,,#Comments
rollChance,weapon,1,,,
rollChance,plate_carrier,1,,,
rollChance,gear,1,,,
rollChance,plunder,1,,,
tagChance,weapon&3,2,,,
item,brloot_backpack_large,1,,,
item,brloot_plunder_cash_legendary_1,1,,,
item,brloot_plate_carrier_3,3,,,
tagChance,weapon&4,1,,,
item,brloot_plate_carrier_2_comms,1,,,
item,brloot_plate_carrier_2_stealth,1,,,
item,brloot_plate_carrier_2_medic,1,,,
reqAdd,weapon&3,1,0,100,
reqAdd,(!weapon),2,0,100,
reqAdd,(!valuable),1,0,100,
reqAdd,brloot_killstreak_juggernaut,1,0,100,
