17838,jup_ch_gununlock_iw9_ar_scharlie_mp,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_SCHARLIE_MP,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_SCHARLIE_MP_DESC,10,,11302,,,,,0
17839,jup_ch_gununlock_iw9_dm_mike14_mp,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_DM_MIKE14_MP,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_DM_MIKE14_MP_DESC,50,,11350,,,,,0
17840,jup_ch_gununlock_iw9_ar_golf3_mp,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_GOLF3_MP,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_GOLF3_MP_DESC,50,,11339,,,,,0
17841,jup_ch_gununlock_iw9_ar_mike4_mp,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_MIKE4_MP,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_MIKE4_MP_DESC,100,,11354,,,,,0
17842,jup_ch_gununlock_iw9_sm_mpapa7_mp,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_SM_MPAPA7_MP,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_SM_MPAPA7_MP_DESC,10,,11311,,,,,0
17843,jup_ch_gununlock_iw9_ar_augolf_mp,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_AUGOLF_MP,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_AUGOLF_MP_DESC,50,,11372,,,,,0
17845,jup_ch_gununlock_iw9_ar_akilo_mp,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_AKILO_MP,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_AR_AKILO_MP_DESC,50,,11305,,,,,0
17847,jup_ch_gununlock_iw9_sm_victor_mp,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_SM_VICTOR_MP,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_SM_VICTOR_MP_DESC,50,,11315,,,,,0
17849,jup_ch_gununlock_iw9_sh_charlie725_mp,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_SH_CHARLIE725_MP,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_SH_CHARLIE725_MP_DESC,25,,11313,,,,,0
17850,jup_ch_gununlock_iw9_sh_mike1014_mp,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_SH_MIKE1014_MP,CHALLENGE/JUP_CH_GUNUNLOCK_IW9_SH_MIKE1014_MP_DESC,50,,11366,,,,,0
