NET_CONNECTION,None,-1,FENCE_STATUS_CODES/ROBERTS,FENCE_STATUS_CODES/ESTONIA,FENCE_STATUS_DESCRIPTIONS/NET_CONNECTION_IDLE
NET_CONNECTION,NotConnected,0,FENCE_STATUS_CODES/ROBERTS,FENCE_STATUS_CODES/OBISPO,XBOXLIVE/NETCONNECTION
NET_CONNECTION,TimedOut,1,FENCE_STATUS_CODES/ROBERTS,FENCE_STATUS_CODES/DHEKELIA,FENCE_STATUS_DESCRIPTIONS/GENERIC_CONNECTING_ONLINE
SIGNED_IN_TO_LIVE,None,-1,FENCE_STATUS_CODES/TRAVIS,FENCE_STATUS_CODES/CASEY,FENCE_STATUS_DESCRIPTIONS/SIGNED_INTO_LIVE_IDLE
SIGNED_IN_TO_LIVE,SigningIn,0,FENCE_STATUS_CODES/TRAVIS,FENCE_STATUS_CODES/SOUDA,FENCE_STATUS_DESCRIPTIONS/SIGNED_INTO_LIVE_IN_PROGRESS
SIGNED_IN_TO_LIVE,TimedOut,1,FENCE_STATUS_CODES/TRAVIS,FENCE_STATUS_CODES/RILEA,FENCE_STATUS_DESCRIPTIONS/SIGNED_INTO_LIVE_TIMED_OUT
SIGNED_IN_TO_LIVE,NotSignedInToPSN,2,FENCE_STATUS_CODES/TRAVIS,FENCE_STATUS_CODES/SHIPTON,XBOXLIVE/SIGNEDOUTOFLIVE
SIGNED_IN_TO_LIVE,NotSignedIn,3,FENCE_STATUS_CODES/TRAVIS,FENCE_STATUS_CODES/BRANDON,ONLINE/ONLINE_SERVICES_ERROR
DW_SERVICES_ACCESS,None,-1,FENCE_STATUS_CODES/KELLEY,FENCE_STATUS_CODES/CORONADO,FENCE_STATUS_DESCRIPTIONS/DW_SERVICES_ACCESS_IDLE
DEMONWARE,None,-1,FENCE_STATUS_CODES/DETRICK,FENCE_STATUS_CODES/WIESBADEN,FENCE_STATUS_DESCRIPTIONS/DEMONWARE_IDLE
DEMONWARE,LoginAttemptsExpired,0,FENCE_STATUS_CODES/DETRICK,FENCE_STATUS_CODES/TOOELE,FENCE_STATUS_DESCRIPTIONS/DEMONWARE_FAILED
DEMONWARE,LoginAttemptTakingTooLong,1,FENCE_STATUS_CODES/DETRICK,FENCE_STATUS_CODES/LESTER,FENCE_STATUS_DESCRIPTIONS/DEMONWARE_FAILED
