iw9_ar_mike4,iw9_rec_mike4,1,WEAPON/AR_MIKE4,icon_attachment_p01_ar_mike4_rec_v0,PERKS/AR_MIKE4,WEAPON/PLATFORM_01_NAME,0
iw9_ar_mike16,rec_mike16,1,WEAPON/AR_MIKE16,icon_attachment_p01_ar_mike16_rec_v0,PERKS/AR_MIKE16,WEAPON/PLATFORM_01_NAME,0
iw9_lm_foxtrot,rec_foxtrot,1,WEAPON/LM_FOXTROT,icon_attachment_p01_lm_foxtrot_rec_v0,PERKS/LM_FOXTROT,WEAPON/PLATFORM_01_NAME,0
iw9_br_msecho,rec_msecho,1,WEAPON/BR_MSECHO,icon_attachment_p01_dm_msecho_rec_v0,PERKS/BR_MSECHO,WEAPON/PLATFORM_01_NAME,0
iw9_sm_alpha57,rec_alpha57,1,WEAPON/SM_ALPHA57,icon_attachment_p01_sm_alpha57_rec_v0,PERKS/SM_ALPHA57,WEAPON/PLATFORM_01_NAME,0
iw9_ar_golf3,rec_golf3,2,WEAPON/AR_GOLF3,icon_attachment_p02_ar_golf3_rec_v0,PERKS/AR_GOLF3,WEAPON/PLATFORM_02_NAME,0
iw9_ar_kilo53,rec_kilo53,2,WEAPON/AR_KILO53,icon_attachment_p02_ar_kilo53_rec_v0,PERKS/AR_KILO53,WEAPON/PLATFORM_02_NAME,0
iw9_dm_pgolf1,rec_pgolf1,2,WEAPON/DM_PGOLF1,icon_attachment_p02_dm_pgolf1_rec_v0,PERKS/DM_PGOLF1,WEAPON/PLATFORM_02_NAME,0
iw9_lm_kilo21,rec_kilo21,2,WEAPON/LM_KILO21,icon_attachment_p02_lm_kilo21_rec_v0,PERKS/LM_KILO21,WEAPON/PLATFORM_02_NAME,0
iw9_sm_mpapa5,rec_mpapa5_mp,2,WEAPON/SM_MPAPA5,icon_attachment_p02_sm_mpapa5_rec_v0,PERKS/SM_MPAPA5,WEAPON/PLATFORM_02_NAME,0
iw9_ar_augolf,iw9_rec_augolf,3,WEAPON/AR_AUGOLF,icon_attachment_p03_ar_augolf_rec_v0,PERKS/AR_AUGOLF,WEAPON/PLATFORM_03_NAME,0
iw9_sm_apapa,rec_apapa,3,WEAPON/SM_APAPA,icon_attachment_p03_sm_apapa_rec_v0,PERKS/SM_APAPA,WEAPON/PLATFORM_03_NAME,0
iw9_lm_ahotel,rec_ahotel,3,WEAPON/LM_AHOTEL,icon_attachment_p03_lm_ahotel_rec_v0,PERKS/LM_AHOTEL,WEAPON/PLATFORM_03_NAME,0
iw9_ar_akilo,rec_akilo,4,WEAPON/AR_AKILO47,icon_attachment_p04_ar_akilo_rec_v0,PERKS/AR_AKILO47,WEAPON/PLATFORM_04_NAME,0
iw9_ar_akilo105,rec_akilo105,4,WEAPON/AR_AKILO105,icon_attachment_p04_ar_akilo105_rec_v0,PERKS/AR_AKILO105,WEAPON/PLATFORM_04_NAME,0
iw9_ar_akilo74,rec_akilo74,4,WEAPON/AR_AKILO74,icon_attachment_p04_ar_akilo74_rec_v0,PERKS/AR_AKILO74,WEAPON/PLATFORM_04_NAME,0
iw9_sm_aviktor,rec_aviktor,4,WEAPON/SM_AVIKTOR,icon_attachment_p04_sm_aviktor_rec_v0,PERKS/SM_AVIKTOR,WEAPON/PLATFORM_04_NAME,0
iw9_sm_beta,iw9_rec_beta,4,WEAPON/SM_BETA,icon_attachment_p04_sm_beta_rec_v0,PERKS/SM_BETA,WEAPON/PLATFORM_04_NAME,0
iw9_lm_rkilo,rec_rkilo,4,WEAPON/LM_RKILO,icon_attachment_p04_lm_rkilo_rec_v0,PERKS/LM_RKILO,WEAPON/PLATFORM_04_NAME,0
