0,cp_intel_01,CP_INTEL_IW9/PHOTO_TEXT_1,,photo,
1,,CP_INTEL_IW9/INTEL2_TXT,,text,
2,cp_intel_06,CP_INTEL_IW9/PHOTO_TEXT_3,,photo,
3,,CP_INTEL_IW9/INTEL4_TXT,,text,
4,,CP_INTEL_IW9/INTEL5_TXT,,text,
5,cp_intel_03,,,photo,
6,cp_intel_07,,,photo,
7,,CP_INTEL_IW9/INTEL8_TXT,,text,
8,cp_intel_09,,,photo,
9,cp_intel_10,,,photo,
10,cp_intel_11,,,photo,
11,,CP_INTEL_IW9/INTEL11_TXT,,text,
12,,CP_INTEL_IW9/INTEL12_TXT,,text,
13,,CP_INTEL_IW9/INTEL13_TXT,,text,
14,,CP_INTEL_IW9/INTEL14_TXT,,text,
15,cp_intel_15,,,photo,
16,,CP_INTEL_IW9/INTEL16_TXT,,text,
17,,CP_INTEL_IW9/INTEL17_TXT,,text,
18,,CP_INTEL_IW9/INTEL18_TXT,,text,
19,cp_intel_19,,,photo,
20,,CP_INTEL_IW9/INTEL20_TXT,,text,
21,,CP_INTEL_IW9/INTEL21_TXT,,text,
22,,CP_INTEL_IW9/INTEL22_TXT,,text,
23,cp_intel_20,CP_INTEL_IW9/PHOTO_TEXT_4,,photo,
24,cp_intel_21,,,photo,
