interactable_note_mysterious_letter,saba,,0
interactable_note_agent01,saba,,
interactable_note_agent02,saba,,
interactable_note_agent03,saba,,
interactable_note_agent04,saba,,
interactable_note_agent05,saba,,
interactable_note_captured01,saba,,
interactable_note_captured04,saba,,
interactable_note_cartel02,saba,,
interactable_note_cartel04,saba,,
interactable_note_cartel05,saba,,
interactable_note_chemist01,saba,,
interactable_note_chemist04,saba,,
interactable_note_family01,saba,,
interactable_note_family02,saba,,
interactable_note_family03,saba,,
interactable_note_family04,saba,,
interactable_note_family05,saba,,
interactable_note_hoard01,saba,,
interactable_note_hoard02,saba,,
interactable_note_hoard03,saba,,
interactable_note_pyro01,saba,,
interactable_note_pyro02,saba,,
interactable_note_pyro03,saba,,
interactable_note_pyro04,saba,,
interactable_note_pyro05,saba,,
interactable_note_thief01,saba,,
interactable_note_thief02,saba,,
interactable_note_thief04,saba,,
interactable_note_thief05,saba,,
interactable_notebook_captured02,saba,,
interactable_notebook_captured03,saba,,
interactable_notebook_cartel01,saba,,
interactable_notebook_cartel03,saba,,
interactable_notebook_chemist02,saba,,
interactable_notebook_chemist03,saba,,
interactable_notebook_chemist05,saba,,
interactable_notebook_thief03,saba,,
interactable_note_anti_air,saba,,
interactable_note_security01,biolabs,,
interactable_note_security02,biolabs,,
interactable_note_security03,biolabs,,
interactable_note_miscellaneous01,biolabs,,
interactable_note_miscellaneous02,biolabs,,
interactable_note_miscellaneous03,biolabs,,
interactable_note_miscellaneous06,biolabs,,
interactable_note_miscellaneous07,biolabs,,
interactable_note_miscellaneous08,biolabs,,
interactable_note_miscellaneous09,biolabs,,
interactable_note_miscellaneous10,biolabs,,
interactable_notebook_researcher01,biolabs,,
interactable_notebook_researcher02,biolabs,,
interactable_notebook_researcher03,biolabs,,
interactable_notebook_researcher04,biolabs,,
interactable_notebook_researcher05,biolabs,,
interactable_notebook_officer01,biolabs,,
interactable_notebook_officer02,biolabs,,
interactable_notebook_officer03,biolabs,,
interactable_notebook_officer04,biolabs,,
interactable_notebook_officer05,biolabs,,
interactable_notebook_medical01,biolabs,,
interactable_notebook_medical02,biolabs,,
interactable_notebook_medical03,biolabs,,
interactable_note_saba_architect01,saba,,
interactable_note_saba_lieutenant01,saba,,
interactable_note_saba_trapper01,saba,,
interactable_note_saba_buiding2101,saba,,
interactable_note_saba_crash_briefcase01,saba,,
interactable_note_sealion_b2101,sealion,,
interactable_note_sealion_b2102,sealion,,
interactable_note_sealion_b2103,sealion,,
interactable_note_sealion_couple01,sealion,,
interactable_note_sealion_worker01,sealion,,
interactable_note_sealion_worker02,sealion,,
interactable_note_sealion_worker03,sealion,,
interactable_note_sealion_worker04,sealion,,
interactable_notebook_sealion_scared01,sealion,,
interactable_notebook_sealion_scared02,sealion,,
brloot_shipping_manifest,saba,,
brloot_stronghold_intel,saba,1,
brloot_faction_intel,saba,1,
brloot_black_mous_intel,saba,,
brloot_crane_intel,saba,,
brloot_caves_intel,saba,,
brloot_geiger_note_1,saba,,
brloot_geiger_note_2,saba,,
brloot_system_architecture,saba,,
brloot_biolabs_intel_a,biolabs,,
brloot_biolabs_intel_b,biolabs,,
brloot_biolabs_intel_c,biolabs,,
brloot_crown_intel,biolabs,,
brloot_fake_aq_intel,biolabs,1,
brloot_legion_deal_intel,saba,,
brloot_medical_intel,biolabs,,
brloot_research_intel,biolabs,,
brloot_saba_shipping_intel,saba,,
brloot_sealion_intel,sealion,,
brloot_shadow_company_intel,sealion,,
brloot_shadow_deal_intel,sealion,,
brloot_drivers_note,saba,,
brloot_pmc_instructions,sealion,1,
brloot_politicians_letter,saba,,
brloot_shadow_letter,sealion,,
brloot_cartel_dossier,saba,,
brloot_cartel_intel,saba,1,
brloot_sc_cartel_notes,saba,,
brloot_aq_train_manifest,saba,,
