0,,hide_match_hint,common,0
1,MATCH_STATUS_HINT/COMMON_KILL,kill,common,0
2,MATCH_STATUS_HINT/CYBER_EMP_PICKUP,cyber_emp_pickup,cyber,0
3,MATCH_STATUS_HINT/CYBER_EMP_PLANT,cyber_emp_plant,cyber,0
4,MATCH_STATUS_HINT/CYBER_EMP_DEFUSE,cyber_emp_defsue,cyber,0
5,MATCH_STATUS_HINT/CYBER_EMP_DEFEND,cyber_emp_defend,cyber,0
6,MATCH_STATUS_HINT/CYBER_CARRIER_DEFEND,cyber_carrier_defend,cyber,0
7,MATCH_STATUS_HINT/CYBER_DEFEND_DATA,cyber_data_defend,cyber,0
8,MATCH_STATUS_HINT/EXFIL_RUN_TO_EXTRACT,exfil_go,exfil,0
9,MATCH_STATUS_HINT/EXFIL_PREVENT_EXTRACT,exfil_prevent,exfil,0
10,MATCH_STATUS_HINT/ESCORT_VIP,vip_escort,vip,0
11,MATCH_STATUS_HINT/SECURE_VIP,vip_secure,vip,0
12,MATCH_STATUS_HINT/SECURE_EXTRACT,vip_extract,vip,0
13,MATCH_STATUS_HINT/PREVENT_EXTRACT,vip_stop_extract,vip,0
14,MATCH_STATUS_HINT/CARRY_VIP,vip_carry,vip,0
15,MATCH_STATUS_HINT/CAPTURE_FLAG,flag_capture,btm,0
16,MATCH_STATUS_HINT/DEFEND_FLAG,flag_defend,btm,0
17,MATCH_STATUS_HINT/CAPTURE_HQ,hq_capture,btm+hq,0
18,MATCH_STATUS_HINT/DEFEND_HQ,hq_defend,btm+hq,0
19,MATCH_STATUS_HINT/DEFEND_VIP,vip_defend,btm,0
20,MATCH_STATUS_HINT/CAPTURE_JUGG,jugg_capture,btm,0
21,MATCH_STATUS_HINT/PLANT_BOMBS,bombs_plant,btm,0
22,MATCH_STATUS_HINT/PLANT_BOMB,bomb_plant,sd,0
23,MATCH_STATUS_HINT/DEFEND_BOMB,bomb_defend,sd,0
24,MATCH_STATUS_HINT/DEFUSE_BOMB,bomb_defuse,sd,0
25,MATCH_STATUS_HINT/PICKUP_BOMB,bomb_pickup,sd,0
26,MATCH_STATUS_HINT/ESCORT_BOMB,bomb_escort,sd,0
27,MATCH_STATUS_HINT/DEFEND_SITES,bombsite_defend,sd,0
28,MATCH_STATUS_HINT/CAPTURE_DEFEND_FLAGS,dom_cap_defend,dom,0
29,MATCH_STATUS_HINT/CAPTURE_NUKE,nuke_capture,arm,0
30,MATCH_STATUS_HINT/DESTROY_HQ,hq_detroy,hq,0
31,MATCH_STATUS_HINT/GET_OBJ_BRM,brm_find_obj,brm,0
32,MATCH_STATUS_HINT/CAPTURE_OBJ_BRM,brm_cap_obj,brm,0
33,MATCH_STATUS_HINT/SYNC_SQUAD_BRM,brm_sync_up,brm,0
34,MATCH_STATUS_HINT/KILL_COLLECT_TAGS,kill_collect_tags,conf,0
35,MATCH_STATUS_HINT/COLLECT_BANK_TAGS,bank_tags,grind,0
36,MATCH_STATUS_HINT/CAPTURE_HARDPOINT,koth_capture,koth,0
37,MATCH_STATUS_HINT/CONTROL_HARDPOINT,koth_control,koth,0
38,MATCH_STATUS_HINT/CAPTURE_FLAG,flag_capture,ctf,0
39,MATCH_STATUS_HINT/RETURN_FLAG,flag_return,ctf,0
40,MATCH_STATUS_HINT/INFECT_SURVIVE,infect_survive,infect,0
41,MATCH_STATUS_HINT/INFECT_INFECT,infect_all,infect,0
42,MATCH_STATUS_HINT/CAPTURE_DZ,dz_capture,grnd,0
43,MATCH_STATUS_HINT/CONTROL_DZ,dz_control,grnd,0
44,MATCH_STATUS_HINT/CAP_DEF_TDEF_FLAG,single_flag_cap,tdef,0
45,MATCH_STATUS_HINT/KO_OBJ_CAPTURE,ko_obj_capture,ko,0
46,MATCH_STATUS_HINT/KO_OBJ_HOLD,ko_obj_hold,ko,0
47,MATCH_STATUS_HINT/KO_OBJ_KILL,ko_obj_kill,ko,0
52,MATCH_STATUS_HINT/CAPTURE_CONTROLZONE,control_attack_zones,control,0
53,MATCH_STATUS_HINT/DEFEND_CONTROLZONE,control_defend_zones,control,0
54,MATCH_STATUS_HINT/PUSH_THE_FRONTLINE,push_frontline,gwtdm,0
55,MATCH_STATUS_HINT/CAPTURE_NUKE,nuke_capture,conflict,0
