0,kill,havoc_ammo_feeder,icon_mod_ammo_feeder,SPLASHES/HAVOC_AMMO_FEEDER,0,none,havoc_gun_cycle
1,kill,havoc_armored_executioner,icon_mod_armored_executioner,SPLASHES/HAVOC_ARMORED_EXECUTIONER,0,none,none
2,kill,havoc_cache_pinata,icon_mod_cache_pinata,SPLASHES/HAVOC_CACHE_PINATA,0,none,none
3,kill,havoc_cranked,icon_mod_cranked,SPLASHES/HAVOC_CRANKED,0,none,none
4,kill,havoc_equip_mayhem,icon_mod_equip_mayhem,SPLASHES/HAVOC_EQUIP_MAYHEM,0,none,none
5,kill,havoc_kill_snap,icon_mod_kill_snap,SPLASHES/HAVOC_KILL_SNAP,0,none,none
6,kill,havoc_lucky_killstreak,icon_mod_lucky_killstreak,SPLASHES/HAVOC_LUCKY_KILLSTREAK,0,none,none
7,kill,havoc_semtex_surprise,icon_mod_semtex_surprise,SPLASHES/HAVOC_SEMTEX_SURPRISE,0,none,none
8,world,havoc_fragile,icon_mod_fragile,SPLASHES/HAVOC_FRAGILE,1,none,none
9,world,havoc_hero_drop,icon_mod_hero_drop,SPLASHES/HAVOC_HERO_DROP,1,havoc_low_gravity,none
10,world,havoc_ai_invasion,icon_mod_ai_invasion,SPLASHES/HAVOC_AI_INVASION,0,none,none
11,world,havoc_eyes_on,icon_mod_eyes_on,SPLASHES/HAVOC_EYES_ON,0,none,none
12,world,havoc_headshot_only,icon_mod_headshot_only,SPLASHES/HAVOC_HEADSHOT_ONLY,0,none,havoc_flame_on
13,world,havoc_low_gravity,icon_mod_low_gravity,SPLASHES/HAVOC_LOW_GRAVITY,0,none,none
14,world,havoc_random_crates,icon_mod_random_crates,SPLASHES/HAVOC_RANDOM_CRATES,0,none,none
15,world,havoc_third_person,icon_mod_third_person,SPLASHES/HAVOC_THIRD_PERSON,1,none,none
16,weapon,havoc_gun_cycle,icon_mod_gun_cycle,SPLASHES/HAVOC_GUN_CYCLE,0,none,havoc_ammo_feeder
17,weapon,havoc_flame_on,icon_mod_flame_on,SPLASHES/HAVOC_FLAME_ON,1,none,havoc_headshot_only
18,weapon,havoc_silent_assassin,icon_mod_silent_assassin,SPLASHES/HAVOC_SILENT_ASSASSIN,1,none,none
19,end,havoc_system_reroll,icon_mod_system_reroll,SPLASHES/HAVOC_SYSTEM_REROLL,0,none,none
