attachment_manufacturer_ballistarc,iw9_icon_attachment_manufacturer_ballistarc_lg,iw9_icon_attachment_manufacturer_ballistarc,iw9_icon_attachment_manufacturer_ballistarc_sm,180,360
attachment_manufacturer_corio,iw9_icon_attachment_manufacturer_corio_lg,iw9_icon_attachment_manufacturer_corio,iw9_icon_attachment_manufacturer_corio_sm,100,196
attachment_manufacturer_corvusdefense,iw9_icon_attachment_manufacturer_corvusdefense_lg,iw9_icon_attachment_manufacturer_corvusdefense,iw9_icon_attachment_manufacturer_corvusdefense_sm,136,268
attachment_manufacturer_corvuslimited,iw9_icon_attachment_manufacturer_corvuslimited_lg,iw9_icon_attachment_manufacturer_corvuslimited,iw9_icon_attachment_manufacturer_corvuslimited_sm,200,400
attachment_manufacturer_demo,iw9_icon_attachment_manufacturer_demo_lg,iw9_icon_attachment_manufacturer_demo,iw9_icon_attachment_manufacturer_demo_sm,84,164
attachment_manufacturer_expedite,iw9_icon_attachment_manufacturer_expedite_lg,iw9_icon_attachment_manufacturer_expedite,iw9_icon_attachment_manufacturer_expedite_sm,200,400
attachment_manufacturer_fjx,iw9_icon_attachment_manufacturer_fjx_lg,iw9_icon_attachment_manufacturer_fjx,iw9_icon_attachment_manufacturer_fjx_sm,96,192
attachment_manufacturer_fss,iw9_icon_attachment_manufacturer_fss_lg,iw9_icon_attachment_manufacturer_fss,iw9_icon_attachment_manufacturer_fss_sm,88,172
attachment_manufacturer_fssalt,iw9_icon_attachment_manufacturer_fssalt_lg,iw9_icon_attachment_manufacturer_fssalt,iw9_icon_attachment_manufacturer_fssalt_sm,60,116
attachment_manufacturer_gerhardwolf,iw9_icon_attachment_manufacturer_gerhardwolf_lg,iw9_icon_attachment_manufacturer_gerhardwolf,iw9_icon_attachment_manufacturer_gerhardwolf_sm,192,384
attachment_manufacturer_heijimishkin,iw9_icon_attachment_manufacturer_heijimishkin_lg,iw9_icon_attachment_manufacturer_heijimishkin,iw9_icon_attachment_manufacturer_heijimishkin_sm,200,400
attachment_manufacturer_ivanov,iw9_icon_attachment_manufacturer_ivanov_lg,iw9_icon_attachment_manufacturer_ivanov,iw9_icon_attachment_manufacturer_ivanov_sm,200,400
attachment_manufacturer_mack8,iw9_icon_attachment_manufacturer_mack8_lg,iw9_icon_attachment_manufacturer_mack8,iw9_icon_attachment_manufacturer_mack8_sm,160,316
attachment_manufacturer_singuard,iw9_icon_attachment_manufacturer_singuard_lg,iw9_icon_attachment_manufacturer_singuard,iw9_icon_attachment_manufacturer_singuard_sm,200,400
attachment_manufacturer_stovl,iw9_icon_attachment_manufacturer_stovl_lg,iw9_icon_attachment_manufacturer_stovl,iw9_icon_attachment_manufacturer_stovl_sm,200,400
attachment_manufacturer_tanto,iw9_icon_attachment_manufacturer_tanto_lg,iw9_icon_attachment_manufacturer_tanto,iw9_icon_attachment_manufacturer_tanto_sm,92,176
attachment_manufacturer_vlk,iw9_icon_attachment_manufacturer_vlk_lg,iw9_icon_attachment_manufacturer_vlk,iw9_icon_attachment_manufacturer_vlk_sm,96,188
attachment_manufacturer_weapon,iw9_icon_attachment_manufacturer_weapon_lg,iw9_icon_attachment_manufacturer_weapon,iw9_icon_attachment_manufacturer_weapon_sm,104,208
attachment_manufacturer_xrk,iw9_icon_attachment_manufacturer_xrk_lg,iw9_icon_attachment_manufacturer_xrk,iw9_icon_attachment_manufacturer_xrk_sm,64,128
attachment_manufacturer_xrkblack,iw9_icon_attachment_manufacturer_xrkblack_lg,iw9_icon_attachment_manufacturer_xrkblack,iw9_icon_attachment_manufacturer_xrkblack_sm,200,400
attachment_manufacturer_xrkelite,iw9_icon_attachment_manufacturer_xrkelite_lg,iw9_icon_attachment_manufacturer_xrkelite,iw9_icon_attachment_manufacturer_xrkelite_sm,152,300
attachment_manufacturer_xrkkarbon,iw9_icon_attachment_manufacturer_xrkkarbon_lg,iw9_icon_attachment_manufacturer_xrkkarbon,iw9_icon_attachment_manufacturer_xrkkarbon_sm,172,336
attachment_manufacturer_xten,iw9_icon_attachment_manufacturer_xten_lg,iw9_icon_attachment_manufacturer_xten,iw9_icon_attachment_manufacturer_xten_sm,152,300
attachment_manufacturer_zlr,iw9_icon_attachment_manufacturer_zlr_lg,iw9_icon_attachment_manufacturer_zlr,iw9_icon_attachment_manufacturer_zlr_sm,96,188
attachment_manufacturer_zlrjapanese,iw9_icon_attachment_manufacturer_zlrjapanese_lg,iw9_icon_attachment_manufacturer_zlrjapanese,iw9_icon_attachment_manufacturer_zlrjapanese_sm,200,400
attachment_manufacturer_zlrspecial,iw9_icon_attachment_manufacturer_zlrspecial_lg,iw9_icon_attachment_manufacturer_zlrspecial,iw9_icon_attachment_manufacturer_zlrspecial_sm,192,380
optic_manufacturer_drexton,iw9_icon_optic_manufacturer_drexton_lg,iw9_icon_optic_manufacturer_drexton,iw9_icon_optic_manufacturer_drexton_sm,200,400
optic_manufacturer_gl,iw9_icon_optic_manufacturer_gl_lg,iw9_icon_optic_manufacturer_gl,iw9_icon_optic_manufacturer_gl_sm,32,64
optic_manufacturer_luca,iw9_icon_optic_manufacturer_luca_lg,iw9_icon_optic_manufacturer_luca,iw9_icon_optic_manufacturer_luca_sm,144,284
optic_manufacturer_meiko,iw9_icon_optic_manufacturer_meiko_lg,iw9_icon_optic_manufacturer_meiko,iw9_icon_optic_manufacturer_meiko_sm,96,184
optic_manufacturer_solozero,iw9_icon_optic_manufacturer_solozero_lg,iw9_icon_optic_manufacturer_solozero,iw9_icon_optic_manufacturer_solozero_sm,200,400
optic_manufacturer_zz11,iw9_icon_optic_manufacturer_zz11_lg,iw9_icon_optic_manufacturer_zz11,iw9_icon_optic_manufacturer_zz11_sm,152,304
weapon_manufacturer_black_cell,iw9_icon_weapon_manufacturer_black_cell_lg,iw9_icon_weapon_manufacturer_black_cell,iw9_icon_weapon_manufacturer_black_cell_sm,144,56
weapon_manufacturer_bruen,iw9_icon_weapon_manufacturer_bruen_lg,iw9_icon_weapon_manufacturer_bruen,iw9_icon_weapon_manufacturer_bruen_sm,80,160
weapon_manufacturer_bryson,iw9_icon_weapon_manufacturer_bryson_lg,iw9_icon_weapon_manufacturer_bryson,iw9_icon_weapon_manufacturer_bryson_sm,96,188
weapon_manufacturer_cronen,iw9_icon_weapon_manufacturer_cronen_lg,iw9_icon_weapon_manufacturer_cronen,iw9_icon_weapon_manufacturer_cronen_sm,200,400
weapon_manufacturer_edi,iw9_icon_weapon_manufacturer_edi_lg,iw9_icon_weapon_manufacturer_edi,iw9_icon_weapon_manufacturer_edi_sm,48,100
weapon_manufacturer_forgetac,iw9_icon_weapon_manufacturer_forgetac_lg,iw9_icon_weapon_manufacturer_forgetac,iw9_icon_weapon_manufacturer_forgetac_sm,200,400
weapon_manufacturer_froggybros,iw9_icon_weapon_manufacturer_froggy_bros_lg,iw9_icon_weapon_manufacturer_froggy_bros,iw9_icon_weapon_manufacturer_froggy_bros_sm,80,176
weapon_manufacturer_grunlach,iw9_icon_weapon_manufacturer_grunlach_lg,iw9_icon_weapon_manufacturer_grunlach,iw9_icon_weapon_manufacturer_grunlach_sm,164,324
weapon_manufacturer_imperatorium,iw9_icon_weapon_manufacturer_imperatorium_lg,iw9_icon_weapon_manufacturer_imperatorium,iw9_icon_weapon_manufacturer_imperatorium_sm,180,360
weapon_manufacturer_kastovia,iw9_icon_weapon_manufacturer_kastovia_lg,iw9_icon_weapon_manufacturer_kastovia,iw9_icon_weapon_manufacturer_kastovia_sm,28,52
weapon_manufacturer_kendallballistics,iw9_icon_weapon_manufacturer_kendall_ballistics_lg,iw9_icon_weapon_manufacturer_kendall_ballistics,iw9_icon_weapon_manufacturer_kendall_ballistics_sm,144,260
