0,none,hash_674f27cc22fbc72a,,MENU/NONE,,MENU/NONE,icon_empty_circle,,,,,,,,-1,0,,
1,role_tank,hash_36710c58487e250a,icon_role_heavy,LUA_MENU_CP/TANK_CLASS_NAME,LUA_MENU_CP/FIELD_ORDER_TEAM_ARMOR_NAME,LUA_MENU_CP/TEAM_ARMOR_DESC,hud_icon_fieldupgrade_hardened_armor,LUA_MENU_CP/PASSIVE_LAUNCHER_AMMO_NAME,LUA_MENU_CP/PASSIVE_LAUNCHER_AMMO_DESC,icon_buff_doubleLauncher,LUA_MENU_CP/SUPER_ARMOR_READY,LUA_MENU_CP/VANGUARD_CLASS_NAME,frontend_role_heavy,1,1,1,placeholder_x,
2,role_hunter,hash_59c7492ef1a723b2,icon_role_recon,LUA_MENU_CP/HUNTER_CLASS_NAME,LUA_MENU_CP/FIELD_ORDER_DRONE_NAME,LUA_MENU_CP/SCOUT_DRONE_DESC,hud_icon_killstreak_radardrone_recon,LUA_MENU_CP/PASSIVE_STEADY_AIM_NAME,LUA_MENU_CP/PASSIVE_STEADY_AIM_DESC,icon_buff_recoil,LUA_MENU_CP/SUPER_DRONE_READY,LUA_MENU_CP/MEDIC_CLASS_NAME,frontend_role_recon,1,2,3,placeholder_x,
3,role_demolition,hash_24b066166c1c8ff2,icon_role_demolitions,LUA_MENU_CP/VANGUARD_CLASS_NAME,LUA_MENU_CP/FIELD_ORDER_THERMITE_LAUNCHER_NAME,LUA_MENU_CP/THERMITE_LAUNCHER_DESC,hud_icon_fieldupgrade_thermite_launcher,LUA_MENU_CP/PASSIVE_SCAVENGE_GRENADES_NAME,LUA_MENU_CP/PASSIVE_SCAVENGE_GRENADES_DESC,icon_buff_grenade,LUA_MENU_CP/SUPER_AMMO_READY,LUA_MENU_CP/TANK_CLASS_NAME,frontend_role_demolition,1,3,2,placeholder_x,
4,role_medic,hash_241e2b9354f8fa23,icon_role_medic,LUA_MENU_CP/MEDIC_CLASS_NAME,LUA_MENU_CP/FIELD_ORDER_TEAM_REVIVE_NAME,LUA_MENU_CP/TEAM_AUTO_REVIVE_DESC,hud_icon_fieldupgrade_team_revive,LUA_MENU_CP/PASSIVE_QUICK_REVIVE_NAME,LUA_MENU_CP/PASSIVE_QUICK_REVIVE_DESC,icon_buff_quickRevive,LUA_MENU_CP/SUPER_REVIVE_READY,LUA_MENU_CP/TANK_CLASS_NAME,frontend_role_medic,1,4,1,placeholder_x,
5,role_assault,hash_4480be957598e6da,icon_role_assault,LUA_MENU_CP/ASSAULT_CLASS_NAME,LUA_MENU_CP/FIELD_ORDER_TEAM_STOPPING_POWER_NAME,LUA_MENU_CP/TEAM_STOPPING_POWER_DESC,hud_icon_fieldupgrade_stopping_power,LUA_MENU_CP/PASSIVE_FAST_RELOAD_NAME,LUA_MENU_CP/PASSIVE_FAST_RELOAD_DESC,icon_buff_reload,LUA_MENU_CP/SUPER_STOPPING_POWER_READY,LUA_MENU_CP/TANK_CLASS_NAME,frontend_role_assault,1,5,2,icon_fieldupgrade_assault,LUA_MENU_CP/ASSAULT_PROG_DESC
6,role_engineer,hash_5e07c7d68104c8a2,icon_role_engineer,LUA_MENU_CP/ENGINEER_CLASS_NAME,LUA_MENU_CP/FIELD_ORDER_EMP_DRONE_NAME,LUA_MENU_CP/EMP_DRONE_DESC,hud_icon_killstreak_emp_drone,LUA_MENU_CP/PASSIVE_ARMOR_PIERCING_NAME,LUA_MENU_CP/PASSIVE_ARMOR_PIERCING_DESC,icon_buff_armorDamage,LUA_MENU_CP/SUPER_EMP_READY,LUA_MENU_CP/HUNTER_CLASS_NAME,frontend_role_engineer,1,6,3,icon_fieldupgrade_engineer,LUA_MENU_CP/ENGINEER_PROG_DESC
7,kitAssault,hash_538fbb6f16a0d30,icon_role_assault,LUA_MENU_CP/VANGUARD_CLASS_NAME,LUA_MENU_CP/FIELD_ORDER_THERMITE_LAUNCHER_NAME,LUA_MENU_CP/THERMITE_LAUNCHER_DESC,hud_icon_fieldupgrade_armor_box,LUA_MENU_CP/PASSIVE_SCAVENGE_GRENADES_NAME,LUA_MENU_CP/PASSIVE_SCAVENGE_GRENADES_DESC,icon_buff_grenade,LUA_MENU_CP/SUPER_AMMO_READY,LUA_MENU_CP/TANK_CLASS_NAME,frontend_role_demolition,1,3,2,placeholder_x,
8,kitMedic,hash_6e0c13a105e15161,icon_role_medic,LUA_MENU_CP/MEDIC_CLASS_NAME,LUA_MENU_CP/FIELD_ORDER_TEAM_REVIVE_NAME,LUA_MENU_CP/TEAM_AUTO_REVIVE_DESC,hud_icon_fieldupgrade_stim_pistol,LUA_MENU_CP/PASSIVE_QUICK_REVIVE_NAME,LUA_MENU_CP/PASSIVE_QUICK_REVIVE_DESC,icon_buff_quickRevive,LUA_MENU_CP/SUPER_REVIVE_READY,LUA_MENU_CP/TANK_CLASS_NAME,frontend_role_medic,1,4,1,placeholder_x,
10,kitRecon,hash_73b9045c2dfea918,icon_role_recon,LUA_MENU_CP/ENGINEER_CLASS_NAME,LUA_MENU_CP/FIELD_ORDER_EMP_DRONE_NAME,LUA_MENU_CP/EMP_DRONE_DESC,hud_icon_fieldupgrade_sonar_pulse,LUA_MENU_CP/PASSIVE_ARMOR_PIERCING_NAME,LUA_MENU_CP/PASSIVE_ARMOR_PIERCING_DESC,icon_buff_armorDamage,LUA_MENU_CP/SUPER_EMP_READY,LUA_MENU_CP/HUNTER_CLASS_NAME,frontend_role_engineer,1,6,3,icon_fieldupgrade_engineer,LUA_MENU_CP/ENGINEER_PROG_DESC
