ui_winners_circle_anim_0,1,,g,i,-1,-1,65535,,,,
ui_winners_circle_anim_1,1,,g,i,-1,-1,65535,,,,
ui_winners_circle_anim_2,1,,g,i,-1,-1,65535,,,,
ui_winners_circle_anim_3,1,,g,i,-1,-1,65535,,,,
ui_winners_circle_anim_4,1,,g,i,-1,-1,65535,,,,
ui_winners_circle_anim_5,1,,g,i,-1,-1,65535,,,,
ui_winners_circle_choice_lock_in,1,,c,i,0,0,2,,# 0 = none, 1 = kill, 2 = capture
ui_winners_circle_debug,1,,g,i,-1,-1,1,,,,
ui_winners_circle_debug_restart,1,,g,i,0,0,2,,,,
ui_winners_circle_upside_down,1,,g,b,0,,,,,,
ui_winners_circle_weapon_type_0,1,,g,i,-1,-1,65535,,,,
ui_winners_circle_weapon_type_1,1,,g,i,-1,-1,65535,,,,
ui_winners_circle_weapon_type_2,1,,g,i,-1,-1,65535,,,,
ui_winners_circle_weapon_type_3,1,,g,i,-1,-1,65535,,,,
ui_winners_circle_weapon_type_4,1,,g,i,-1,-1,65535,,,,
ui_winners_circle_weapon_type_5,1,,g,i,-1,-1,65535,,,,
ui_winners_circle_state,1,,g,i,0,0,8,,,,
