FreePages,4722.125
FreeCalcDelta,0.000
FreeAfterBudgets,0.000
Executable,345.234
OSAllocations,20.688
StreamRead,5.750
StreamTotal,4733.875
StreamAlwaysloaded,0.000
StreamOptional,0.000
StreamFree,4722.125
StreamOverhead,11.750
StreamWaste,0.000
StreamCommit,0.000
StreamXPakIndexWaste,0.000
StreamXPakIndexCommit,0.000
StreamLoggerWaste,0.000
StreamLoggerCommit,11.750
StreamCombineTablesWaste,0.000
StreamCombineTablesCommit,0.000
StreamPrimerWaste,0.000
StreamPrimerCommit,0.000
DBDynamicHeapWaste,0.000
DBDynamicHeapCommit,0.000
DBZoneWaste,0.000
DBZoneCommit,0.000
RenderTargets,63.813
MemVirtual,0.750
PMemCommitOnAlloc,573.938
HavokPhysics,4.000
MemCard,0.000
LightGrid,0.000
LightMap,0.000
STTextureArrays,0.000
CommonFastfiles,0.000
LevelFastfiles,0.000
PreloadFastfiles,0.000
DevFastfiles,0.000
UIFastfiles,0.000
ServerFastfiles,0.000
GPUTempFastfiles,0.000
XPakWorkData,0.000
XPakModify,0.000
TransientCommon,0.000
TransientWorld,0.000
TransientPhysics,0.000
TransientInfil,0.000
SDBanksProjection,0.000
SDBanks,0.000
SDBanksAlwaysloaded,0.000
SDBanksTransient,0.000
SDOtherCommit,0.125
Filesystem,0.000
VideoStreaming,0.000
RBScratchRingBuffer,0.000
Normalization,0.000
EmergencyMem,0.000
Network,0.000
Cinematics,0.000
