raids1_reward_random_1,LUA_MENU_CP/REWARD_RAID_RANDOM_1,ui_playercard_154,LUA_MENU_CP/RAID_PLAYER_CARD,1,,6193
raids1_reward_random_2,LUA_MENU_CP/REWARD_RAID_RANDOM_2,ui_playercard_157,LUA_MENU_CP/RAID_PLAYER_CARD,1,,6064
raids1_reward_random_3,LUA_MENU_CP/REWARD_RAID_RANDOM_3,ui_emblem_153,LUA_MENU_CP/RAID_EMBLEM,1,,9523
raids1_reward_random_4,LUA_MENU_CP/REWARD_RAID_RANDOM_4,ui_emblem_156,LUA_MENU_CP/RAID_EMBLEM,1,,10068
raids1_reward_random_5,LUA_MENU_CP/REWARD_RAID_RANDOM_5,ui_loading_014,LUA_MENU_CP/RAID_LOADING_SCREEN,1,,14733
raids1_reward_random_6,LUA_MENU_CP/REWARD_RAID_RANDOM_6,ui_loading_015,LUA_MENU_CP/RAID_LOADING_SCREEN,1,,14995
raids1_reward_random_7,LUA_MENU_CP/REWARD_RAID_RANDOM_7,ui_charm_415,LUA_MENU_CP/RAID_WEAPON_CHARM,1,,27581
raids1_reward_random_special,LUA_MENU_CP/REWARD_RAID_RANDOM_SPECIAL,loot_icon_weapon_ar_akilo_v7,LUA_MENU_CP/RAID_WEAPON_BLUEPRINT,1,,11830
raids1_reward_random_loot_camo,LUA_MENU_CP/REWARD_RAID_CAMO_S1_LOOT,ui_camo_n_14,LUA_MENU_CP/RAID_CAMO,1,,12051
raids2_reward_random_1,LUA_MENU_CP/REWARD_RAID_RANDOM_S2_1,ui_playercard_065,LUA_MENU_CP/RAID_PLAYER_CARD,2,,6367
raids2_reward_random_2,LUA_MENU_CP/REWARD_RAID_RANDOM_S2_2,ui_charm_199,LUA_MENU_CP/RAID_WEAPON_CHARM,2,,8934
raids2_reward_random_3,LUA_MENU_CP/REWARD_RAID_RANDOM_S2_3,ui_emblem_643,LUA_MENU_CP/RAID_EMBLEM,2,,10281
raids2_reward_random_4,LUA_MENU_CP/REWARD_RAID_RANDOM_S2_4,ui_emblem_066,LUA_MENU_CP/RAID_EMBLEM,2,,10298
raids2_reward_random_5,LUA_MENU_CP/REWARD_RAID_RANDOM_S2_5,ui_loading_337,LUA_MENU_CP/RAID_LOADING_SCREEN,2,,18471
raids2_reward_random_6,LUA_MENU_CP/REWARD_RAID_RANDOM_S2_6,ui_loading_379,LUA_MENU_CP/RAID_LOADING_SCREEN,2,,18513
raids2_reward_random_loot_camo,LUA_MENU_CP/REWARD_RAID_CAMO_S2_LOOT,ui_camo_n_15,LUA_MENU_CP/RAID_CAMO,2,,12161
raids3_reward_random_1,LUA_MENU_CP/REWARD_RAID_RANDOM_S3_GENERIC,ui_charm_416,LUA_MENU_CP/RAID_WEAPON_CHARM,3,,27582
raids3_reward_random_2,LUA_MENU_CP/REWARD_RAID_RANDOM_S3_GENERIC,ui_playercard_213,LUA_MENU_CP/RAID_PLAYER_CARD,3,,6954
raids3_reward_random_3,LUA_MENU_CP/REWARD_RAID_RANDOM_S3_GENERIC,ui_emblem_214,LUA_MENU_CP/RAID_EMBLEM,3,,10395
raids3_reward_random_4,LUA_MENU_CP/REWARD_RAID_RANDOM_S3_4,ui_loading_355,LUA_MENU_CP/RAID_LOADING_SCREEN,3,,18489
raids3_reward_random_5,LUA_MENU_CP/REWARD_RAID_RANDOM_S3_5,ui_loading_330,LUA_MENU_CP/RAID_LOADING_SCREEN,3,,18464
raid_default_reward_xp,LUA_MENU_CP/RAID_XP_REWARD_VALUED,icon_xp_reward,LUA_MENU_CP/REWARD_RAID_DEFAULT_XP,,5000,
