ui_primary,1,button_primary,button_primary_ps4,INPUT/KB_PRIMARY_BUTTON,1,1,1,1,0.5,,0,
ui_secondary,2,button_secondary,button_secondary_ps4,INPUT/KB_SECONDARY_BUTTON,1,1,1,1,0.5,,0,
ui_alt1,3,button_alt1,button_alt1_ps4,INPUT/KB_ALT1_BUTTON,1,1,1,1,0.5,,0,
ui_alt2,4,button_alt2,button_alt2_ps4,INPUT/KB_ALT2_BUTTON,1,1,1,1,0.5,,0,
ui_shoulder_left,5,button_shoulder_left,button_shoulder_left_ps4,INPUT/KB_LEFT_SHOULDER_BUTTON,1,1,1,1,0.5,,0,
ui_shoulder_right,6,button_shoulder_right,button_shoulder_right_ps4,INPUT/KB_RIGHT_SHOULDER_BUTTON,1,1,1,1,0.5,,0,
ui_start,7,button_start,button_start_ps4,INPUT/KB_START_BUTTON,1,1,1,1,0.5,,0,
ui_select,8,button_select_anim,button_select_anim_ps4,INPUT/KB_BACK_BUTTON,1,1,1,1,0.5,,0,
ui_l3,11,button_stick_left_anim,button_stick_left_anim_ps4,INPUT/KB_L3_BUTTON,1,1,1,1,0.5,,0,
ui_r3,12,button_stick_right_anim,button_stick_right_anim_ps4,INPUT/KB_R3_BUTTON,1,1,1,1,0.5,,0,
ui_trigger_left,14,button_trigger_left,button_trigger_left_ps4,INPUT/KB_LEFT_TRIGGER_BUTTON,1,1,1,1,0.5,,0,
ui_trigger_right,15,button_trigger_right,button_trigger_right_ps4,INPUT/KB_RIGHT_TRIGGER_BUTTON,1,1,1,1,0.5,,0,
ui_dpad_up,16,button_dpad_up,button_dpad_up_ps4,INPUT/KB_DPAD_UP_BUTTON,1,1,1,1,0.5,,0,
ui_dpad_down,17,button_dpad_down,button_dpad_down_ps4,INPUT/KB_DPAD_DOWN_BUTTON,1,1,1,1,0.5,,0,
ui_dpad_left,18,button_dpad_left,button_dpad_left_ps4,INPUT/KB_DPAD_LEFT_BUTTON,1,1,1,1,0.5,,0,
ui_dpad_right,19,button_dpad_right,button_dpad_right_ps4,INPUT/KB_DPAD_RIGHT_BUTTON,1,1,1,1,0.5,,0,
left_stick_forward,20,button_stick_fwd,,,1.1,1.1,1.1,1.1,0.5,,0,
left_stick_back,21,button_stick_left,button_stick_left_ps4,INPUT/KB_LEFT_STICK,1,1,1,1,0.5,,0,
