ui_score_event_list_0,1,,c,i,-1,-1,2047
ui_score_event_list_1,1,,c,i,-1,-1,2047
ui_score_event_list_2,1,,c,i,-1,-1,2047
ui_score_event_list_3,1,,c,i,-1,-1,2047
ui_score_event_list_4,1,,c,i,-1,-1,2047
ui_score_event_param_0,1,,c,s,none,,
ui_score_event_param_1,1,,c,s,none,,
ui_score_event_param_2,1,,c,s,none,,
ui_score_event_param_3,1,,c,s,none,,
ui_score_event_param_4,1,,c,s,none,,
ui_score_event_control,1,,c,i,-1,-1,16
ui_score_event_use_splashbundle_0,1,,c,b,0,1,1
ui_score_event_use_splashbundle_1,1,,c,b,0,1,1
ui_score_event_use_splashbundle_2,1,,c,b,0,1,1
ui_score_event_use_splashbundle_3,1,,c,b,0,1,1
ui_score_event_use_splashbundle_4,1,,c,b,0,1,1
ui_score_event_list_score_0,1,1,c,i,-1,-1,2500
ui_score_event_list_score_1,1,1,c,i,-1,-1,2500
ui_score_event_list_score_2,1,1,c,i,-1,-1,2500
ui_score_event_list_score_3,1,1,c,i,-1,-1,2500
ui_score_event_list_score_4,1,1,c,i,-1,-1,2500
ui_potg_score_event_list_0,1,1,c,i,-1,-1,2047
ui_potg_score_event_list_1,1,1,c,i,-1,-1,2047
ui_potg_score_event_list_2,1,1,c,i,-1,-1,2047
ui_potg_score_event_list_3,1,1,c,i,-1,-1,2047
ui_potg_score_event_list_4,1,1,c,i,-1,-1,2047
ui_potg_score_event_control,1,1,c,i,-1,-1,16
ui_potg_score_event_use_splashbundle_0,1,1,c,b,0,0,1
ui_potg_score_event_use_splashbundle_1,1,1,c,b,0,0,1
ui_potg_score_event_use_splashbundle_2,1,1,c,b,0,0,1
ui_potg_score_event_use_splashbundle_3,1,1,c,b,0,0,1
ui_potg_score_event_use_splashbundle_4,1,1,c,b,0,0,1
ui_potg_score_event_param_0,1,1,c,s,none,,
ui_potg_score_event_param_1,1,1,c,s,none,,
ui_potg_score_event_param_2,1,1,c,s,none,,
ui_potg_score_event_param_3,1,1,c,s,none,,
ui_potg_score_event_param_4,1,1,c,s,none,,
