0,*weaponMod,*class,super_light,light,medium_light,medium,medium_heavy,heavy,super_heavy,*vehicle,veh9_cougar,light_tank,veh9_apc_8x8,veh9_palfa
1,mg,,0.2,0.2,-0.33,-0.33,-0.5,-0.7,-0.75,,,,,
2,rifle,,-0.1,-0.1,-0.33,-0.33,-0.5,-0.7,-0.75,,,,,
3,smg,,-0.1,-0.1,-0.4,-0.4,-0.7,-0.8,-0.85,,,,,
4,pistol,,-0.25,-0.25,-0.5,-0.5,-0.7,-0.8,-0.85,,,,,
5,spread,,-0.25,-0.25,-0.5,-0.5,-0.7,-0.8,-0.85,,,,,
6,sniper,,1,1,1,1,1,-0.15,-0.15,,,,,
7,*weaponHPA,,,,,,,,,,,,,
8,at_mine_mp,,100,100,100,90,75,45,45,,,,30,30
9,at_mine_ap_mp,,100,100,100,90,75,45,45,,,,23,23
10,iw9_la_gromeo_mp,,100,100,100,50,40,25,25,,,,17,17
11,iw9_la_rpapa7_mp,,100,100,100,50,40,30,25,,,,17,17
12,iw9_la_mike32_mp,,100,100,100,50,40,30,25,,,,17,17
13,iw9_la_kgolf_mp,,100,100,100,90,70,50,40,,,,27,27
14,iw9_la_juliet_mp,,100,100,100,100,100,45,35,,,,23,23
15,bradley_tow_proj_mp,,100,100,100,100,85,65,55,,30,,30,23
16,cruise_proj_mp,,100,100,100,100,100,100,100,,,,100,100
17,fuelstrike_proj_mp,,100,100,100,100,100,100,100,,,,100,100
18,nuke_mp,,100,100,100,100,100,100,100,,,,100,100
19,c4_mp,,60,60,50,50,40,29,25,,,,17,17
20,bomb_site_mp,,100,100,100,100,100,20,20,,,,,
21,iw9_tur_cougar_mp,,100,100,90,90,90,65,55,,30,,23,23
22,iw9_tur_light_tank_mp,,,,,,,,,,10,,9,9
23,iw9_tur_apc_russian_mp,,,,,,,,,,5,5,,
24,*weaponSkipBurnDown,,,,,,,,,,,,,
25,at_mine_mp,,1,1,1,0,0,0,0,,,,,
26,at_mine_ap_mp,,1,1,1,0,0,0,0,,,,,
27,iw9_la_gromeo_mp,,1,1,0,0,0,0,0,,,,,
28,iw9_la_rpapa7_mp,,1,1,0,0,0,0,0,,,,,
29,iw9_la_mike32_mp,,1,1,0,0,0,0,0,,,,,
30,iw9_la_kgolf_mp,,1,1,0,0,0,0,0,,,,,
31,iw9_la_juliet_mp,,1,1,1,1,1,0,0,,,,,
32,bradley_tow_proj_mp,,1,1,1,1,0,0,0,,,,,
33,cruise_proj_mp,,1,1,1,1,1,1,1,,,,,
34,bomb_site_mp,,1,1,1,1,1,0,0,,,,,
