4043,iw9_ch_daily_p1_general_kills,CHALLENGE/DAILY_P1_GENERAL_KILLS,CHALLENGE/DAILY_P1_GENERAL_KILLS_DESC,20,4500,,1,,,,,1,
2026,iw9_ch_daily_p1_general_longshot_kills,CHALLENGE/DAILY_P1_GENERAL_LONGSHOT_KILLS,CHALLENGE/DAILY_P1_GENERAL_LONGSHOT_KILLS_DESC,5,4500,,1,,,,,2,
1826,iw9_ch_daily_p1_general_wins,CHALLENGE/DAILY_P1_GENERAL_WINS,CHALLENGE/DAILY_P1_GENERAL_WINS_DESC,1,4500,,1,,,,,3,
3068,iw9_ch_daily_p1_general_kills_crouched,CHALLENGE/DAILY_P1_GENERAL_KILLS_CROUCHED,CHALLENGE/DAILY_P1_GENERAL_KILLS_CROUCHED_DESC,3,4500,,1,,,,,4,
2675,iw9_ch_daily_p1_general_headshots,CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS,CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_DESC,5,4500,,1,,,,,5,
3951,iw9_ch_daily_p1_general_kills_mounted,CHALLENGE/DAILY_P1_GENERAL_KILLS_MOUNTED,CHALLENGE/DAILY_P1_GENERAL_KILLS_MOUNTED_DESC,3,4500,,1,,,,,7,
2754,iw9_ch_daily_p1_general_kills_point_blank,CHALLENGE/DAILY_P1_GENERAL_KILLS_POINT_BLANK,CHALLENGE/DAILY_P1_GENERAL_KILLS_POINT_BLANK_DESC,5,4500,,1,,,,,8,
1699,iw9_ch_daily_p1_general_kills_kingslayer,CHALLENGE/DAILY_P1_GENERAL_KILLS_KINGSLAYER,CHALLENGE/DAILY_P1_GENERAL_KILLS_KINGSLAYER_DESC,3,4500,,1,,,,,9,
925,iw9_ch_daily_p1_general_kills_secondary_weapon,CHALLENGE/DAILY_P1_GENERAL_KILLS_SECONDARY_WEAPON,CHALLENGE/DAILY_P1_GENERAL_KILLS_SECONDARY_WEAPON_DESC,3,4500,,1,,,,,10,
4008,iw9_ch_daily_p1_general_kills_recent_enemy,CHALLENGE/DAILY_P1_GENERAL_KILLS_RECENT_ENEMY,CHALLENGE/DAILY_P1_GENERAL_KILLS_RECENT_ENEMY_DESC,2,4500,,1,,,,,11,
3055,iw9_ch_daily_p1_general_shut_down_killstreaks,CHALLENGE/DAILY_P1_GENERAL_SHUT_DOWN_KILLSTREAKS,CHALLENGE/DAILY_P1_GENERAL_SHUT_DOWN_KILLSTREAKS_DESC,2,4500,,1,,,,,12,
131,iw9_ch_daily_p1_general_double_kills,CHALLENGE/DAILY_P1_GENERAL_DOUBLE_KILLS,CHALLENGE/DAILY_P1_GENERAL_DOUBLE_KILLS_DESC,2,4500,,1,,,,,13,
273,iw9_ch_daily_p1_general_kills_low_health,CHALLENGE/DAILY_P1_GENERAL_KILLS_LOW_HEALTH,CHALLENGE/DAILY_P1_GENERAL_KILLS_LOW_HEALTH_DESC,2,4500,,1,,,,,14,
73,iw9_ch_daily_p1_general_headshots_secondary_weapon,CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_SECONDARY_WEAPON,CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_SECONDARY_WEAPON_DESC,1,4500,,1,,,,,15,
815,iw9_ch_daily_p1_general_kills_hipfire,CHALLENGE/DAILY_P1_GENERAL_KILLS_HIPFIRE,CHALLENGE/DAILY_P1_GENERAL_KILLS_HIPFIRE_DESC,2,4500,,1,,,,,16,
1825,iw9_ch_daily_p1_general_kills_1s1k,CHALLENGE/DAILY_P1_GENERAL_KILLS_1S1K,CHALLENGE/DAILY_P1_GENERAL_KILLS_1S1K_DESC,1,4500,,1,,,,,17,
