include,omnvars/omnvars_shared_mp_cp.csv,,,,,,,,,,,,
include,omnvars/mp/omnvars_scorestreaks.csv,,,,,,,,,,,,
include,omnvars/mp/omnvars_vehicles.csv,,,,,,,,,,,,
zm_ui_laststand_end_milliseconds,1,,c,t,0,,,,,,,,
zm_ui_is_solo,1,,g,b,0,,,,,,,,
zm_ui_unlimited_ammo,1,,c,b,0,,,,,,,,
ui_power_recharge,1,1,c,i,0,-1,1000,,,,,,
ui_power_secondary_recharge,1,1,c,i,0,-1,1000,,,,,,
ui_power_num_charges,1,1,c,i,0,-1,1000,,,,,,
ui_power_secondary_num_charges,1,1,c,i,0,-1,1000,,,,,,
ui_power_id,1,1,c,i,0,-1,1000,,,,,,
ui_power_id_secondary,1,,c,i,0,-1,1000,,,,,,
ui_power_consume,1,1,c,b,0,,,,,,,,
ui_power_secondary_consume,1,1,c,b,0,,,,,,,,
ui_power_max_charges,1,1,c,i,0,-1,1000,,,,,,
ui_power_secondary_max_charges,1,1,c,i,0,-1,1000,,,,,,
ui_merit_splash_idx,1,,c,i,-1,-1,2046,,,,,,
ui_merit_splash_optional_number,,,c,i,0,0,65535,,# will be sent as a short,,,,
cp_media_demo_omnvar,1,,g,i,0,0,1,,,,,,
zm_dev_damage,1,,g,i,0,0,1,,Used for showing damage numbers, can cut if needed (Debug-Use Only),,,,
zm_revive_bar_1_target,1,,c,e,,,,,,,,,
zm_revive_bar_1_progress,1,,c,f,0,0,1,1,,,,,
zm_revive_bar_2_target,1,,c,e,,,,,,,,,
zm_revive_bar_2_progress,1,,c,f,0,0,1,1,,,,,
ui_splash_idx,1,,c,i,-1,-1,2046,,,,,,
ui_splash_optional_number,,,c,i,0,0,65535,,# will be sent as a short,,,,
ui_splash_playercard_idx,1,,c,i,-1,-1,2046,,,,,,
ui_splash_playercard_clientnum,,,c,i,-1,-1,42,,,,,,
ui_splash_playercard_optional_number,,,c,i,0,0,65535,,# will be sent as a short,,,,
zom_xp_reward,1,,c,i,0,0,100000000,,,,,,
zom_xp_notify,1,,c,t,0,,,,,,,,
ui_player_splash_id_0,1,,c,i,-1,-1,4095,,,,,,
ui_player_splash_id_1,1,,c,i,-1,-1,4095,,,,,,
ui_player_splash_id_2,1,,c,i,-1,-1,4095,,,,,,
ui_player_splash_id_3,1,,c,i,-1,-1,4095,,,,,,
ui_player_splash_id_4,1,,c,i,-1,-1,4095,,,,,,
ui_player_splash_id_5,1,,c,i,-1,-1,4095,,,,,,
ui_player_splash_scriptBundle_0,1,,c,i,-1,-1,1,,,,,,
ui_player_splash_scriptBundle_1,1,,c,i,-1,-1,1,,,,,,
ui_player_splash_scriptBundle_2,1,,c,i,-1,-1,1,,,,,,
ui_player_splash_scriptBundle_3,1,,c,i,-1,-1,1,,,,,,
ui_player_splash_scriptBundle_4,1,,c,i,-1,-1,1,,,,,,
ui_player_splash_scriptBundle_5,1,,c,i,-1,-1,1,,,,,,
ui_player_splash_param_0,1,,c,i,-1,-1,524287,,,,,,
ui_player_splash_param_1,1,,c,i,-1,-1,524287,,,,,,
ui_player_splash_param_2,1,,c,i,-1,-1,524287,,,,,,
ui_player_splash_param_3,1,,c,i,-1,-1,524287,,,,,,
ui_player_splash_param_4,1,,c,i,-1,-1,524287,,,,,,
ui_player_splash_param_5,1,,c,i,-1,-1,524287,,,,,,
ui_player_splash_cardClientId_0,1,,c,i,-1,-1,62,,,,,,
ui_player_splash_cardClientId_1,1,,c,i,-1,-1,62,,,,,,
ui_player_splash_cardClientId_2,1,,c,i,-1,-1,62,,,,,,
