1,power_c4,EQUIPMENT/C4,,hud_icon_equipment_c4,equipment,,,cpcrate_power_c4
2,self_revive,EQUIPMENT/SELF_REVIVE,,ui_mp_br_loot_icon_self_revive_kit,equipment,,,cpcrate_self_revive
3,power_semtex,CP_WEAPON_BUY/SEMTEX,,hud_icon_equipment_semtex,equipment,,,cpcrate_power_semtex
4,power_frag,CP_WEAPON_BUY/FRAG,,hud_icon_equipment_frag,equipment,,,cpcrate_power_frag
5,power_smokeGrenade,CP_WEAPON_BUY/SMOKE,,hud_icon_equipment_smoke,equipment,,,cpcrate_power_smokegrenade
6,power_molotov,CP_WEAPON_BUY/MOLOTOV,,hud_icon_equipment_molotov,equipment,,,cpcrate_power_molotov
7,power_snapshotGrenade,EQUIPMENT/SNAPSHOT_GRENADE,,hud_icon_equipment_snapshot,equipment,,,cpcrate_power_snapshotgrenade
8,equip_hb_sensor,CP_WEAPON_BUY/HB_SENSOR,,hud_icon_equipment_hb_sensor,equipment,,,cpcrate_equip_hb_sensor
9,equip_nvgs,CP_WEAPON_BUY/NVGS,,ui_icon_nvg,equipment,,,cpcrate_equip_nvgs
10,perk_pack_medic,CP_WEAPON_BUY/PERK_PACK_MEDIC_NAME,CP_PERKS/PERK_PACK_MEDIC_DESC,icon_perk_slot_medic_ui,perk,,,cpcrate_perk_pack_medic
11,recon_drone,CP_WEAPON_BUY/RECON_DRONE_NAME,CP_WEAPON_BUY/FIELD_UPGRADE,hud_icon_killstreak_radardrone_recon,fieldupgrade,,,cpcrate_recon_drone
12,perk_pack_double,CP_WEAPON_BUY/PERCK_PACK_DOUBLE_NAME,,icon_perk_slot_specialist_ui,perk,,,cpcrate_perk_pack_double
13,perk_pack_mule,CP_WEAPON_BUY/PERK_PACK_MULE_NAME,CP_PERKS/PERK_PACK_MULE_DESC,icon_perk_slot_munitions_ui,perk,,,cpcrate_perk_pack_mule
14,perk_pack_buff,CP_WEAPON_BUY/PERK_PACK_BUFF_NAME,CP_PERKS/PERK_PACK_BUFF_DESC,icon_perk_slot_battlehardened_ui,perk,,,cpcrate_perk_pack_buff
15,perk_pack_speedy,CP_WEAPON_BUY/PERK_PACK_SPEEDY_NAME,CP_PERKS/PERK_PACK_SPEEDY_DESC,icon_perk_slot_hustle_ui,perk,,,cpcrate_perk_pack_speedy
